High_label,High_Chart1_CategoryGroup_label,High_Chart1_CategoryGroup_Value_X,High_Chart1_CategoryGroup_Value_High,High_Chart1_CategoryGroup_Value_Low,High_Chart1_CategoryGroup_Value_Start,High_Chart1_CategoryGroup_Value_End
High,01/01/2019,01/01/2019,0.9900,0.9900,0.9900,0.9900
High,01/02/2019,01/02/2019,0.9900,0.9900,0.9900,0.9900
High,01/03/2019,01/03/2019,0.9900,0.9900,0.9900,0.9900
High,01/04/2019,01/04/2019,0.9900,0.9900,0.9900,0.9900
High,01/05/2019,01/05/2019,0.9900,0.9900,0.9900,0.9900
High,08/04/2018,08/04/2018,08/04/2018,08/04/2018,08/04/2018,08/04/2018
High,08/05/2018,08/05/2018,08/05/2018,08/05/2018,08/05/2018,08/05/2018
High,08/06/2018,08/06/2018,08/06/2018,08/06/2018,08/06/2018,08/06/2018
High,08/07/2018,08/07/2018,08/07/2018,08/07/2018,08/07/2018,08/07/2018
High,08/08/2018,08/08/2018,08/08/2018,08/08/2018,08/08/2018,08/08/2018
High,08/09/2018,08/09/2018,0.7500,0.0700,0.2500,0.4100
High,08/10/2018,08/10/2018,0.4900,0.3000,0.4100,0.4600
High,08/11/2018,08/11/2018,0.4600,0.0200,0.4600,0.0600
High,08/12/2018,08/12/2018,0.0600,0.0400,0.0600,0.0400
High,08/13/2018,08/13/2018,0.0500,0.0400,0.0400,0.0500
High,08/14/2018,08/14/2018,0.1500,0.0500,0.0500,0.0600
High,08/15/2018,08/15/2018,0.0900,0.0600,0.0600,0.0900
High,08/16/2018,08/16/2018,0.0900,0.0700,0.0900,0.0800
High,08/17/2018,08/17/2018,0.2700,0.0700,0.0800,0.2700
High,08/18/2018,08/18/2018,0.2800,0.1700,0.2700,0.2400
High,08/19/2018,08/19/2018,0.2400,0.2400,0.2400,0.2400
High,08/20/2018,08/20/2018,0.2400,0.0900,0.2400,0.1500
High,08/21/2018,08/21/2018,0.1600,0.0900,0.1500,0.0900
High,08/22/2018,08/22/2018,0.0900,0.0900,0.0900,0.0900
High,08/23/2018,08/23/2018,0.0900,0.0900,0.0900,0.0900
High,08/24/2018,08/24/2018,0.1600,0.0900,0.0900,0.1600
High,08/25/2018,08/25/2018,0.2900,0.1100,0.1600,0.1100
High,08/26/2018,08/26/2018,0.2300,0.1100,0.1100,0.1100
High,08/27/2018,08/27/2018,0.1100,0.1000,0.1100,0.1000
High,08/28/2018,08/28/2018,0.1000,0.1000,0.1000,0.1000
High,08/29/2018,08/29/2018,0.1000,0.0900,0.1000,0.0900
High,08/30/2018,08/30/2018,0.1700,0.0900,0.0900,0.1100
High,08/31/2018,08/31/2018,0.1100,0.1100,0.1100,0.1100
High,09/01/2018,09/01/2018,0.2100,0.1100,0.1100,0.1900
High,09/02/2018,09/02/2018,0.1900,0.1000,0.1900,0.1000
High,09/03/2018,09/03/2018,0.2900,0.1000,0.1000,0.2800
High,09/04/2018,09/04/2018,0.3100,0.1500,0.2800,0.1500
High,09/05/2018,09/05/2018,0.2800,0.1500,0.1500,0.1800
High,09/06/2018,09/06/2018,0.2500,0.1600,0.1800,0.1600
High,09/07/2018,09/07/2018,0.1600,0.1600,0.1600,0.1600
High,09/08/2018,09/08/2018,0.1600,0.1600,0.1600,0.1600
High,09/09/2018,09/09/2018,0.2000,0.1600,0.1600,0.2000
High,09/10/2018,09/10/2018,0.2600,0.1600,0.2000,0.1800
