full.name,name,chamber,code,state,district,party
Ralph Lee Abraham,Abraham,house,LA-05,LA,05,R
Alma S. Adams,Adams,house,NC-12,NC,12,D
Robert B. Aderholt,Aderholt,house,AL-04,AL,04,R
Pete Aguilar,Aguilar,house,CA-31,CA,31,D
Lamar Alexander,Alexander,senate,TN-00,TN,00,R
Rick W. Allen,Allen,house,GA-12,GA,12,R
Justin Amash,Amash,house,MI-03,MI,03,R
Aumua Amata Coleman Radewagen,Amata,house,AS-00,AS,00,R
Mark E. Amodei,Amodei,house,NV-02,NV,02,R
Jodey C. Arrington,Arrington,house,TX-19,TX,19,R
Brian Babin,Babin,house,TX-36,TX,36,R
Don Bacon,Bacon,house,NE-02,NE,02,R
Troy Balderson,Balderson,house,OH-12,OH,12,R
Tammy Baldwin,Baldwin,senate,WI-00,WI,00,D
Jim Banks,Banks,house,IN-03,IN,03,R
Lou Barletta,Barletta,house,PA-11,PA,11,R
Andy Barr,Barr,house,KY-06,KY,06,R
Nanette Diaz Barragán,Barragán,house,CA-44,CA,44,D
John Barrasso,Barrasso,senate,WY-00,WY,00,R
Joe Barton,Barton,house,TX-06,TX,06,R
Karen Bass,Bass,house,CA-37,CA,37,D
Joyce Beatty,Beatty,house,OH-03,OH,03,D
Michael F. Bennet,Bennet,senate,CO-00,CO,00,D
Ami Bera,Bera,house,CA-07,CA,07,D
Jack Bergman,Bergman,house,MI-01,MI,01,R
"Donald S. Beyer, Jr.",Beyer,house,VA-08,VA,08,D
Andy Biggs,Biggs,house,AZ-05,AZ,05,R
Gus M. Bilirakis,Bilirakis,house,FL-12,FL,12,R
Rob Bishop,Bishop,house,UT-01,UT,01,R
"Sanford D. Bishop, Jr.",Bishop,house,GA-02,GA,02,D
Mike Bishop,Bishop,house,MI-08,MI,08,R
Diane Black,Black,house,TN-06,TN,06,R
Marsha Blackburn,Blackburn,house,TN-07,TN,07,R
Rod Blum,Blum,house,IA-01,IA,01,R
Earl Blumenauer,Blumenauer,house,OR-03,OR,03,D
Richard Blumenthal,Blumenthal,senate,CT-00,CT,00,D
Roy Blunt,Blunt,senate,MO-00,MO,00,R
Lisa Blunt Rochester,Blunt Rochester,house,DE-00,DE,00,D
Suzanne Bonamici,Bonamici,house,OR-01,OR,01,D
Cory A. Booker,Booker,senate,NJ-00,NJ,00,D
John Boozman,Boozman,senate,AR-00,AR,00,R
Madeleine Z. Bordallo,Bordallo,house,GU-00,GU,00,D
Mike Bost,Bost,house,IL-12,IL,12,R
Brendan F. Boyle,Boyle,house,PA-13,PA,13,D
Kevin Brady,Brady,house,TX-08,TX,08,R
Robert A. Brady,Brady,house,PA-01,PA,01,D
Dave Brat,Brat,house,VA-07,VA,07,R
Mo Brooks,Brooks,house,AL-05,AL,05,R
Susan W. Brooks,Brooks,house,IN-05,IN,05,R
Sherrod Brown,Brown,senate,OH-00,OH,00,D
Anthony G. Brown,Brown,house,MD-04,MD,04,D
Julia Brownley,Brownley,house,CA-26,CA,26,D
Vern Buchanan,Buchanan,house,FL-16,FL,16,R
Ken Buck,Buck,house,CO-04,CO,04,R
Larry Bucshon,Bucshon,house,IN-08,IN,08,R
Ted Budd,Budd,house,NC-13,NC,13,R
Michael C. Burgess,Burgess,house,TX-26,TX,26,R
Richard Burr,Burr,senate,NC-00,NC,00,R
Cheri Bustos,Bustos,house,IL-17,IL,17,D
G. K. Butterfield,Butterfield,house,NC-01,NC,01,D
Bradley Byrne,Byrne,house,AL-01,AL,01,R
Ken Calvert,Calvert,house,CA-42,CA,42,R
Maria Cantwell,Cantwell,senate,WA-00,WA,00,D
Shelley Moore Capito,Capito,senate,WV-00,WV,00,R
Michael E. Capuano,Capuano,house,MA-07,MA,07,D
Salud O. Carbajal,Carbajal,house,CA-24,CA,24,D
Tony Cárdenas,Cárdenas,house,CA-29,CA,29,D
Benjamin L. Cardin,Cardin,senate,MD-00,MD,00,D
Thomas R. Carper,Carper,senate,DE-00,DE,00,D
André Carson,Carson,house,IN-07,IN,07,D
John R. Carter,Carter,house,TX-31,TX,31,R
"Earl L. ""Buddy"" Carter",Carter,house,GA-01,GA,01,R
Matt Cartwright,Cartwright,house,PA-17,PA,17,D
"Robert P. Casey, Jr.",Casey,senate,PA-00,PA,00,D
Bill Cassidy,Cassidy,senate,LA-00,LA,00,R
Kathy Castor,Castor,house,FL-14,FL,14,D
Joaquin Castro,Castro,house,TX-20,TX,20,D
Steve Chabot,Chabot,house,OH-01,OH,01,R
Liz Cheney,Cheney,house,WY-00,WY,00,R
Judy Chu,Chu,house,CA-27,CA,27,D
David N. Cicilline,Cicilline,house,RI-01,RI,01,D
Katherine M. Clark,Clark,house,MA-05,MA,05,D
Yvette D. Clarke,Clarke,house,NY-09,NY,09,D
Wm. Lacy Clay,Clay,house,MO-01,MO,01,D
Emanuel Cleaver,Cleaver,house,MO-05,MO,05,D
Michael Cloud,Cloud,house,TX-27,TX,27,R
James E. Clyburn,Clyburn,house,SC-06,SC,06,D
Mike Coffman,Coffman,house,CO-06,CO,06,R
Steve Cohen,Cohen,house,TN-09,TN,09,D
Tom Cole,Cole,house,OK-04,OK,04,R
Susan M. Collins,Collins,senate,ME-00,ME,00,R
Doug Collins,Collins,house,GA-09,GA,09,R
Chris Collins,Collins,house,NY-27,NY,27,R
James Comer,Comer,house,KY-01,KY,01,R
Barbara Comstock,Comstock,house,VA-10,VA,10,R
K. Michael Conaway,Conaway,house,TX-11,TX,11,R
Gerald E. Connolly,Connolly,house,VA-11,VA,11,D
Paul Cook,Cook,house,CA-08,CA,08,R
Christopher A. Coons,Coons,senate,DE-00,DE,00,D
Jim Cooper,Cooper,house,TN-05,TN,05,D
Bob Corker,Corker,senate,TN-00,TN,00,R
John Cornyn,Cornyn,senate,TX-00,TX,00,R
J. Luis Correa,Correa,house,CA-46,CA,46,D
Catherine Cortez Masto,Cortez Masto,senate,NV-00,NV,00,D
Jim Costa,Costa,house,CA-16,CA,16,D
Ryan A. Costello,Costello,house,PA-06,PA,06,R
Tom Cotton,Cotton,senate,AR-00,AR,00,R
Joe Courtney,Courtney,house,CT-02,CT,02,D
Kevin Cramer,Cramer,house,ND-00,ND,00,R
Mike Crapo,Crapo,senate,ID-00,ID,00,R
"Eric A. ""Rick"" Crawford",Crawford,house,AR-01,AR,01,R
Charlie Crist,Crist,house,FL-13,FL,13,D
Joseph Crowley,Crowley,house,NY-14,NY,14,D
Ted Cruz,Cruz,senate,TX-00,TX,00,R
Henry Cuellar,Cuellar,house,TX-28,TX,28,D
John Abney Culberson,Culberson,house,TX-07,TX,07,R
Elijah E. Cummings,Cummings,house,MD-07,MD,07,D
Carlos Curbelo,Curbelo,house,FL-26,FL,26,R
John R. Curtis,Curtis,house,UT-03,UT,03,R
Steve Daines,Daines,senate,MT-00,MT,00,R
Warren Davidson,Davidson,house,OH-08,OH,08,R
Danny K. Davis,Davis,house,IL-07,IL,07,D
Susan A. Davis,Davis,house,CA-53,CA,53,D
Rodney Davis,Davis,house,IL-13,IL,13,R
Peter A. DeFazio,DeFazio,house,OR-04,OR,04,D
Diana DeGette,DeGette,house,CO-01,CO,01,D
John K. Delaney,Delaney,house,MD-06,MD,06,D
Rosa L. DeLauro,DeLauro,house,CT-03,CT,03,D
Suzan K. DelBene,DelBene,house,WA-01,WA,01,D
Val Butler Demings,Demings,house,FL-10,FL,10,D
Jeff Denham,Denham,house,CA-10,CA,10,R
Mark DeSaulnier,DeSaulnier,house,CA-11,CA,11,D
Scott DesJarlais,DesJarlais,house,TN-04,TN,04,R
Theodore E. Deutch,Deutch,house,FL-22,FL,22,D
Mario Diaz-Balart,Diaz-Balart,house,FL-25,FL,25,R
Debbie Dingell,Dingell,house,MI-12,MI,12,D
Lloyd Doggett,Doggett,house,TX-35,TX,35,D
Joe Donnelly,Donnelly,senate,IN-00,IN,00,D
"Daniel M. Donovan, Jr.",Donovan,house,NY-11,NY,11,R
Michael F. Doyle,Doyle,house,PA-14,PA,14,D
Tammy Duckworth,Duckworth,senate,IL-00,IL,00,D
Sean P. Duffy,Duffy,house,WI-07,WI,07,R
Jeff Duncan,Duncan,house,SC-03,SC,03,R
"John J. Duncan, Jr.",Duncan,house,TN-02,TN,02,R
Neal P. Dunn,Dunn,house,FL-02,FL,02,R
Richard J. Durbin,Durbin,senate,IL-00,IL,00,D
Keith Ellison,Ellison,house,MN-05,MN,05,D
Tom Emmer,Emmer,house,MN-06,MN,06,R
Eliot L. Engel,Engel,house,NY-16,NY,16,D
Michael B. Enzi,Enzi,senate,WY-00,WY,00,R
Joni Ernst,Ernst,senate,IA-00,IA,00,R
Anna G. Eshoo,Eshoo,house,CA-18,CA,18,D
Adriano Espaillat,Espaillat,house,NY-13,NY,13,D
Ron Estes,Estes,house,KS-04,KS,04,R
Elizabeth H. Esty,Esty,house,CT-05,CT,05,D
Dwight Evans,Evans,house,PA-02,PA,02,D
John J. Faso,Faso,house,NY-19,NY,19,R
Dianne Feinstein,Feinstein,senate,CA-00,CA,00,D
A. Drew Ferguson IV,Ferguson,house,GA-03,GA,03,R
Deb Fischer,Fischer,senate,NE-00,NE,00,R
Brian K. Fitzpatrick,Fitzpatrick,house,PA-08,PA,08,R
Jeff Flake,Flake,senate,AZ-00,AZ,00,R
"Charles J. ""Chuck"" Fleischmann",Fleischmann,house,TN-03,TN,03,R
Bill Flores,Flores,house,TX-17,TX,17,R
Jeff Fortenberry,Fortenberry,house,NE-01,NE,01,R
Bill Foster,Foster,house,IL-11,IL,11,D
Virginia Foxx,Foxx,house,NC-05,NC,05,R
Lois Frankel,Frankel,house,FL-21,FL,21,D
Rodney P. Frelinghuysen,Frelinghuysen,house,NJ-11,NJ,11,R
Marcia L. Fudge,Fudge,house,OH-11,OH,11,D
Tulsi Gabbard,Gabbard,house,HI-02,HI,02,D
Matt Gaetz,Gaetz,house,FL-01,FL,01,R
Mike Gallagher,Gallagher,house,WI-08,WI,08,R
Ruben Gallego,Gallego,house,AZ-07,AZ,07,D
John Garamendi,Garamendi,house,CA-03,CA,03,D
Cory Gardner,Gardner,senate,CO-00,CO,00,R
"Thomas A. Garrett, Jr.",Garrett,house,VA-05,VA,05,R
Greg Gianforte,Gianforte,house,MT-00,MT,00,R
Bob Gibbs,Gibbs,house,OH-07,OH,07,R
Kirsten E. Gillibrand,Gillibrand,senate,NY-00,NY,00,D
Louie Gohmert,Gohmert,house,TX-01,TX,01,R
Jimmy Gomez,Gomez,house,CA-34,CA,34,D
Vicente Gonzalez,Gonzalez,house,TX-15,TX,15,D
Jenniffer González-Colón,González-Colón,house,PR-00,PR,00,R
Bob Goodlatte,Goodlatte,house,VA-06,VA,06,R
Paul A. Gosar,Gosar,house,AZ-04,AZ,04,R
Josh Gottheimer,Gottheimer,house,NJ-05,NJ,05,D
Trey Gowdy,Gowdy,house,SC-04,SC,04,R
Lindsey Graham,Graham,senate,SC-00,SC,00,R
Kay Granger,Granger,house,TX-12,TX,12,R
Chuck Grassley,Grassley,senate,IA-00,IA,00,R
Sam Graves,Graves,house,MO-06,MO,06,R
Tom Graves,Graves,house,GA-14,GA,14,R
Garret Graves,Graves,house,LA-06,LA,06,R
Al Green,Green,house,TX-09,TX,09,D
Gene Green,Green,house,TX-29,TX,29,D
H. Morgan Griffith,Griffith,house,VA-09,VA,09,R
Raúl M. Grijalva,Grijalva,house,AZ-03,AZ,03,D
Glenn Grothman,Grothman,house,WI-06,WI,06,R
Brett Guthrie,Guthrie,house,KY-02,KY,02,R
Luis V. Gutiérrez,Gutiérrez,house,IL-04,IL,04,D
Colleen Hanabusa,Hanabusa,house,HI-01,HI,01,D
Karen C. Handel,Handel,house,GA-06,GA,06,R
Gregg Harper,Harper,house,MS-03,MS,03,R
Andy Harris,Harris,house,MD-01,MD,01,R
Kamala D. Harris,Harris,senate,CA-00,CA,00,D
Vicky Hartzler,Hartzler,house,MO-04,MO,04,R
Margaret Wood Hassan,Hassan,senate,NH-00,NH,00,D
Alcee L. Hastings,Hastings,house,FL-20,FL,20,D
Orrin G. Hatch,Hatch,senate,UT-00,UT,00,R
Denny Heck,Heck,house,WA-10,WA,10,D
Martin Heinrich,Heinrich,senate,NM-00,NM,00,D
Heidi Heitkamp,Heitkamp,senate,ND-00,ND,00,D
Dean Heller,Heller,senate,NV-00,NV,00,R
Jeb Hensarling,Hensarling,house,TX-05,TX,05,R
Jaime Herrera Beutler,Herrera Beutler,house,WA-03,WA,03,R
Jody B. Hice,Hice,house,GA-10,GA,10,R
Brian Higgins,Higgins,house,NY-26,NY,26,D
Clay Higgins,Higgins,house,LA-03,LA,03,R
J. French Hill,Hill,house,AR-02,AR,02,R
James A. Himes,Himes,house,CT-04,CT,04,D
Mazie K. Hirono,Hirono,senate,HI-00,HI,00,D
John Hoeven,Hoeven,senate,ND-00,ND,00,R
George Holding,Holding,house,NC-02,NC,02,R
Trey Hollingsworth,Hollingsworth,house,IN-09,IN,09,R
Steny H. Hoyer,Hoyer,house,MD-05,MD,05,D
Richard Hudson,Hudson,house,NC-08,NC,08,R
Jared Huffman,Huffman,house,CA-02,CA,02,D
Bill Huizenga,Huizenga,house,MI-02,MI,02,R
Randy Hultgren,Hultgren,house,IL-14,IL,14,R
Duncan Hunter,Hunter,house,CA-50,CA,50,R
Will Hurd,Hurd,house,TX-23,TX,23,R
Cindy Hyde-Smith,Hyde-Smith,senate,MS-00,MS,00,R
James M. Inhofe,Inhofe,senate,OK-00,OK,00,R
Johnny Isakson,Isakson,senate,GA-00,GA,00,R
Darrell E. Issa,Issa,house,CA-49,CA,49,R
Sheila Jackson Lee,Jackson Lee,house,TX-18,TX,18,D
Pramila Jayapal,Jayapal,house,WA-07,WA,07,D
Hakeem S. Jeffries,Jeffries,house,NY-08,NY,08,D
Lynn Jenkins,Jenkins,house,KS-02,KS,02,R
Bill Johnson,Johnson,house,OH-06,OH,06,R
Eddie Bernice Johnson,Johnson,house,TX-30,TX,30,D
"Henry C. ""Hank"" Johnson, Jr.",Johnson,house,GA-04,GA,04,D
Ron Johnson,Johnson,senate,WI-00,WI,00,R
Sam Johnson,Johnson,house,TX-03,TX,03,R
Mike Johnson,Johnson,house,LA-04,LA,04,R
Walter B. Jones,Jones,house,NC-03,NC,03,R
Doug Jones,Jones,senate,AL-00,AL,00,D
Jim Jordan,Jordan,house,OH-04,OH,04,R
David P. Joyce,Joyce,house,OH-14,OH,14,R
Tim Kaine,Kaine,senate,VA-00,VA,00,D
Marcy Kaptur,Kaptur,house,OH-09,OH,09,D
John Katko,Katko,house,NY-24,NY,24,R
William R. Keating,Keating,house,MA-09,MA,09,D
Mike Kelly,Kelly,house,PA-03,PA,03,R
Robin L. Kelly,Kelly,house,IL-02,IL,02,D
Trent Kelly,Kelly,house,MS-01,MS,01,R
Joseph P. Kennedy III,Kennedy,house,MA-04,MA,04,D
John Kennedy,Kennedy,senate,LA-00,LA,00,R
Ro Khanna,Khanna,house,CA-17,CA,17,D
Ruben J. Kihuen,Kihuen,house,NV-04,NV,04,D
Daniel T. Kildee,Kildee,house,MI-05,MI,05,D
Derek Kilmer,Kilmer,house,WA-06,WA,06,D
