date,code,dem,rep,class,winner
2018-12-02,AK-01,0.46,0.54,vul D,R
2018-12-02,AL-01,0.36700000000000005,0.633,safe D,R
2018-12-02,AL-02,0.385,0.615,safe D,R
2018-12-02,AL-03,0.36200000000000004,0.638,safe D,R
2018-12-02,AL-04,0.201,0.799,safe D,R
2018-12-02,AL-05,0.389,0.611,safe D,R
2018-12-02,AL-06,0.307,0.693,safe D,R
2018-12-02,AL-07,1,0,safe D,D
2018-12-02,AR-01,0.287,0.69,safe D,R
2018-12-02,AR-02,0.45799999999999996,0.521,lkly D,R
2018-12-02,AR-03,0.325,0.649,safe D,R
2018-12-02,AR-04,0.313,0.6679999999999999,safe D,R
2018-12-02,AZ-00,0.49700000000000005,0.48,vul D,D
2018-12-02,AZ-01,0.5379999999999999,0.462,vul D,D
2018-12-02,AZ-02,0.544,0.456,vul D,D
2018-12-02,AZ-03,0.634,0.366,safe D,D
2018-12-02,AZ-04,0.305,0.682,safe D,R
2018-12-02,AZ-05,0.406,0.594,safe D,R
2018-12-02,AZ-06,0.447,0.5529999999999999,lkly D,R
2018-12-02,AZ-07,0.857,0,safe D,D
2018-12-02,AZ-08,0.444,0.556,lkly D,R
2018-12-02,AZ-09,0.609,0.391,safe D,D
2018-12-02,CA-00,0.545,0,safe D,D
2018-12-02,CA-01,0.444,0.556,lkly D,R
2018-12-02,CA-02,0.764,0.23600000000000002,safe D,D
2018-12-02,CA-03,0.5720000000000001,0.428,safe D,D
2018-12-02,CA-04,0.451,0.5489999999999999,lkly D,R
2018-12-02,CA-05,0.7829999999999999,0,safe D,D
2018-12-02,CA-06,0.81,0,safe D,D
2018-12-02,CA-07,0.55,0.45,lkly D,D
2018-12-02,CA-08,0,0.602,safe D,R
2018-12-02,CA-09,0.5589999999999999,0.441,safe D,D
2018-12-02,CA-10,0.514,0.486,vul D,D
2018-12-02,CA-11,0.74,0.26,safe D,D
2018-12-02,CA-12,0.867,0.133,safe D,D
2018-12-02,CA-13,0.884,0,safe D,D
2018-12-02,CA-14,0.779,0.221,safe D,D
2018-12-02,CA-15,0.727,0.273,safe D,D
2018-12-02,CA-16,0.565,0.435,lkly D,D
2018-12-02,CA-17,0.752,0.248,safe D,D
2018-12-02,CA-18,0.7390000000000001,0.261,safe D,D
2018-12-02,CA-19,0.7340000000000001,0.266,safe D,D
2018-12-02,CA-20,0.807,0,safe D,D
2018-12-02,CA-21,0.489,0.511,lkly D,R
2018-12-02,CA-22,0.465,0.535,lkly D,R
2018-12-02,CA-23,0.353,0.647,safe D,R
2018-12-02,CA-24,0.58,0.42,safe D,D
2018-12-02,CA-25,0.532,0.46799999999999997,vul D,D
2018-12-02,CA-26,0.609,0.391,safe D,D
2018-12-02,CA-27,0.7929999999999999,0,safe D,D
2018-12-02,CA-28,0.78,0.22,safe D,D
2018-12-02,CA-29,0.802,0.198,safe D,D
2018-12-02,CA-30,0.73,0.27,safe D,D
2018-12-02,CA-31,0.578,0.42200000000000004,safe D,D
2018-12-02,CA-32,0.6809999999999999,0.319,safe D,D
2018-12-02,CA-33,0.6970000000000001,0.303,safe D,D
2018-12-02,CA-34,0.7290000000000001,0,safe D,D
2018-12-02,CA-35,0.6859999999999999,0.314,safe D,D
2018-12-02,CA-36,0.5760000000000001,0.424,safe D,D
2018-12-02,CA-37,0.89,0.11,safe D,D
2018-12-02,CA-38,0.68,0.32,safe D,D
2018-12-02,CA-39,0.508,0.49200000000000005,vul D,D
2018-12-02,CA-40,0.774,0,safe D,D
2018-12-02,CA-41,0.618,0.382,safe D,D
2018-12-02,CA-42,0.419,0.581,safe D,R
2018-12-02,CA-43,0.769,0.231,safe D,D
2018-12-02,CA-44,0.6940000000000001,0,safe D,D
2018-12-02,CA-45,0.514,0.486,vul D,D
2018-12-02,CA-46,0.6779999999999999,0.322,safe D,D
2018-12-02,CA-47,0.64,0.36,safe D,D
2018-12-02,CA-48,0.532,0.46799999999999997,vul D,D
2018-12-02,CA-49,0.555,0.445,vul D,D
2018-12-02,CA-50,0.475,0.525,vul D,R
2018-12-02,CA-51,0.6970000000000001,0.303,safe D,D
2018-12-02,CA-52,0.634,0.366,safe D,D
2018-12-02,CA-53,0.684,0.316,safe D,D
2018-12-02,CO-00,0.594,0.395,safe D,D
2018-12-02,CO-01,0.7170000000000001,0.256,safe D,D
2018-12-02,CO-02,0.6,0.33899999999999997,safe D,D
2018-12-02,CO-03,0.434,0.517,lkly D,R
2018-12-02,CO-04,0.391,0.609,safe D,R
2018-12-02,CO-05,0.38299999999999995,0.583,safe D,R
2018-12-02,CO-06,0.541,0.429,vul D,D
2018-12-02,CO-07,0.603,0.35600000000000004,safe D,D
2018-12-02,CT-01,0.637,0.35200000000000004,safe D,D
2018-12-02,CT-02,0.621,0.355,safe D,D
2018-12-02,CT-03,0.644,0.35600000000000004,safe D,D
2018-12-02,CT-04,0.609,0.391,safe D,D
2018-12-02,CT-05,0.5579999999999999,0.442,safe D,D
2018-12-02,DE-00,0.6,0.37799999999999995,safe D,D
2018-12-02,DE-01,0.645,0.355,safe D,D
2018-12-02,FL-00,0.499,0.501,vul D,R
2018-12-02,FL-01,0.32899999999999996,0.6709999999999999,safe D,R
2018-12-02,FL-02,0.325,0.675,safe D,R
2018-12-02,FL-03,0.424,0.5760000000000001,safe D,R
2018-12-02,FL-04,0.32299999999999995,0.652,safe D,R
2018-12-02,FL-05,0.6679999999999999,0.332,safe D,D
2018-12-02,FL-06,0.43700000000000006,0.563,vul D,R
2018-12-02,FL-07,0.5770000000000001,0.423,lkly D,D
2018-12-02,FL-08,0.395,0.605,safe D,R
2018-12-02,FL-09,0.58,0.42,safe D,D
2018-12-02,FL-10,1,0,safe D,D
2018-12-02,FL-11,0.348,0.652,safe D,R
2018-12-02,FL-12,0.397,0.581,safe D,R
2018-12-02,FL-13,0.5760000000000001,0.424,safe D,D
2018-12-02,FL-14,1,0,safe D,D
2018-12-02,FL-15,0.47,0.53,vul D,R
2018-12-02,FL-16,0.45399999999999996,0.546,vul D,R
2018-12-02,FL-17,0.377,0.623,safe D,R
2018-12-02,FL-18,0.457,0.5429999999999999,vul D,R
2018-12-02,FL-19,0.377,0.623,safe D,R
2018-12-02,FL-20,1,0,safe D,D
2018-12-02,FL-21,1,0,safe D,D
2018-12-02,FL-22,0.62,0.38,safe D,D
2018-12-02,FL-23,0.585,0.36,safe D,D
2018-12-02,FL-24,1,0,safe D,D
2018-12-02,FL-25,0.395,0.605,vul D,R
2018-12-02,FL-26,0.509,0.491,vul D,D
2018-12-02,FL-27,0.518,0.45799999999999996,vul D,D
2018-12-02,GA-01,0.423,0.5770000000000001,safe D,R
2018-12-02,GA-02,0.596,0.40399999999999997,safe D,D
2018-12-02,GA-03,0.345,0.655,safe D,R
2018-12-02,GA-04,0.7879999999999999,0.212,safe D,D
2018-12-02,GA-05,1,0,safe D,D
2018-12-02,GA-06,0.505,0.495,vul D,D
2018-12-02,GA-07,0.499,0.501,vul D,R
2018-12-02,GA-08,0,1,safe D,R
2018-12-02,GA-09,0.205,0.795,safe D,R
2018-12-02,GA-10,0.371,0.629,safe D,R
2018-12-02,GA-11,0.382,0.618,safe D,R
2018-12-02,GA-12,0.405,0.595,safe D,R
2018-12-02,GA-13,0.762,0.23800000000000002,safe D,D
2018-12-02,GA-14,0.235,0.765,safe D,R
2018-12-02,HI-00,0.711,0.289,safe D,D
2018-12-02,HI-01,0.731,0.231,safe D,D
2018-12-02,HI-02,0.774,0.226,safe D,D
2018-12-02,IA-01,0.509,0.46,vul D,D
2018-12-02,IA-02,0.5479999999999999,0.426,safe D,D
2018-12-02,IA-03,0.49,0.475,vul D,D
2018-12-02,IA-04,0.47,0.504,vul D,R
2018-12-02,ID-01,0.303,0.633,safe D,R
2018-12-02,ID-02,0.39299999999999996,0.607,safe D,R
2018-12-02,IL-01,0.73,0.203,safe D,D
2018-12-02,IL-02,0.8079999999999999,0.192,safe D,D
2018-12-02,IL-03,0.735,0.265,safe D,D
2018-12-02,IL-04,0.903,0.09699999999999999,safe D,D
2018-12-02,IL-05,0.779,0.221,safe D,D
2018-12-02,IL-06,0.528,0.47200000000000003,vul D,D
2018-12-02,IL-07,0.8809999999999999,0.11900000000000001,safe D,D
2018-12-02,IL-08,0.657,0.34299999999999997,safe D,D
2018-12-02,IL-09,0.845,0.155,safe D,D
2018-12-02,IL-10,0.654,0.34600000000000003,safe D,D
2018-12-02,IL-11,0.636,0.364,safe D,D
2018-12-02,IL-12,0.452,0.518,vul D,R
2018-12-02,IL-13,0.495,0.505,vul D,R
2018-12-02,IL-14,0.519,0.48100000000000004,vul D,D
2018-12-02,IL-15,0.289,0.711,safe D,R
2018-12-02,IL-16,0.40299999999999997,0.597,safe D,R
2018-12-02,IL-17,0.618,0.382,safe D,D
2018-12-02,IL-18,0.326,0.674,safe D,R
2018-12-02,IN-00,0.451,0.51,vul D,R
2018-12-02,IN-01,0.6509999999999999,0.349,safe D,D
2018-12-02,IN-02,0.452,0.5479999999999999,lkly D,R
2018-12-02,IN-03,0.353,0.647,safe D,R
