date,race,method,prob,hit,score
2018-08-01,AZ-S1,model,0.738,TRUE,0.06864400000000001
2018-08-01,CA-12,model,1,TRUE,0
2018-08-01,CA-22,model,0.0493,TRUE,0.0024304899999999996
2018-08-01,CA-25,model,0.7453,TRUE,0.06487209000000002
2018-08-01,CA-39,model,0.3768,FALSE,0.38837824
2018-08-01,CA-48,model,0.6662,TRUE,0.11142243999999998
2018-08-01,CA-49,model,0.7948,TRUE,0.04210704000000002
2018-08-01,CA-S1,model,1,TRUE,0
2018-08-01,CO-05,model,0.0273,TRUE,7.452900000000001e-4
2018-08-01,CO-06,model,0.6484,TRUE,0.12362256000000002
2018-08-01,CT-05,model,0.9667,TRUE,0.0011088899999999997
2018-08-01,FL-15,model,0.2738,TRUE,0.07496644
2018-08-01,FL-17,model,0.004,TRUE,1.6e-5
2018-08-01,FL-26,model,0.403,FALSE,0.356409
2018-08-01,FL-27,model,0.9745,TRUE,6.502499999999984e-4
2018-08-01,FL-S1,model,0.6156,FALSE,0.37896336
2018-08-01,IL-12,model,0.4048,TRUE,0.16386304
2018-08-01,IN-S1,model,0.7716,FALSE,0.5953665599999999
2018-08-01,MA-S1,model,0.9991,TRUE,8.100000000000215e-7
2018-08-01,MD-06,model,0.9915,TRUE,7.224999999999918e-5
2018-08-01,ME-S1,model,0.9971,TRUE,8.410000000000079e-6
2018-08-01,MI-08,model,0.4448,FALSE,0.30824704000000003
2018-08-01,MI-11,model,0.6872,TRUE,0.09784383999999997
2018-08-01,MI-S1,model,0.9857,TRUE,2.0448999999999942e-4
2018-08-01,MN-01,model,0.4841,TRUE,0.23435280999999997
2018-08-01,MN-02,model,0.7609,TRUE,0.057168809999999994
2018-08-01,MN-03,model,0.6634,TRUE,0.11329956000000001
2018-08-01,MN-08,model,0.3959,TRUE,0.15673680999999998
2018-08-01,MN-S1,model,0.9983,TRUE,2.8900000000001184e-6
2018-08-01,MO-S1,model,0.6931,FALSE,0.4803876100000001
2018-08-01,MS-03,model,0.0055,TRUE,3.0249999999999997e-5
2018-08-01,MS-S1,model,0.0133,TRUE,1.7689e-4
2018-08-01,MT-S1,model,0.8883,TRUE,0.012476890000000004
2018-08-01,NC-13,model,0.4052,TRUE,0.16418704
2018-08-01,ND-S1,model,0.5998,FALSE,0.35976004
2018-08-01,NE-02,model,0.5964,FALSE,0.35569296000000006
2018-08-01,NE-S1,model,0.0472,TRUE,0.00222784
2018-08-01,NH-01,model,0.8136,TRUE,0.034744960000000005
2018-08-01,NJ-02,model,0.8952,TRUE,0.010983040000000001
2018-08-01,NJ-07,model,0.6388,TRUE,0.13046544
2018-08-01,NJ-11,model,0.7345,TRUE,0.07049024999999998
2018-08-01,NJ-S1,model,0.9451,TRUE,0.0030140099999999945
2018-08-01,NM-S1,model,0.9967,TRUE,1.08899999999998e-5
2018-08-01,NV-03,model,0.6947,TRUE,0.09320809000000001
2018-08-01,NV-04,model,0.8504,TRUE,0.022380159999999986
2018-08-01,NV-S1,model,0.5497,TRUE,0.20277009000000004
2018-08-01,NY-01,model,0.1182,TRUE,0.01397124
2018-08-01,NY-09,model,1,TRUE,0
2018-08-01,NY-14,model,1,TRUE,0
2018-08-01,NY-19,model,0.5501,TRUE,0.20241000999999997
2018-08-01,OH-S1,model,0.9536,TRUE,0.0021529599999999998
2018-08-01,PA-06,model,0.9825,TRUE,3.062499999999986e-4
2018-08-01,PA-09,model,0.0093,TRUE,8.648999999999998e-5
2018-08-01,PA-15,model,0,TRUE,0
2018-08-01,PA-17,model,0.9734,TRUE,7.075599999999977e-4
2018-08-01,PA-S1,model,0.9534,TRUE,0.0021715599999999977
2018-08-01,SC-04,model,4e-4,TRUE,1.6e-7
2018-08-01,TN-S1,model,0.3713,TRUE,0.13786369
2018-08-01,TX-05,model,9e-4,TRUE,8.1e-7
2018-08-01,TX-06,model,0.0779,TRUE,0.00606841
2018-08-01,TX-21,model,0.1712,TRUE,0.029309439999999996
2018-08-01,TX-23,model,0.7369,FALSE,0.54302161
2018-08-01,TX-29,model,1,TRUE,0
2018-08-01,TX-S1,model,0.2689,TRUE,0.07230720999999998
2018-08-01,VA-02,model,0.2388,FALSE,0.57942544
2018-08-01,VA-06,model,0.0044,TRUE,1.936e-5
2018-08-01,VA-10,model,0.7614,TRUE,0.056929960000000016
2018-08-01,VA-S1,model,0.9921,TRUE,6.241000000000029e-5
2018-08-01,VT-S1,model,0.9999,TRUE,9.999999999997797e-9
2018-08-01,WA-08,model,0.5216,TRUE,0.22886656000000005
2018-08-01,WI-01,model,0.2767,TRUE,0.07656289
2018-08-01,WI-S1,model,0.9775,TRUE,5.062499999999985e-4
2018-08-01,WV-03,model,0.0672,TRUE,0.004515839999999999
2018-08-01,WV-S1,model,0.8792,TRUE,0.014592640000000004
2018-08-02,AZ-S1,model,0.7293,TRUE,0.07327849000000003
2018-08-02,CA-12,model,1,TRUE,0
2018-08-02,CA-22,model,0.0485,TRUE,0.00235225
2018-08-02,CA-25,model,0.7397,TRUE,0.06775608999999999
2018-08-02,CA-39,model,0.3649,FALSE,0.40335201
2018-08-02,CA-48,model,0.6593,TRUE,0.11607649
2018-08-02,CA-49,model,0.7855,TRUE,0.04601025000000001
2018-08-02,CA-S1,model,1,TRUE,0
2018-08-02,CO-05,model,0.0244,TRUE,5.953600000000001e-4
2018-08-02,CO-06,model,0.6402,TRUE,0.12945604
2018-08-02,CT-05,model,0.9639,TRUE,0.0013032100000000015
2018-08-02,FL-15,model,0.263,TRUE,0.06916900000000001
2018-08-02,FL-17,model,0.0031,TRUE,9.61e-6
2018-08-02,FL-26,model,0.3988,FALSE,0.36144143999999995
2018-08-02,FL-27,model,0.9725,TRUE,7.562499999999982e-4
2018-08-02,FL-S1,model,0.6088,FALSE,0.37063744
2018-08-02,IL-12,model,0.3939,TRUE,0.15515721
2018-08-02,IN-S1,model,0.7626,FALSE,0.58155876
2018-08-02,MA-S1,model,0.9984,TRUE,2.5600000000001466e-6
2018-08-02,MD-06,model,0.9898,TRUE,1.0403999999999973e-4
2018-08-02,ME-S1,model,0.997,TRUE,9.000000000000015e-6
2018-08-02,MI-08,model,0.434,FALSE,0.3203560000000001
2018-08-02,MI-11,model,0.673,TRUE,0.10692899999999997
2018-08-02,MI-S1,model,0.9847,TRUE,2.340899999999994e-4
2018-08-02,MN-01,model,0.4843,TRUE,0.23454649
2018-08-02,MN-02,model,0.7579,TRUE,0.05861240999999999
2018-08-02,MN-03,model,0.6472,TRUE,0.12446784
2018-08-02,MN-08,model,0.3874,TRUE,0.15007876
2018-08-02,MN-S1,model,0.9983,TRUE,2.8900000000001184e-6
2018-08-02,MO-S1,model,0.6821,FALSE,0.46526041000000007
2018-08-02,MS-03,model,0.0059,TRUE,3.481e-5
2018-08-02,MS-S1,model,0.0116,TRUE,1.3455999999999999e-4
2018-08-02,MT-S1,model,0.8867,TRUE,0.01283688999999999
2018-08-02,NC-13,model,0.3922,TRUE,0.15382084
2018-08-02,ND-S1,model,0.5849,FALSE,0.34210800999999996
2018-08-02,NE-02,model,0.5816,FALSE,0.33825856
2018-08-02,NE-S1,model,0.0454,TRUE,0.0020611600000000002
2018-08-02,NH-01,model,0.8043,TRUE,0.03829849
2018-08-02,NJ-02,model,0.8867,TRUE,0.01283688999999999
2018-08-02,NJ-07,model,0.6224,TRUE,0.14258176000000003
2018-08-02,NJ-11,model,0.7252,TRUE,0.07551504000000002
2018-08-02,NJ-S1,model,0.9435,TRUE,0.0031922499999999993
2018-08-02,NM-S1,model,0.9715,TRUE,8.122499999999983e-4
2018-08-02,NV-03,model,0.681,TRUE,0.10176099999999996
2018-08-02,NV-04,model,0.8451,TRUE,0.02399401000000001
2018-08-02,NV-S1,model,0.5442,TRUE,0.20775364
2018-08-02,NY-01,model,0.1108,TRUE,0.012276639999999998
2018-08-02,NY-09,model,1,TRUE,0
2018-08-02,NY-14,model,1,TRUE,0
2018-08-02,NY-19,model,0.5394,TRUE,0.21215236
2018-08-02,OH-S1,model,0.9503,TRUE,0.002470089999999997
2018-08-02,PA-06,model,0.9807,TRUE,3.7248999999999936e-4
2018-08-02,PA-09,model,0.0086,TRUE,7.396e-5
2018-08-02,PA-15,model,0,TRUE,0
2018-08-02,PA-17,model,0.9736,TRUE,6.969599999999989e-4
2018-08-02,PA-S1,model,0.9504,TRUE,0.0024601599999999977
2018-08-02,SC-04,model,4e-4,TRUE,1.6e-7
2018-08-02,TN-S1,model,0.3676,TRUE,0.13512976
2018-08-02,TX-05,model,0.001,TRUE,1e-6
2018-08-02,TX-06,model,0.0742,TRUE,0.00550564
2018-08-02,TX-21,model,0.1609,TRUE,0.025888809999999995
2018-08-02,TX-23,model,0.7256,FALSE,0.5264953600000001
2018-08-02,TX-29,model,0.9998,TRUE,3.9999999999991186e-8
2018-08-02,TX-S1,model,0.2591,TRUE,0.06713281
2018-08-02,VA-02,model,0.2282,FALSE,0.59567524
2018-08-02,VA-06,model,0.0042,TRUE,1.7639999999999997e-5
2018-08-02,VA-10,model,0.7517,TRUE,0.06165288999999998
2018-08-02,VA-S1,model,0.9927,TRUE,5.328999999999961e-5
2018-08-02,VT-S1,model,0.9999,TRUE,9.999999999997797e-9
2018-08-02,WA-08,model,0.5048,TRUE,0.24522303999999998
2018-08-02,WI-01,model,0.2672,TRUE,0.07139584
2018-08-02,WI-S1,model,0.9763,TRUE,5.616900000000026e-4
2018-08-02,WV-03,model,0.0653,TRUE,0.00426409
2018-08-02,WV-S1,model,0.8746,TRUE,0.015725159999999988
2018-08-03,AZ-S1,model,0.729,TRUE,0.073441
2018-08-03,CA-12,model,1,TRUE,0
2018-08-03,CA-22,model,0.0476,TRUE,0.0022657600000000003
2018-08-03,CA-25,model,0.7408,TRUE,0.06718463999999999
2018-08-03,CA-39,model,0.3651,FALSE,0.40309801
2018-08-03,CA-48,model,0.6565,TRUE,0.11799225000000002
2018-08-03,CA-49,model,0.7895,TRUE,0.04431025000000001
2018-08-03,CA-S1,model,1,TRUE,0
2018-08-03,CO-05,model,0.0242,TRUE,5.8564e-4
2018-08-03,CO-06,model,0.6369,TRUE,0.13184161
2018-08-03,CT-05,model,0.9695,TRUE,9.302499999999982e-4
2018-08-03,FL-15,model,0.2619,TRUE,0.06859161000000001
2018-08-03,FL-17,model,0.0035,TRUE,1.2250000000000001e-5
2018-08-03,FL-26,model,0.3919,FALSE,0.36978561
2018-08-03,FL-27,model,0.9732,TRUE,7.182400000000025e-4
2018-08-03,FL-S1,model,0.6113,FALSE,0.37368768999999996
2018-08-03,IL-12,model,0.3923,TRUE,0.15389929
2018-08-03,IN-S1,model,0.7657,FALSE,0.5862964900000001
2018-08-03,MA-S1,model,0.9986,TRUE,1.959999999999879e-6
2018-08-03,MD-06,model,0.9895,TRUE,1.1024999999999903e-4
2018-08-03,ME-S1,model,0.9974,TRUE,6.760000000000243e-6
2018-08-03,MI-08,model,0.4275,FALSE,0.32775625
2018-08-03,MI-11,model,0.6705,TRUE,0.10857025000000001
2018-08-03,MI-S1,model,0.9856,TRUE,2.073599999999991e-4
2018-08-03,MN-01,model,0.4842,TRUE,0.23444964000000001
2018-08-03,MN-02,model,0.7572,TRUE,0.058951840000000005
2018-08-03,MN-03,model,0.646,TRUE,0.12531599999999998
2018-08-03,MN-08,model,0.3892,TRUE,0.15147664
2018-08-03,MN-S1,model,0.9981,TRUE,3.6100000000000484e-6
2018-08-03,MO-S1,model,0.6797,FALSE,0.46199208999999997
2018-08-03,MS-03,model,0.0057,TRUE,3.249e-5
2018-08-03,MS-S1,model,0.0124,TRUE,1.5376e-4
2018-08-03,MT-S1,model,0.8871,TRUE,0.01274641
2018-08-03,NC-13,model,0.3894,TRUE,0.15163236000000002
2018-08-03,ND-S1,model,0.5844,FALSE,0.34152336000000005
2018-08-03,NE-02,model,0.5789,FALSE,0.33512520999999995
2018-08-03,NE-S1,model,0.0444,TRUE,0.00197136
2018-08-03,NH-01,model,0.8049,TRUE,0.03806401000000002
2018-08-03,NJ-02,model,0.8887,TRUE,0.01238768999999999
2018-08-03,NJ-07,model,0.6283,TRUE,0.13816089000000004
2018-08-03,NJ-11,model,0.7245,TRUE,0.07590024999999999
2018-08-03,NJ-S1,model,0.9443,TRUE,0.003102489999999997
2018-08-03,NM-S1,model,0.972,TRUE,7.840000000000014e-4
2018-08-03,NV-03,model,0.6879,TRUE,0.09740641000000003
2018-08-03,NV-04,model,0.8471,TRUE,0.023378410000000013
2018-08-03,NV-S1,model,0.542,TRUE,0.20976399999999998
2018-08-03,NY-01,model,0.1104,TRUE,0.01218816
2018-08-03,NY-09,model,1,TRUE,0
2018-08-03,NY-14,model,1,TRUE,0
2018-08-03,NY-19,model,0.541,TRUE,0.21068099999999998
2018-08-03,OH-S1,model,0.9498,TRUE,0.002520040000000002
2018-08-03,PA-06,model,0.98,TRUE,4.000000000000007e-4
2018-08-03,PA-09,model,0.0084,TRUE,7.055999999999999e-5
2018-08-03,PA-15,model,0,TRUE,0
2018-08-03,PA-17,model,0.9717,TRUE,8.008899999999995e-4
