date,name,chamber,code,party,incumbent,voteshare,prob,mid,cid,price,volume
2018-08-10,Elizabeth Warren,senate,MA-99,D,TRUE,0.6406000000000001,0.999,2918,5264,0.95,56
2018-08-10,Ted Cruz,senate,TX-99,R,TRUE,0.5144,0.742,2928,5313,0.7,1303
2018-08-10,Bernard Sanders,senate,VT-99,I,TRUE,0.6796,1,2940,5368,0.95,542
2018-08-10,Joe Manchin III,senate,WV-99,D,TRUE,0.5287,0.859,2941,5369,0.75,533
2018-08-10,Joe Donnelly,senate,IN-99,D,TRUE,0.5303,0.864,2998,5563,0.39,12
2018-08-10,Nancy Pelosi,house,CA-12,D,TRUE,0.8981999999999999,1,3450,7165,0.9,51
2018-08-10,Heidi Heitkamp,senate,ND-99,D,TRUE,0.5101,0.594,3480,7266,0.42,81
2018-08-10,Claire McCaskill,senate,MO-99,D,TRUE,0.5103,0.733,3484,7270,0.47,333
2018-08-10,Tammy Baldwin,senate,WI-99,D,TRUE,0.5771000000000001,0.977,3485,7271,0.83,0
2018-08-10,Debbie Stabenow,senate,MI-99,D,TRUE,0.5722,0.985,3489,7287,0.79,390
2018-08-10,Anthony Brown,house,MD-04,D,TRUE,0.7712,1,3490,7288,0.82,341
2018-08-10,Robert Menendez,senate,NJ-99,D,TRUE,0.5509000000000001,0.945,3496,7308,0.75,0
2018-08-10,Martin Heinrich,senate,NM-99,D,TRUE,0.49439999999999995,0.969,3497,7309,0.91,0
2018-08-10,Angus S. King Jr.,senate,ME-99,I,TRUE,0.6271,0.998,3503,7332,0.97,0
2018-08-10,Martha McSally,senate,AZ-99,R,FALSE,0.46130000000000004,0.272,3507,7345,0.02,0
2018-08-10,Don Bacon,house,NE-02,R,TRUE,0.4929,0.426,3514,7352,0.54,100
2018-08-10,Diane L. Harkey,house,CA-49,R,FALSE,0.4667,0.197,3521,7377,0.03,1
2018-08-10,Mike Coffman,house,CO-06,R,TRUE,0.4702,0.364,3530,7392,0.4,0
2018-08-10,Carlos Curbelo,house,FL-26,R,TRUE,0.5129,0.622,3531,7393,0.41,0
2018-08-10,Jason Lewis,house,MN-02,R,TRUE,0.47240000000000004,0.25,3532,7394,0.15,0
2018-08-10,Barbara Comstock,house,VA-10,R,TRUE,0.4754,0.258,3538,7420,0.15,2
2018-08-10,Chris Pappas,house,NH-01,D,FALSE,0.5152,0.806,3539,7421,0.01,0
2018-08-10,Dean Heller,senate,NV-99,R,TRUE,0.4792,0.466,3608,7635,0.34,25
2018-08-10,Glenn W. Thompson,house,PA-15,R,TRUE,0.7116,1,3736,8047,0.93,0
2018-08-10,Susan Boser,house,PA-15,D,FALSE,0.2884,0,3736,8048,0.14,0
2018-08-10,Glenn W. Thompson,house,PA-15,R,TRUE,0.7116,1,3736,8047,0.93,0
2018-08-10,Susan Boser,house,PA-15,D,FALSE,0.2884,0,3736,8048,0.14,0
2018-08-10,Donna Shalala,house,FL-27,D,FALSE,0.574,0.974,3738,8050,0.94,0
2018-08-10,Maria Salazar,house,FL-27,R,FALSE,0.39520000000000005,0.026,3738,8052,0.11,0
2018-08-10,Donna Shalala,house,FL-27,D,FALSE,0.574,0.974,3738,8050,0.94,0
2018-08-10,Maria Salazar,house,FL-27,R,FALSE,0.39520000000000005,0.026,3738,8052,0.11,0
2018-08-10,Haley Stevens,house,MI-11,D,FALSE,0.49950000000000006,0.671,3739,8053,0.64,0
2018-08-10,Lena Epstein,house,MI-11,R,FALSE,0.4631,0.329,3739,8054,0.36,0
2018-08-10,Haley Stevens,house,MI-11,D,FALSE,0.49950000000000006,0.671,3739,8053,0.64,0
2018-08-10,Lena Epstein,house,MI-11,R,FALSE,0.4631,0.329,3739,8054,0.36,0
2018-08-10,Chris Pappas,house,NH-01,D,FALSE,0.5152,0.806,3767,8155,0.82,0
2018-08-10,Eddie Edwards,house,NH-01,R,FALSE,0.4415,0.194,3767,8156,0.25,0
2018-08-10,Chris Pappas,house,NH-01,D,FALSE,0.5152,0.806,3767,8155,0.82,0
