date,mid,cid,contract,price,volume
2018-08-05,2918,5264,Will Elizabeth Warren be re-elected?,0.94,1
2018-08-06,2918,5264,Will Elizabeth Warren be re-elected?,0.94,0
2018-08-07,2918,5264,Will Elizabeth Warren be re-elected?,0.94,92
2018-08-08,2918,5264,Will Elizabeth Warren be re-elected?,0.97,100
2018-08-09,2918,5264,Will Elizabeth Warren be re-elected?,0.97,0
2018-08-10,2918,5264,Will Elizabeth Warren be re-elected?,0.95,56
2018-08-11,2918,5264,Will Elizabeth Warren be re-elected?,0.95,50
2018-08-12,2918,5264,Will Elizabeth Warren be re-elected?,0.89,100
2018-08-13,2918,5264,Will Elizabeth Warren be re-elected?,0.9,40
2018-08-14,2918,5264,Will Elizabeth Warren be re-elected?,0.91,61
2018-08-15,2918,5264,Will Elizabeth Warren be re-elected?,0.91,85
2018-08-16,2918,5264,Will Elizabeth Warren be re-elected?,0.91,59
2018-08-17,2918,5264,Will Elizabeth Warren be re-elected?,0.91,0
2018-08-18,2918,5264,Will Elizabeth Warren be re-elected?,0.91,0
2018-08-19,2918,5264,Will Elizabeth Warren be re-elected?,0.95,50
2018-08-20,2918,5264,Will Elizabeth Warren be re-elected?,0.95,0
2018-08-21,2918,5264,Will Elizabeth Warren be re-elected?,0.93,144
2018-08-22,2918,5264,Will Elizabeth Warren be re-elected?,0.97,1
2018-08-23,2918,5264,Will Elizabeth Warren be re-elected?,0.95,76
2018-08-24,2918,5264,Will Elizabeth Warren be re-elected?,0.95,0
2018-08-25,2918,5264,Will Elizabeth Warren be re-elected?,0.96,72
2018-08-26,2918,5264,Will Elizabeth Warren be re-elected?,0.96,86
2018-08-27,2918,5264,Will Elizabeth Warren be re-elected?,0.96,49
2018-08-28,2918,5264,Will Elizabeth Warren be re-elected?,0.96,0
2018-08-29,2918,5264,Will Elizabeth Warren be re-elected?,0.96,0
2018-08-30,2918,5264,Will Elizabeth Warren be re-elected?,0.96,51
2018-08-31,2918,5264,Will Elizabeth Warren be re-elected?,0.92,11
2018-09-01,2918,5264,Will Elizabeth Warren be re-elected?,0.96,2
2018-09-02,2918,5264,Will Elizabeth Warren be re-elected?,0.94,211
2018-09-03,2918,5264,Will Elizabeth Warren be re-elected?,0.94,0
2018-09-04,2918,5264,Will Elizabeth Warren be re-elected?,0.94,224
2018-09-05,2918,5264,Will Elizabeth Warren be re-elected?,0.94,376
2018-09-06,2918,5264,Will Elizabeth Warren be re-elected?,0.91,700
2018-09-07,2918,5264,Will Elizabeth Warren be re-elected?,0.94,21
2018-09-08,2918,5264,Will Elizabeth Warren be re-elected?,0.94,0
2018-09-09,2918,5264,Will Elizabeth Warren be re-elected?,0.95,392
2018-09-10,2918,5264,Will Elizabeth Warren be re-elected?,0.93,34
2018-09-11,2918,5264,Will Elizabeth Warren be re-elected?,0.93,201
2018-09-12,2918,5264,Will Elizabeth Warren be re-elected?,0.93,1
2018-09-13,2918,5264,Will Elizabeth Warren be re-elected?,0.95,1525
2018-09-14,2918,5264,Will Elizabeth Warren be re-elected?,0.93,101
2018-09-15,2918,5264,Will Elizabeth Warren be re-elected?,0.95,1402
2018-09-16,2918,5264,Will Elizabeth Warren be re-elected?,0.95,0
2018-09-17,2918,5264,Will Elizabeth Warren be re-elected?,0.94,2
2018-09-18,2918,5264,Will Elizabeth Warren be re-elected?,0.95,291
2018-09-19,2918,5264,Will Elizabeth Warren be re-elected?,0.95,1
2018-09-20,2918,5264,Will Elizabeth Warren be re-elected?,0.95,384
2018-09-21,2918,5264,Will Elizabeth Warren be re-elected?,0.97,1716
2018-09-22,2918,5264,Will Elizabeth Warren be re-elected?,0.97,187
2018-09-23,2918,5264,Will Elizabeth Warren be re-elected?,0.93,16
2018-09-24,2918,5264,Will Elizabeth Warren be re-elected?,0.94,325
2018-09-25,2918,5264,Will Elizabeth Warren be re-elected?,0.93,236
2018-09-26,2918,5264,Will Elizabeth Warren be re-elected?,0.93,353
2018-09-27,2918,5264,Will Elizabeth Warren be re-elected?,0.91,2892
2018-09-28,2918,5264,Will Elizabeth Warren be re-elected?,0.96,62
2018-09-29,2918,5264,Will Elizabeth Warren be re-elected?,0.93,94
2018-09-30,2918,5264,Will Elizabeth Warren be re-elected?,0.93,216
