date,mid,cid,price,volume,code,party
2018-08-10,2918,5264,0.95,56,MA-00,D
2018-08-10,2928,5313,0.7,1303,TX-00,R
2018-08-10,2940,5368,0.95,542,VT-00,I
2018-08-10,2941,5369,0.75,533,WV-00,D
2018-08-10,2998,5563,0.39,12,IN-00,D
2018-08-10,3450,7165,0.9,51,CA-12,D
2018-08-10,3480,7266,0.42,81,ND-00,D
2018-08-10,3484,7270,0.47,333,MO-00,D
2018-08-10,3485,7271,0.83,0,WI-00,D
2018-08-10,3489,7287,0.79,390,MI-00,D
2018-08-10,3490,7288,0.82,341,MD-04,D
2018-08-10,3496,7308,0.75,0,NJ-00,D
2018-08-10,3497,7309,0.91,0,NM-00,D
2018-08-10,3503,7332,0.97,0,ME-00,I
2018-08-10,3507,7345,0.02,0,AZ-00,R
2018-08-10,3514,7352,0.54,100,NE-02,R
2018-08-10,3521,7377,0.03,1,CA-49,R
2018-08-10,3530,7392,0.4,0,CO-06,R
2018-08-10,3531,7393,0.41,0,FL-26,R
2018-08-10,3532,7394,0.15,0,MN-02,R
2018-08-10,3538,7420,0.15,2,VA-10,R
2018-08-10,3539,7421,0.01,0,NH-01,D
2018-08-10,3608,7635,0.34,25,NV-00,R
2018-08-10,3736,8047,0.93,0,PA-15,R
2018-08-10,3736,8048,0.14,0,PA-15,D
2018-08-10,3736,8047,0.93,0,PA-15,R
2018-08-10,3736,8048,0.14,0,PA-15,D
2018-08-10,3738,8050,0.94,0,FL-27,D
2018-08-10,3738,8052,0.11,0,FL-27,R
2018-08-10,3738,8050,0.94,0,FL-27,D
2018-08-10,3738,8052,0.11,0,FL-27,R
2018-08-10,3739,8053,0.64,0,MI-11,D
2018-08-10,3739,8054,0.36,0,MI-11,R
2018-08-10,3739,8053,0.64,0,MI-11,D
2018-08-10,3739,8054,0.36,0,MI-11,R
2018-08-10,3767,8155,0.82,0,NH-01,D
2018-08-10,3767,8156,0.25,0,NH-01,R
2018-08-10,3767,8155,0.82,0,NH-01,D
2018-08-10,3767,8156,0.25,0,NH-01,R
2018-08-10,3772,8173,0.46,28,TN-00,D
2018-08-10,3772,8174,0.55,0,TN-00,R
2018-08-10,3772,8173,0.46,28,TN-00,D
2018-08-10,3772,8174,0.55,0,TN-00,R
2018-08-10,3857,8455,0.86,0,CA-00,D
2018-08-10,3862,8469,0.94,0,NJ-02,D
2018-08-10,3862,8470,0.18,20,NJ-02,R
2018-08-10,3862,8469,0.94,0,NJ-02,D
2018-08-10,3862,8470,0.18,20,NJ-02,R
2018-08-10,3863,8467,0.89,0,TX-05,R
2018-08-10,3863,8471,0.1,0,TX-05,D
2018-08-10,3863,8467,0.89,0,TX-05,R
2018-08-10,3863,8471,0.1,0,TX-05,D
2018-08-10,3864,8466,0.95,0,TX-21,R
2018-08-10,3864,8468,0.17,42,TX-21,D
2018-08-10,3864,8466,0.95,0,TX-21,R
2018-08-10,3864,8468,0.17,42,TX-21,D
2018-08-10,3866,8481,0.9,0,VA-06,R
2018-08-10,3866,8482,0.1,0,VA-06,D
2018-08-10,3866,8481,0.9,0,VA-06,R
2018-08-10,3866,8482,0.1,0,VA-06,D
2018-08-10,3883,8565,0.96,0,TX-29,D
2018-08-10,3883,8566,0.04,0,TX-29,R
2018-08-10,3883,8565,0.96,0,TX-29,D
2018-08-10,3883,8566,0.04,0,TX-29,R
2018-08-10,3886,8570,0.63,1,VA-02,D
2018-08-10,3886,8571,0.44,50,VA-02,R
2018-08-10,3886,8570,0.63,1,VA-02,D
2018-08-10,3886,8571,0.44,50,VA-02,R
2018-08-10,3905,8645,0.65,105,CA-22,R
2018-08-10,3935,8783,0.06,0,TX-06,D
2018-08-10,3935,8784,0.92,0,TX-06,R
2018-08-10,3935,8783,0.06,0,TX-06,D
2018-08-10,3935,8784,0.92,0,TX-06,R
2018-08-10,3949,8834,0.81,0,MN-00,D
2018-08-10,3949,8835,0.17,0,MN-00,R
2018-08-10,3949,8834,0.81,0,MN-00,D
2018-08-10,3949,8835,0.17,0,MN-00,R
2018-08-10,4015,9079,0.16,0,MD-06,R
2018-08-10,4015,9080,0.93,0,MD-06,D
2018-08-10,4015,9079,0.16,0,MD-06,R
2018-08-10,4015,9080,0.93,0,MD-06,D
2018-08-10,4016,9078,0.94,0,PA-09,R
2018-08-10,4016,9081,0.03,0,PA-09,D
2018-08-10,4016,9078,0.94,0,PA-09,R
2018-08-10,4016,9081,0.03,0,PA-09,D
2018-08-10,4023,9094,0.1,0,MS-03,D
2018-08-10,4023,9095,0.92,0,MS-03,R
2018-08-10,4023,9094,0.1,0,MS-03,D
2018-08-10,4023,9095,0.92,0,MS-03,R
2018-08-10,4104,9373,0.81,4,NJ-11,D
2018-08-10,4104,9374,0.2,2,NJ-11,R
2018-08-10,4104,9373,0.81,4,NJ-11,D
2018-08-10,4104,9374,0.2,2,NJ-11,R
2018-08-10,4105,9369,0.98,0,NY-09,D
2018-08-10,4105,9370,0.07,0,NY-09,R
2018-08-10,4105,9369,0.98,0,NY-09,D
2018-08-10,4105,9370,0.07,0,NY-09,R
2018-08-10,4106,9371,0.85,0,SC-04,R
2018-08-10,4106,9372,0.02,0,SC-04,D
2018-08-10,4106,9371,0.85,0,SC-04,R
2018-08-10,4106,9372,0.02,0,SC-04,D
2018-08-10,4126,9452,0.38,0,NY-19,R
2018-08-10,4126,9453,0.62,23,NY-19,D
2018-08-10,4126,9452,0.38,0,NY-19,R
2018-08-10,4126,9453,0.62,23,NY-19,D
2018-08-10,4127,9454,0.77,2,NY-01,R
2018-08-10,4127,9455,0.28,32,NY-01,D
2018-08-10,4127,9454,0.77,2,NY-01,R
2018-08-10,4127,9455,0.28,32,NY-01,D
2018-08-10,4138,9503,0.61,10,MN-08,R
2018-08-10,4138,9504,0.55,0,MN-08,D
2018-08-10,4138,9503,0.61,10,MN-08,R
2018-08-10,4138,9504,0.55,0,MN-08,D
2018-08-10,4156,9571,0.09,1,FL-17,D
2018-08-10,4156,9572,0.89,0,FL-17,R
2018-08-10,4156,9571,0.09,1,FL-17,D
2018-08-10,4156,9572,0.89,0,FL-17,R
2018-08-10,4177,9647,0.84,0,PA-00,D
2018-08-10,4177,9648,0.14,0,PA-00,R
2018-08-10,4177,9647,0.84,0,PA-00,D
2018-08-10,4177,9648,0.14,0,PA-00,R
2018-08-10,4231,9906,0.91,25,NE-00,R
2018-08-10,4232,9907,0.87,0,PA-00,D
2018-08-10,4253,10000,0.96,0,PA-06,D
2018-08-10,4253,10001,0.12,0,PA-06,R
2018-08-10,4253,10000,0.96,0,PA-06,D
2018-08-10,4253,10001,0.12,0,PA-06,R
2018-08-10,4255,10007,0.55,0,MN-03,D
2018-08-10,4255,10008,0.57,0,MN-03,R
2018-08-10,4255,10007,0.55,0,MN-03,D
2018-08-10,4255,10008,0.57,0,MN-03,R
2018-08-10,4257,10005,0.57,19,IL-12,D
2018-08-10,4257,10011,0.53,24,IL-12,R
2018-08-10,4257,10005,0.57,19,IL-12,D
2018-08-10,4257,10011,0.53,24,IL-12,R
2018-08-10,4258,10004,0.64,0,NJ-07,D
2018-08-10,4258,10006,0.44,0,NJ-07,R
2018-08-10,4258,10004,0.64,0,NJ-07,D
2018-08-10,4258,10006,0.44,0,NJ-07,R
2018-08-10,4264,10031,0.55,0,NC-13,R
2018-08-10,4264,10033,0.46,22,NC-13,D
2018-08-10,4264,10031,0.55,0,NC-13,R
2018-08-10,4264,10033,0.46,22,NC-13,D
2018-08-10,4271,10064,0.88,0,PA-17,D
2018-08-10,4271,10065,0.29,0,PA-17,R
2018-08-10,4271,10064,0.88,0,PA-17,D
2018-08-10,4271,10065,0.29,0,PA-17,R
2018-08-10,4281,10107,0.96,0,CT-05,D
2018-08-10,4281,10108,0.1,0,CT-05,R
2018-08-10,4281,10107,0.96,0,CT-05,D
2018-08-10,4281,10108,0.1,0,CT-05,R
2018-08-10,4341,10356,0.93,0,CO-05,R
2018-08-10,4447,10829,0.27,0,NV-04,R
2018-08-10,4447,10830,0.89,0,NV-04,D
2018-08-10,4447,10829,0.27,0,NV-04,R
2018-08-10,4447,10830,0.89,0,NV-04,D
2018-08-10,4557,11265,0.05,300,VA-00,R
2018-08-10,4557,11267,0.94,1,VA-00,D
2018-08-10,4557,11265,0.05,300,VA-00,R
2018-08-10,4557,11267,0.94,1,VA-00,D
2018-08-10,4643,11569,0.95,0,NY-14,D
2018-08-10,4643,11570,0.05,25,NY-14,R
2018-08-10,4643,11569,0.95,0,NY-14,D
2018-08-10,4643,11570,0.05,25,NY-14,R
2018-08-10,4644,11571,0.68,0,WV-03,D
2018-08-10,4644,11572,0.32,5,WV-03,R
2018-08-10,4644,11571,0.68,0,WV-03,D
2018-08-10,4644,11572,0.32,5,WV-03,R
2018-08-11,2918,5264,0.95,50,MA-00,D
2018-08-11,2928,5313,0.72,1128,TX-00,R
2018-08-11,2940,5368,0.95,0,VT-00,I
2018-08-11,2941,5369,0.79,470,WV-00,D
2018-08-11,2998,5563,0.4,10,IN-00,D
2018-08-11,2999,5564,0.53,165,FL-00,D
2018-08-11,3450,7165,0.93,1,CA-12,D
2018-08-11,3480,7266,0.4,25,ND-00,D
2018-08-11,3481,7267,0.68,374,MT-00,D
2018-08-11,3484,7270,0.48,275,MO-00,D
2018-08-11,3485,7271,0.83,28,WI-00,D
2018-08-11,3489,7287,0.79,654,MI-00,D
2018-08-11,3490,7288,0.82,83,MD-04,D
2018-08-11,3496,7308,0.77,35,NJ-00,D
2018-08-11,3497,7309,0.91,0,NM-00,D
2018-08-11,3503,7332,0.97,0,ME-00,I
2018-08-11,3507,7345,0.02,88,AZ-00,R
2018-08-11,3513,7351,0.38,35,TX-23,R
2018-08-11,3514,7352,0.54,0,NE-02,R
2018-08-11,3520,7376,0.35,25,CA-25,R
2018-08-11,3521,7377,0.03,0,CA-49,R
2018-08-11,3522,7378,0.33,3,CA-10,R
2018-08-11,3530,7392,0.37,4,CO-06,R
2018-08-11,3531,7393,0.38,135,FL-26,R
2018-08-11,3532,7394,0.15,0,MN-02,R
2018-08-11,3538,7420,0.15,5,VA-10,R
2018-08-11,3539,7421,0.01,0,NH-01,D
2018-08-11,3608,7635,0.36,24,NV-00,R
2018-08-11,3736,8047,0.93,0,PA-15,R
2018-08-11,3736,8048,0.14,0,PA-15,D
2018-08-11,3736,8047,0.93,0,PA-15,R
2018-08-11,3736,8048,0.14,0,PA-15,D
2018-08-11,3737,8049,0.4,1,WA-08,R
2018-08-11,3737,8051,0.67,4,WA-08,D
2018-08-11,3737,8049,0.4,1,WA-08,R
2018-08-11,3737,8051,0.67,4,WA-08,D
2018-08-11,3738,8050,0.94,0,FL-27,D
2018-08-11,3738,8052,0.11,0,FL-27,R
2018-08-11,3738,8050,0.94,0,FL-27,D
2018-08-11,3738,8052,0.11,0,FL-27,R
2018-08-11,3739,8053,0.67,5,MI-11,D
2018-08-11,3739,8054,0.36,0,MI-11,R
2018-08-11,3739,8053,0.67,5,MI-11,D
2018-08-11,3739,8054,0.36,0,MI-11,R
2018-08-11,3767,8155,0.82,0,NH-01,D
2018-08-11,3767,8156,0.2,2,NH-01,R
2018-08-11,3767,8155,0.82,0,NH-01,D
2018-08-11,3767,8156,0.2,2,NH-01,R
2018-08-11,3772,8173,0.51,622,TN-00,D
2018-08-11,3772,8174,0.53,179,TN-00,R
2018-08-11,3772,8173,0.51,622,TN-00,D
2018-08-11,3772,8174,0.53,179,TN-00,R
2018-08-11,3812,8313,0.38,158,AZ-00,R
2018-08-11,3812,8314,0.64,25,AZ-00,D
2018-08-11,3812,8313,0.38,158,AZ-00,R
2018-08-11,3812,8314,0.64,25,AZ-00,D
2018-08-11,3857,8455,0.87,31,CA-00,D
2018-08-11,3862,8469,0.94,1,NJ-02,D
2018-08-11,3862,8470,0.18,0,NJ-02,R
2018-08-11,3862,8469,0.94,1,NJ-02,D
2018-08-11,3862,8470,0.18,0,NJ-02,R
2018-08-11,3863,8467,0.89,0,TX-05,R
2018-08-11,3863,8471,0.1,134,TX-05,D
2018-08-11,3863,8467,0.89,0,TX-05,R
2018-08-11,3863,8471,0.1,134,TX-05,D
2018-08-11,3864,8466,0.95,0,TX-21,R
2018-08-11,3864,8468,0.17,0,TX-21,D
2018-08-11,3864,8466,0.95,0,TX-21,R
2018-08-11,3864,8468,0.17,0,TX-21,D
2018-08-11,3866,8481,0.9,0,VA-06,R
2018-08-11,3866,8482,0.1,0,VA-06,D
2018-08-11,3866,8481,0.9,0,VA-06,R
2018-08-11,3866,8482,0.1,0,VA-06,D
2018-08-11,3883,8565,0.96,0,TX-29,D
2018-08-11,3883,8566,0.04,0,TX-29,R
2018-08-11,3883,8565,0.96,0,TX-29,D
2018-08-11,3883,8566,0.04,0,TX-29,R
2018-08-11,3886,8570,0.63,5,VA-02,D
2018-08-11,3886,8571,0.38,2,VA-02,R
2018-08-11,3886,8570,0.63,5,VA-02,D
2018-08-11,3886,8571,0.38,2,VA-02,R
2018-08-11,3905,8645,0.74,463,CA-22,R
2018-08-11,3935,8783,0.06,0,TX-06,D
2018-08-11,3935,8784,0.92,0,TX-06,R
2018-08-11,3935,8783,0.06,0,TX-06,D
2018-08-11,3935,8784,0.92,0,TX-06,R
2018-08-11,3949,8834,0.84,2,MN-00,D
2018-08-11,3949,8835,0.17,0,MN-00,R
2018-08-11,3949,8834,0.84,2,MN-00,D
2018-08-11,3949,8835,0.17,0,MN-00,R
2018-08-11,4015,9079,0.16,0,MD-06,R
2018-08-11,4015,9080,0.93,0,MD-06,D
2018-08-11,4015,9079,0.16,0,MD-06,R
2018-08-11,4015,9080,0.93,0,MD-06,D
2018-08-11,4016,9078,0.94,0,PA-09,R
2018-08-11,4016,9081,0.03,0,PA-09,D
2018-08-11,4016,9078,0.94,0,PA-09,R
2018-08-11,4016,9081,0.03,0,PA-09,D
2018-08-11,4023,9094,0.1,0,MS-03,D
2018-08-11,4023,9095,0.92,0,MS-03,R
2018-08-11,4023,9094,0.1,0,MS-03,D
2018-08-11,4023,9095,0.92,0,MS-03,R
2018-08-11,4030,9124,0.61,30,CA-39,D
2018-08-11,4030,9125,0.36,52,CA-39,R
2018-08-11,4030,9124,0.61,30,CA-39,D
2018-08-11,4030,9125,0.36,52,CA-39,R
2018-08-11,4039,9152,0.77,3,CA-49,D
2018-08-11,4039,9153,0.25,2,CA-49,R
2018-08-11,4039,9152,0.77,3,CA-49,D
2018-08-11,4039,9153,0.25,2,CA-49,R
2018-08-11,4104,9373,0.81,11,NJ-11,D
2018-08-11,4104,9374,0.2,0,NJ-11,R
2018-08-11,4104,9373,0.81,11,NJ-11,D
2018-08-11,4104,9374,0.2,0,NJ-11,R
2018-08-11,4105,9369,0.98,0,NY-09,D
2018-08-11,4105,9370,0.07,0,NY-09,R
2018-08-11,4105,9369,0.98,0,NY-09,D
2018-08-11,4105,9370,0.07,0,NY-09,R
2018-08-11,4106,9371,0.85,0,SC-04,R
2018-08-11,4106,9372,0.02,0,SC-04,D
2018-08-11,4106,9371,0.85,0,SC-04,R
2018-08-11,4106,9372,0.02,0,SC-04,D
2018-08-11,4126,9452,0.38,0,NY-19,R
2018-08-11,4126,9453,0.62,12,NY-19,D
2018-08-11,4126,9452,0.38,0,NY-19,R
2018-08-11,4126,9453,0.62,12,NY-19,D
2018-08-11,4127,9454,0.77,4,NY-01,R
2018-08-11,4127,9455,0.28,0,NY-01,D
2018-08-11,4127,9454,0.77,4,NY-01,R
2018-08-11,4127,9455,0.28,0,NY-01,D
2018-08-11,4138,9503,0.58,10,MN-08,R
2018-08-11,4138,9504,0.55,0,MN-08,D
2018-08-11,4138,9503,0.58,10,MN-08,R
2018-08-11,4138,9504,0.55,0,MN-08,D
2018-08-11,4156,9571,0.09,0,FL-17,D
2018-08-11,4156,9572,0.89,0,FL-17,R
2018-08-11,4156,9571,0.09,0,FL-17,D
2018-08-11,4156,9572,0.89,0,FL-17,R
2018-08-11,4177,9647,0.84,0,PA-00,D
2018-08-11,4177,9648,0.14,0,PA-00,R
2018-08-11,4177,9647,0.84,0,PA-00,D
2018-08-11,4177,9648,0.14,0,PA-00,R
2018-08-11,4192,9733,0.92,0,MS-00,R
2018-08-11,4192,9734,0.11,50,MS-00,D
2018-08-11,4192,9733,0.92,0,MS-00,R
2018-08-11,4192,9734,0.11,50,MS-00,D
2018-08-11,4231,9906,0.95,645,NE-00,R
2018-08-11,4232,9907,0.93,1,PA-00,D
2018-08-11,4253,10000,0.96,0,PA-06,D
2018-08-11,4253,10001,0.12,0,PA-06,R
2018-08-11,4253,10000,0.96,0,PA-06,D
2018-08-11,4253,10001,0.12,0,PA-06,R
2018-08-11,4255,10007,0.56,50,MN-03,D
2018-08-11,4255,10008,0.57,0,MN-03,R
2018-08-11,4255,10007,0.56,50,MN-03,D
2018-08-11,4255,10008,0.57,0,MN-03,R
2018-08-11,4256,10009,0.57,0,MI-08,R
2018-08-11,4256,10010,0.55,0,MI-08,D
2018-08-11,4256,10009,0.57,0,MI-08,R
2018-08-11,4256,10010,0.55,0,MI-08,D
2018-08-11,4257,10005,0.58,44,IL-12,D
2018-08-11,4257,10011,0.46,3,IL-12,R
2018-08-11,4257,10005,0.58,44,IL-12,D
2018-08-11,4257,10011,0.46,3,IL-12,R
2018-08-11,4258,10004,0.65,15,NJ-07,D
2018-08-11,4258,10006,0.33,5,NJ-07,R
2018-08-11,4258,10004,0.65,15,NJ-07,D
2018-08-11,4258,10006,0.33,5,NJ-07,R
2018-08-11,4263,10030,0.38,0,NC-09,R
2018-08-11,4263,10032,0.75,0,NC-09,D
2018-08-11,4263,10030,0.38,0,NC-09,R
2018-08-11,4263,10032,0.75,0,NC-09,D
2018-08-11,4264,10031,0.46,3,NC-13,R
2018-08-11,4264,10033,0.54,5,NC-13,D
2018-08-11,4264,10031,0.46,3,NC-13,R
2018-08-11,4264,10033,0.54,5,NC-13,D
2018-08-11,4271,10064,0.88,0,PA-17,D
2018-08-11,4271,10065,0.29,0,PA-17,R
2018-08-11,4271,10064,0.88,0,PA-17,D
2018-08-11,4271,10065,0.29,0,PA-17,R
2018-08-11,4281,10107,0.96,0,CT-05,D
2018-08-11,4281,10108,0.1,0,CT-05,R
2018-08-11,4281,10107,0.96,0,CT-05,D
2018-08-11,4281,10108,0.1,0,CT-05,R
2018-08-11,4304,10202,0.45,91,WI-01,D
2018-08-11,4304,10203,0.53,7,WI-01,R
2018-08-11,4304,10202,0.45,91,WI-01,D
2018-08-11,4304,10203,0.53,7,WI-01,R
2018-08-11,4315,10257,0.31,2,FL-15,D
2018-08-11,4315,10258,0.77,28,FL-15,R
2018-08-11,4315,10257,0.31,2,FL-15,D
2018-08-11,4315,10258,0.77,28,FL-15,R
2018-08-11,4341,10356,0.93,0,CO-05,R
2018-08-11,4446,10825,0.56,2,MN-01,D
2018-08-11,4446,10828,0.5,0,MN-01,R
2018-08-11,4446,10825,0.56,2,MN-01,D
2018-08-11,4446,10828,0.5,0,MN-01,R
2018-08-11,4447,10829,0.27,0,NV-04,R
2018-08-11,4447,10830,0.89,0,NV-04,D
2018-08-11,4447,10829,0.27,0,NV-04,R
2018-08-11,4447,10830,0.89,0,NV-04,D
2018-08-11,4448,10826,0.89,1,NV-03,D
2018-08-11,4448,10827,0.15,0,NV-03,R
2018-08-11,4448,10826,0.89,1,NV-03,D
2018-08-11,4448,10827,0.15,0,NV-03,R
2018-08-11,4557,11265,0.05,0,VA-00,R
2018-08-11,4557,11267,0.94,0,VA-00,D
2018-08-11,4557,11265,0.05,0,VA-00,R
2018-08-11,4557,11267,0.94,0,VA-00,D
2018-08-11,4638,11546,0.73,3,CA-48,D
2018-08-11,4638,11547,0.32,0,CA-48,R
2018-08-11,4638,11546,0.73,3,CA-48,D
2018-08-11,4638,11547,0.32,0,CA-48,R
2018-08-11,4643,11569,0.95,0,NY-14,D
2018-08-11,4643,11570,0.05,0,NY-14,R
2018-08-11,4643,11569,0.95,0,NY-14,D
2018-08-11,4643,11570,0.05,0,NY-14,R
2018-08-11,4644,11571,0.7,8,WV-03,D
2018-08-11,4644,11572,0.32,0,WV-03,R
2018-08-11,4644,11571,0.7,8,WV-03,D
2018-08-11,4644,11572,0.32,0,WV-03,R
2018-08-11,4729,11900,0.06,6710,NY-27,R
2018-08-12,2918,5264,0.89,100,MA-00,D
2018-08-12,2928,5313,0.73,1360,TX-00,R
2018-08-12,2940,5368,0.95,0,VT-00,I
2018-08-12,2941,5369,0.76,39,WV-00,D
2018-08-12,2998,5563,0.39,401,IN-00,D
2018-08-12,2999,5564,0.55,300,FL-00,D
2018-08-12,3450,7165,0.91,10,CA-12,D
2018-08-12,3480,7266,0.43,1,ND-00,D
2018-08-12,3481,7267,0.67,620,MT-00,D
2018-08-12,3484,7270,0.48,305,MO-00,D
2018-08-12,3485,7271,0.83,0,WI-00,D
2018-08-12,3489,7287,0.76,565,MI-00,D
2018-08-12,3490,7288,0.88,916,MD-04,D
2018-08-12,3496,7308,0.77,3,NJ-00,D
2018-08-12,3497,7309,0.91,0,NM-00,D
2018-08-12,3503,7332,0.97,0,ME-00,I
2018-08-12,3507,7345,0.02,0,AZ-00,R
2018-08-12,3513,7351,0.38,0,TX-23,R
2018-08-12,3514,7352,0.54,10,NE-02,R
2018-08-12,3520,7376,0.35,0,CA-25,R
2018-08-12,3521,7377,0.03,0,CA-49,R
2018-08-12,3522,7378,0.33,0,CA-10,R
