date,race,method,prob,pred,winner,hit,brier
2018-08-01,AZ-S1,market,0.66,TRUE,TRUE,TRUE,0.1156
2018-08-01,AZ-S1,model,0.738,TRUE,TRUE,TRUE,0.0686
2018-08-01,CA-12,market,0.91,TRUE,TRUE,TRUE,0.0081
2018-08-01,CA-12,model,1,TRUE,TRUE,TRUE,0
2018-08-01,CA-22,market,0.30000000000000004,FALSE,FALSE,TRUE,0.09
2018-08-01,CA-22,model,0.0493,FALSE,FALSE,TRUE,0.0024
2018-08-01,CA-25,market,0.61,TRUE,TRUE,TRUE,0.1521
2018-08-01,CA-25,model,0.7453,TRUE,TRUE,TRUE,0.0649
2018-08-01,CA-39,market,0.61,TRUE,TRUE,TRUE,0.1521
2018-08-01,CA-39,model,0.3768,FALSE,TRUE,FALSE,0.3884
2018-08-01,CA-48,market,0.72,TRUE,TRUE,TRUE,0.0784
2018-08-01,CA-48,model,0.6662,TRUE,TRUE,TRUE,0.1114
2018-08-01,CA-49,market,0.74,TRUE,TRUE,TRUE,0.0676
2018-08-01,CA-49,model,0.7948,TRUE,TRUE,TRUE,0.0421
2018-08-01,CA-S1,market,0.94,TRUE,TRUE,TRUE,0.0036
2018-08-01,CA-S1,model,1,TRUE,TRUE,TRUE,0
2018-08-01,CO-05,market,0.06000000000000005,FALSE,FALSE,TRUE,0.0036
2018-08-01,CO-05,model,0.0273,FALSE,FALSE,TRUE,7e-4
2018-08-01,CO-06,market,0.5800000000000001,TRUE,TRUE,TRUE,0.1764
2018-08-01,CO-06,model,0.6484,TRUE,TRUE,TRUE,0.1236
2018-08-01,CT-05,market,0.9,TRUE,TRUE,TRUE,0.01
2018-08-01,CT-05,model,0.9667,TRUE,TRUE,TRUE,0.0011
2018-08-01,FL-15,market,0.23,FALSE,FALSE,TRUE,0.0529
2018-08-01,FL-15,model,0.2738,FALSE,FALSE,TRUE,0.075
2018-08-01,FL-17,market,0.1,FALSE,FALSE,TRUE,0.01
2018-08-01,FL-17,model,0.004,FALSE,FALSE,TRUE,0
2018-08-01,FL-26,market,0.55,TRUE,TRUE,TRUE,0.2025
2018-08-01,FL-26,model,0.403,FALSE,TRUE,FALSE,0.3564
2018-08-01,FL-27,market,0.89,TRUE,TRUE,TRUE,0.0121
2018-08-01,FL-27,model,0.9745,TRUE,TRUE,TRUE,7e-4
2018-08-01,FL-S1,market,0.53,TRUE,FALSE,FALSE,0.2809
2018-08-01,FL-S1,model,0.6156,TRUE,FALSE,FALSE,0.379
2018-08-01,IL-12,market,0.42,FALSE,FALSE,TRUE,0.1764
2018-08-01,IL-12,model,0.4048,FALSE,FALSE,TRUE,0.1639
2018-08-01,IN-S1,market,0.35,FALSE,FALSE,TRUE,0.1225
2018-08-01,IN-S1,model,0.7716,TRUE,FALSE,FALSE,0.5954
2018-08-01,MA-S1,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-01,MA-S1,model,0.9991,TRUE,TRUE,TRUE,0
2018-08-01,MD-06,market,0.97,TRUE,TRUE,TRUE,9e-4
2018-08-01,MD-06,model,0.9915,TRUE,TRUE,TRUE,1e-4
2018-08-01,ME-S1,market,0.97,TRUE,TRUE,TRUE,9e-4
2018-08-01,ME-S1,model,0.9971,TRUE,TRUE,TRUE,0
2018-08-01,MI-08,market,0.44,FALSE,TRUE,FALSE,0.3136
2018-08-01,MI-08,model,0.4448,FALSE,TRUE,FALSE,0.3082
2018-08-01,MI-11,market,0.62,TRUE,TRUE,TRUE,0.1444
2018-08-01,MI-11,model,0.6872,TRUE,TRUE,TRUE,0.0978
2018-08-01,MI-S1,market,0.84,TRUE,TRUE,TRUE,0.0256
2018-08-01,MI-S1,model,0.9857,TRUE,TRUE,TRUE,2e-4
2018-08-01,MN-01,market,0.56,TRUE,FALSE,FALSE,0.3136
2018-08-01,MN-01,model,0.4841,FALSE,FALSE,TRUE,0.2344
2018-08-01,MN-02,market,0.91,TRUE,TRUE,TRUE,0.0081
2018-08-01,MN-02,model,0.7609,TRUE,TRUE,TRUE,0.0572
2018-08-01,MN-03,market,0.54,TRUE,TRUE,TRUE,0.2116
2018-08-01,MN-03,model,0.6634,TRUE,TRUE,TRUE,0.1133
2018-08-01,MN-08,market,0.46,FALSE,FALSE,TRUE,0.2116
2018-08-01,MN-08,model,0.3959,FALSE,FALSE,TRUE,0.1567
2018-08-01,MN-S1,market,0.81,TRUE,TRUE,TRUE,0.0361
2018-08-01,MN-S1,model,0.9983,TRUE,TRUE,TRUE,0
2018-08-01,MO-S1,market,0.48,FALSE,FALSE,TRUE,0.2304
2018-08-01,MO-S1,model,0.6931,TRUE,FALSE,FALSE,0.4804
2018-08-01,MS-03,market,0.12,FALSE,FALSE,TRUE,0.0144
2018-08-01,MS-03,model,0.0055,FALSE,FALSE,TRUE,0
2018-08-01,MS-S1,market,0.14,FALSE,FALSE,TRUE,0.0196
2018-08-01,MS-S1,model,0.0133,FALSE,FALSE,TRUE,2e-4
2018-08-01,MT-S1,market,0.64,TRUE,TRUE,TRUE,0.1296
2018-08-01,MT-S1,model,0.8883,TRUE,TRUE,TRUE,0.0125
2018-08-01,NC-13,market,0.55,TRUE,FALSE,FALSE,0.3025
2018-08-01,NC-13,model,0.4052,FALSE,FALSE,TRUE,0.1642
2018-08-01,ND-S1,market,0.47,FALSE,FALSE,TRUE,0.2209
2018-08-01,ND-S1,model,0.5998,TRUE,FALSE,FALSE,0.3598
2018-08-01,NE-02,market,0.5,FALSE,FALSE,TRUE,0.25
2018-08-01,NE-02,model,0.5964,TRUE,FALSE,FALSE,0.3557
2018-08-01,NE-S1,market,0.08999999999999997,FALSE,FALSE,TRUE,0.0081
2018-08-01,NE-S1,model,0.0472,FALSE,FALSE,TRUE,0.0022
2018-08-01,NH-01,market,0.82,TRUE,TRUE,TRUE,0.0324
2018-08-01,NH-01,model,0.8136,TRUE,TRUE,TRUE,0.0347
2018-08-01,NJ-02,market,0.91,TRUE,TRUE,TRUE,0.0081
2018-08-01,NJ-02,model,0.8952,TRUE,TRUE,TRUE,0.011
2018-08-01,NJ-07,market,0.65,TRUE,TRUE,TRUE,0.1225
2018-08-01,NJ-07,model,0.6388,TRUE,TRUE,TRUE,0.1305
2018-08-01,NJ-11,market,0.79,TRUE,TRUE,TRUE,0.0441
2018-08-01,NJ-11,model,0.7345,TRUE,TRUE,TRUE,0.0705
2018-08-01,NJ-S1,market,0.75,TRUE,TRUE,TRUE,0.0625
2018-08-01,NJ-S1,model,0.9451,TRUE,TRUE,TRUE,0.003
2018-08-01,NM-S1,market,0.85,TRUE,TRUE,TRUE,0.0225
2018-08-01,NM-S1,model,0.9967,TRUE,TRUE,TRUE,0
2018-08-01,NV-03,market,0.89,TRUE,TRUE,TRUE,0.0121
2018-08-01,NV-03,model,0.6947,TRUE,TRUE,TRUE,0.0932
2018-08-01,NV-04,market,0.73,TRUE,TRUE,TRUE,0.0729
2018-08-01,NV-04,model,0.8504,TRUE,TRUE,TRUE,0.0224
2018-08-01,NV-S1,market,0.64,TRUE,TRUE,TRUE,0.1296
2018-08-01,NV-S1,model,0.5497,TRUE,TRUE,TRUE,0.2028
2018-08-01,NY-01,market,0.3,FALSE,FALSE,TRUE,0.09
2018-08-01,NY-01,model,0.1182,FALSE,FALSE,TRUE,0.014
2018-08-01,NY-09,market,0.98,TRUE,TRUE,TRUE,4e-4
2018-08-01,NY-09,model,1,TRUE,TRUE,TRUE,0
2018-08-01,NY-14,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-01,NY-14,model,1,TRUE,TRUE,TRUE,0
2018-08-01,NY-19,market,0.64,TRUE,TRUE,TRUE,0.1296
2018-08-01,NY-19,model,0.5501,TRUE,TRUE,TRUE,0.2024
2018-08-01,OH-S1,market,0.84,TRUE,TRUE,TRUE,0.0256
2018-08-01,OH-S1,model,0.9536,TRUE,TRUE,TRUE,0.0022
2018-08-01,PA-06,market,0.96,TRUE,TRUE,TRUE,0.0016
2018-08-01,PA-06,model,0.9825,TRUE,TRUE,TRUE,3e-4
2018-08-01,PA-09,market,0.03,FALSE,FALSE,TRUE,9e-4
2018-08-01,PA-09,model,0.0093,FALSE,FALSE,TRUE,1e-4
2018-08-01,PA-15,market,0.06999999999999995,FALSE,FALSE,TRUE,0.0049
2018-08-01,PA-15,model,0,FALSE,FALSE,TRUE,0
2018-08-01,PA-17,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-01,PA-17,model,0.9734,TRUE,TRUE,TRUE,7e-4
2018-08-01,PA-S1,market,0.93,TRUE,TRUE,TRUE,0.0049
2018-08-01,PA-S1,model,0.9534,TRUE,TRUE,TRUE,0.0022
2018-08-01,SC-04,market,0.05,FALSE,FALSE,TRUE,0.0025
2018-08-01,SC-04,model,4e-4,FALSE,FALSE,TRUE,0
2018-08-01,TN-S1,market,0.51,TRUE,FALSE,FALSE,0.2601
2018-08-01,TN-S1,model,0.3713,FALSE,FALSE,TRUE,0.1379
2018-08-01,TX-05,market,0.10999999999999999,FALSE,FALSE,TRUE,0.0121
2018-08-01,TX-05,model,9e-4,FALSE,FALSE,TRUE,0
2018-08-01,TX-06,market,0.15,FALSE,FALSE,TRUE,0.0225
2018-08-01,TX-06,model,0.0779,FALSE,FALSE,TRUE,0.0061
2018-08-01,TX-21,market,0.14,FALSE,FALSE,TRUE,0.0196
2018-08-01,TX-21,model,0.1712,FALSE,FALSE,TRUE,0.0293
2018-08-01,TX-23,market,0.6599999999999999,TRUE,FALSE,FALSE,0.4356
2018-08-01,TX-23,model,0.7369,TRUE,FALSE,FALSE,0.543
2018-08-01,TX-29,market,0.95,TRUE,TRUE,TRUE,0.0025
2018-08-01,TX-29,model,1,TRUE,TRUE,TRUE,0
2018-08-01,TX-S1,market,0.28,FALSE,FALSE,TRUE,0.0784
2018-08-01,TX-S1,model,0.2689,FALSE,FALSE,TRUE,0.0723
