race,winner
AK-01,FALSE
AL-01,FALSE
AL-02,FALSE
AL-03,FALSE
AL-04,FALSE
AL-05,FALSE
AL-06,FALSE
AL-07,TRUE
AR-01,FALSE
AR-02,FALSE
AR-03,FALSE
AR-04,FALSE
AZ-01,TRUE
AZ-02,TRUE
AZ-03,TRUE
AZ-04,FALSE
AZ-05,FALSE
AZ-06,FALSE
AZ-07,TRUE
AZ-08,FALSE
AZ-09,TRUE
CA-01,FALSE
CA-10,TRUE
CA-11,TRUE
CA-12,TRUE
CA-13,TRUE
CA-14,TRUE
CA-15,TRUE
CA-16,TRUE
CA-17,TRUE
CA-18,TRUE
CA-19,TRUE
CA-02,TRUE
CA-20,TRUE
CA-21,TRUE
CA-22,FALSE
CA-23,FALSE
CA-24,TRUE
CA-25,TRUE
CA-26,TRUE
CA-27,TRUE
CA-28,TRUE
CA-29,TRUE
CA-03,TRUE
CA-30,TRUE
CA-31,TRUE
CA-32,TRUE
CA-33,TRUE
CA-34,TRUE
CA-35,TRUE
CA-36,TRUE
CA-37,TRUE
CA-38,TRUE
CA-39,TRUE
CA-04,FALSE
CA-40,TRUE
CA-41,TRUE
CA-42,FALSE
CA-43,TRUE
CA-44,TRUE
CA-45,TRUE
CA-46,TRUE
CA-47,TRUE
CA-48,TRUE
CA-49,TRUE
CA-05,TRUE
CA-50,FALSE
CA-51,TRUE
CA-52,TRUE
CA-53,TRUE
CA-06,TRUE
CA-07,TRUE
CA-08,FALSE
CA-09,TRUE
CO-01,TRUE
CO-02,TRUE
CO-03,FALSE
CO-04,FALSE
CO-05,FALSE
CO-06,TRUE
CO-07,TRUE
CT-01,TRUE
CT-02,TRUE
CT-03,TRUE
CT-04,TRUE
CT-05,TRUE
DE-01,TRUE
FL-01,FALSE
FL-10,TRUE
FL-11,FALSE
FL-12,FALSE
FL-13,TRUE
FL-14,TRUE
FL-15,FALSE
FL-16,FALSE
FL-17,FALSE
FL-18,FALSE
FL-19,FALSE
FL-02,FALSE
FL-20,TRUE
FL-21,TRUE
FL-22,TRUE
FL-23,TRUE
FL-24,TRUE
FL-25,FALSE
FL-26,TRUE
FL-27,TRUE
FL-03,FALSE
FL-04,FALSE
FL-05,TRUE
FL-06,FALSE
FL-07,TRUE
FL-08,FALSE
FL-09,TRUE
GA-01,FALSE
GA-10,FALSE
GA-11,FALSE
GA-12,FALSE
GA-13,TRUE
GA-14,FALSE
GA-02,TRUE
GA-03,FALSE
GA-04,TRUE
GA-05,TRUE
GA-06,TRUE
GA-07,FALSE
GA-08,FALSE
GA-09,FALSE
HI-01,TRUE
HI-02,TRUE
IA-01,TRUE
IA-02,TRUE
IA-03,TRUE
IA-04,FALSE
ID-01,FALSE
ID-02,FALSE
IL-01,TRUE
IL-10,TRUE
IL-11,TRUE
IL-12,FALSE
IL-13,FALSE
IL-14,TRUE
IL-15,FALSE
IL-16,FALSE
IL-17,TRUE
IL-18,FALSE
IL-02,TRUE
IL-03,TRUE
IL-04,TRUE
IL-05,TRUE
IL-06,TRUE
IL-07,TRUE
IL-08,TRUE
IL-09,TRUE
IN-01,TRUE
IN-02,FALSE
IN-03,FALSE
IN-04,FALSE
IN-05,FALSE
IN-06,FALSE
IN-07,TRUE
