ID,ideology,leadership,name,party,description,introduced_bills_115,cosponsored_bills_115,unique_cosponsors_115,total_cosponsors_115
412411,0.8438728254566822,0.6517340770335555,Ross,Republican,rank-and-file Republican,23,233,222,374
400116,0.8415067177621408,0.5112987959405784,Duncan [TN2],Republican,rank-and-file Republican,19,192,70,96
412510,0.9573570676924076,0.556455613949321,LaMalfa,Republican,conservative Republican,17,335,160,255
412309,0.8737366141040334,0.8195895972041374,Posey,Republican,conservative Republican leader,30,294,198,267
412209,0.44511621769710485,0.41274621565650155,Loebsack,Democrat,centrist Democrat,23,356,76,91
412537,0.4189108520065516,0.5032456558769179,Bustos,Democrat,centrist Democrat,22,296,132,261
400251,0.2434767499150607,0.8812307262397953,Maloney [NY12],Democrat,moderate Democratic leader,46,435,280,1331
412250,0.7798607609958561,0.7855354011317803,Bilirakis,Republican,moderate Republican leader,41,290,217,359
412282,0.35946014950689575,0.3495491970072901,Himes,Democrat,rank-and-file Democrat,19,320,110,160
412331,0.27519544853867944,0.5047399840211477,Quigley,Democrat,rank-and-file Democrat,22,469,192,476
412212,0.3174068445289289,0.5133487000435869,Sarbanes,Democrat,rank-and-file Democrat,8,249,188,378
400371,0.40498260735882347,0.3650420656164522,Sherman,Democrat,centrist Democrat,11,373,83,110
412571,0.27190694060174575,0.8131052588299088,Cartwright,Democrat,moderate Democratic leader,67,452,242,965
400004,0.7678812519066485,0.273935466498086,Aderholt,Republican,moderate Republican follower,5,125,33,33
400616,0.33427345191955743,0.5292299431992377,Butterfield,Democrat,rank-and-file Democrat,3,304,26,26
412236,0.17300175949259142,0.6646486140186564,Cohen,Democrat,progressive Democratic leader,35,980,258,745
412272,0.32690604487113906,0.6880463331563063,Connolly,Democrat,moderate Democratic leader,27,495,289,685
400648,0.6300182965479403,0.8204739873078434,Dent,Republican,centrist Republican leader,10,124,368,726
412290,0.6946748896656205,0.6748717817610942,Lance,Republican,rank-and-file Republican,26,287,235,371
400245,0.21216179876938762,0.6972442263847323,Lofgren,Democrat,progressive Democratic leader,18,830,207,653
400249,0.3128283996592946,0.7392082315906587,Lynch,Democrat,moderate Democratic leader,24,350,398,818
400263,0.11140940200113666,0.5623638614292549,McGovern,Democrat,progressive Democrat,14,946,170,330
400295,0.0,0.5116000079489504,Norton,Democrat,progressive Democrat,98,1377,199,363
400349,0.44966866199939487,0.115415295325262,Ruppersberger,Democrat,centrist Democratic follower,6,333,25,27
412565,0.33658695683787215,0.5559100368974003,Beatty,Democrat,rank-and-file Democrat,18,480,103,286
412404,0.23553158645370478,0.7439213451771316,Bass,Democrat,moderate Democratic leader,27,430,247,843
412221,0.11760905678563943,0.39037168714708004,Clarke,Democrat,progressive Democrat,27,817,137,408
400162,0.016758214284802078,0.6774380506032802,Grijalva,Democrat,progressive Democratic leader,35,831,256,1006
412562,0.3288261923189334,0.5435874459147294,Maloney [NY18],Democrat,rank-and-file Democrat,35,476,215,317
412189,0.26026090644660155,0.30888014421503396,McNerney,Democrat,moderate Democratic follower,22,428,60,84
412432,0.32860212874283007,0.7084048946706715,Richmond,Democrat,moderate Democratic leader,16,294,390,677
400350,0.25182968755100965,0.30808459053738396,Rush,Democrat,moderate Democratic follower,26,582,100,173
400366,0.15919940292167528,0.30583793073222415,Serrano,Democrat,lonely progressive Democratic ,22,514,58,101
412522,0.2926978172339313,0.3573340122380281,Vargas,Democrat,rank-and-file Democrat,13,345,30,63
412412,0.168205477770944,0.5029514142647104,Wilson [FL24],Democrat,progressive Democrat,19,568,70,210
400651,0.9280790719104844,0.4588171829710511,Gohmert,Republican,conservative Republican,18,260,93,161
400018,0.7536378906597541,0.7071013870555088,Barton,Republican,rank-and-file Republican,7,121,230,287
412397,0.9729069827512071,0.8017948381882825,Gosar,Republican,conservative Republican leader,23,357,144,318
412434,0.8955534114538176,0.46228368989679364,Harris,Republican,conservative Republican,5,217,53,56
412574,0.9229927257359607,0.4597986409981109,Weber,Republican,conservative Republican,10,307,55,74
412468,0.7511422663687899,0.6824274113518555,Marino,Republican,rank-and-file Republican,26,205,130,185
412500,0.8040426518679427,0.5041090095761553,Amodei,Republican,rank-and-file Republican,14,178,106,124
412531,0.8121056699713206,0.7910893784111983,Collins [GA9],Republican,moderate Republican leader,46,141,276,498
400141,0.928631560465506,0.8426998897576672,Franks,Republican,conservative Republican leader,12,250,224,446
400316,0.6599061975649219,0.3986654551996711,Peterson,Democrat,centrist Democrat,9,342,84,131
412596,0.8501070699377427,0.6170505510146612,Smith [MO8],Republican,rank-and-file Republican,25,199,287,464
400381,0.9010221325208727,0.7512870774634426,Smith [TX21],Republican,conservative Republican leader,13,269,337,488
400063,0.27402690046098194,0.38104129982365853,Capuano,Democrat,rank-and-file Democrat,25,469,85,130
400308,0.26103038695454306,0.5005719945725542,Pallone,Democrat,rank-and-file Democrat,31,476,149,387
412399,0.8563575982759841,0.4713969920307088,Schweikert,Republican,rank-and-file Republican,12,197,52,63
400029,0.8278331834542318,0.6608203181403774,Bishop [UT1],Republican,rank-and-file Republican,26,167,284,401
412555,0.9846439281890063,0.6016068495897035,Cramer,Republican,conservative Republican,25,380,233,307
400089,0.8511659372978434,0.2691987953605728,Culberson,Republican,moderate Republican follower,8,187,16,16
400199,0.1482744065082744,0.6423445451893876,Jackson Lee,Democrat,progressive Democratic leader,65,779,204,814
400654,0.8153510984226577,0.9045041126984497,McCaul,Republican,moderate Republican leader,33,274,404,944
412302,0.9841688139218938,0.8210351298450422,Olson,Republican,conservative Republican leader,13,286,140,188
400652,0.8284889949267222,0.8884887460563152,Poe,Republican,moderate Republican leader,50,322,287,593
400313,0.9090489454604411,0.4094813772831577,Pearce,Republican,conservative Republican,23,254,75,106
412514,0.2886957395467429,0.4994271566284473,Swalwell,Democrat,rank-and-file Democrat,15,482,218,401
400103,0.21069038626421618,0.7655664603967969,DeLauro,Democrat,progressive Democratic leader,52,409,223,1338
412517,0.30076808379837,0.6392143124881962,Cárdenas,Democrat,moderate Democratic leader,30,389,221,730
400111,0.32729609198813286,0.6038379079177006,Doggett,Democrat,rank-and-file Democrat,18,232,188,905
412215,0.1013203659039833,0.49632648367109283,Ellison,Democrat,progressive Democrat,43,583,138,371
400237,0.007259294165460806,0.7012978752085623,Lee,Democrat,progressive Democratic leader,52,751,204,1217
400661,0.12234842640531586,0.44534971074771684,Moore,Democrat,progressive Democrat,25,735,102,199
412585,0.17927273737999544,0.5344071084543104,Pocan,Democrat,progressive Democrat,19,768,171,521
400360,0.10583336938288548,0.6065827891235914,Schakowsky,Democrat,progressive Democrat,33,749,175,528
400364,0.22582284193721017,0.6393473294378345,Scott [VA3],Democrat,progressive Democratic leader,21,368,210,1023
412520,0.15035528858656344,0.41357809612593205,Takano,Democrat,progressive Democrat,28,630,127,285
400344,0.5621810422259258,0.9518671873527978,Ros-Lehtinen,Republican,centrist Republican leader,24,291,381,994
400068,0.7903107117699989,0.6529322652794514,Carter [TX31],Republican,rank-and-file Republican,8,114,110,136
400071,0.88321197815239,0.7477825914325122,Chabot,Republican,conservative Republican leader,34,301,253,545
412271,0.7712860738273608,0.6566808071551353,Coffman,Republican,rank-and-file Republican,26,396,280,530
412403,0.6838460290885308,0.7142014532477505,Denham,Republican,rank-and-file Republican,13,171,335,720
400108,0.654386438718319,0.47094762013179997,Diaz-Balart,Republican,centrist Republican,9,142,92,97
412480,0.9208869201167657,0.6154963986687256,Flores,Republican,conservative Republican,12,231,177,197
412444,0.9083796641889869,0.4833448379037412,Hartzler,Republican,conservative Republican,19,231,76,108
400170,0.15595856153292675,0.714016647849358,Hastings,Democrat,progressive Democratic leader,33,837,286,760
400209,0.8063442043403778,0.49196207051336416,Jones [NC3],Republican,rank-and-file Republican,24,521,70,99
412435,0.30816777494860514,0.36578263874605305,Keating,Democrat,rank-and-file Democrat,20,397,93,114
412465,0.8643551437912823,0.8886724235677503,Kelly [PA3],Republican,conservative Republican leader,32,285,408,991
400656,0.9110980205476424,0.511882378937597,Marchant,Republican,conservative Republican,16,181,63,87
412540,0.902471152284251,0.6744408577800336,Messer,Republican,conservative Republican,40,357,259,409
400348,0.6568996958384423,1.0,Royce,Republican,centrist Republican leader,34,212,426,1686
400373,0.7436096129040258,0.5695988306738354,Shimkus,Republican,rank-and-file Republican,6,148,157,165
412186,0.32010968091398734,0.39160732389735886,Sires,Democrat,rank-and-file Democrat,14,430,73,93
412461,0.8520578206149897,0.6144570648931053,Stivers,Republican,rank-and-file Republican,20,367,172,298
412579,0.3238091732030835,0.38693329153046346,Veasey,Democrat,rank-and-file Democrat,20,362,149,284
412192,0.3742700874871335,0.33579495925077385,Perlmutter,Democrat,rank-and-file Democrat,9,410,106,117
412257,0.3502729809687002,0.5090062948738826,Foster,Democrat,rank-and-file Democrat,30,373,152,324
412521,0.19946946238281116,0.5641510211681872,Lowenthal,Democrat,progressive Democrat,18,616,210,646
412293,0.35542706751436787,0.48702189534125334,Luján,Democrat,rank-and-file Democrat,43,323,165,446
400271,0.21983705681312293,0.4701628117582884,Meeks,Democrat,progressive Democrat,20,559,107,178
400289,0.16526135102948317,0.724624382778758,Nadler,Democrat,progressive Democratic leader,24,504,239,1069
408211,0.3766349666208063,0.3492774791076158,Nolan,Democrat,rank-and-file Democrat,31,400,126,175
400660,0.6280075445033516,0.8962002919653982,Reichert,Republican,centrist Republican leader,23,145,407,1163
412478,0.8831773979398415,0.942364395416127,Black,Republican,conservative Republican leader,28,167,257,744
400033,0.2364760599173448,0.6168517438490653,Blumenauer,Democrat,rank-and-file Democrat,32,796,181,420
412501,0.2566418463953525,0.42220014926515376,Bonamici,Democrat,rank-and-file Democrat,23,492,120,193
400639,0.3616952834225266,0.28977269623988944,Cleaver,Democrat,moderate Democratic follower,1,296,7,7
412193,0.38623648443681313,0.7356304661977214,Courtney,Democrat,centrist Democratic leader,12,351,218,476
400093,0.2664469015032003,0.3628706239722496,Davis [IL7],Democrat,rank-and-file Democrat,25,415,110,189
400154,0.8032612882443046,0.9395808350214906,Goodlatte,Republican,moderate Republican leader,31,186,251,765
412284,0.8742401734960493,0.8682612083644811,Jenkins [KS2],Republican,conservative Republican leader,28,278,340,722
400218,0.5331945747380052,0.5059957528423997,Kind,Democrat,centrist Democrat,21,454,101,134
412557,0.38594718652327187,0.3939948879793047,Kuster,Democrat,rank-and-file Democrat,26,502,108,161
400240,0.19856615698483354,0.6344528388814671,Lewis [GA5],Democrat,progressive Democratic leader,40,396,207,517
400659,0.7194597129363479,0.8243600606174619,McMorris Rodgers,Republican,moderate Republican leader,23,160,324,685
400291,0.4475427582190619,0.656023374124934,Neal,Democrat,centrist Democratic leader,18,178,300,660
400309,0.3494720317770623,0.6882416824761881,Pascrell,Democrat,moderate Democratic leader,17,392,164,283
412303,0.736856330491871,0.9868254458645599,Paulsen,Republican,moderate Republican leader,51,203,418,1328
412393,0.6865418443349752,0.8622349716672016,Reed,Republican,moderate Republican leader,31,164,263,526
412202,0.7436428031635205,0.9385349533015013,Roskam,Republican,moderate Republican leader,20,204,372,772
400365,0.7960851238409654,0.8222271545372601,Sensenbrenner,Republican,moderate Republican leader,36,236,291,554
412317,0.8145657223603296,0.6482047516352949,Thompson [PA5],Republican,rank-and-file Republican,15,318,204,307
400403,0.401876386610969,0.7517152974887569,Thompson [CA5],Democrat,centrist Democratic leader,24,365,268,907
400406,0.75718738858076,0.8684620530866868,Tiberi,Republican,moderate Republican leader,18,100,362,721
412430,0.7834945738865167,0.7071023866921262,Yoder,Republican,rank-and-file Republican,7,185,169,192
412312,0.34004232285118813,0.21029624858638146,Sablan,Democrat,moderate Democratic follower,6,190,37,39
400041,0.33638363736742644,0.31071724333748957,Bordallo,Democrat,moderate Democratic follower,19,301,66,109
412511,0.21088204449137576,0.5759969403398175,Huffman,Democrat,progressive Democrat,34,500,215,851
400211,0.27176102313564193,0.46901614777539946,Kaptur,Democrat,rank-and-file Democrat,21,526,160,342
412558,0.30070330647478966,0.4427075509372171,Lujan Grisham,Democrat,rank-and-file Democrat,42,486,191,445
400259,0.2038915478002947,0.40008049829456893,McCollum,Democrat,progressive Democrat,7,574,82,99
