question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,partisan,display_name,sample_size,population,population_full,methodology,office_type,seat_number,start_date,end_date,sponsor_candidate,tracking,nationwide_batch,created_at,notes,url,stage,dem,rep,ind
92897,57413,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3003,rv,rv,Online,U.S. House,,1/25/19,1/28/19,"",TRUE,false,1/29/19 08:57,,https://docs.google.com/spreadsheets/d/e/2PACX-1vTZE7Q9-vVl1RktqUBbqq6fRiGOT0enFHZUoJ2s2kchWiY8GfbSD33YOw35h2TJqGo8HCmTcK-IfZKs/pubhtml/sheet?headers=false&gid=0,general,43.0,36.0,
92886,57412,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3000,rv,rv,Online,U.S. House,,1/25/19,1/27/19,"",TRUE,false,1/28/19 15:07,,https://scottrasmussen.com/toplines-congressional-ballot/,general,41.0,36.0,
92885,57411,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3000,rv,rv,Online,U.S. House,,1/24/19,1/26/19,"",TRUE,false,1/28/19 15:07,,https://scottrasmussen.com/toplines-congressional-ballot/,general,42.0,36.0,
92861,57397,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3007,rv,rv,Online,U.S. House,,1/22/19,1/25/19,"",TRUE,false,1/26/19 09:45,,https://docs.google.com/spreadsheets/d/e/2PACX-1vT3nB1G6A3sJIrBJisGOrV26afSxxv_7dIrVlnwCnM5aoZyQ9adAo6C0J4QfgLSGIa1B4afpTChRev0/pubhtml/sheet?headers=false&gid=0,general,43.0,35.0,
92862,57400,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,7010,rv,rv,Online,U.S. House,,1/18/19,1/25/19,"",TRUE,false,1/26/19 09:45,,https://docs.google.com/spreadsheets/d/e/2PACX-1vTpMrUUby_9VCkRaYtsUEUJlc2AT5WK5NhNC2RIyOZA4GIhlaCTiTAcwQwWx-gR8jZFrgTfKNBBhneZ/pubhtml/sheet?headers=false&gid=0,general,42.0,35.0,
92850,57393,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3008,rv,rv,Online,U.S. House,,1/21/19,1/24/19,"",TRUE,false,1/25/19 08:58,,https://docs.google.com/spreadsheets/d/e/2PACX-1vS2f8YU2dGqtORHvNLYcZilN-NBcT4V46cOq6uvXEYNIFBSmR2vtBpGdlVOI2T8J4uu7xgqMhp8AcjO/pubhtml/sheet?headers=false&gid=0,general,43.0,35.0,
92844,57387,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3006,rv,rv,Online,U.S. House,,1/20/19,1/23/19,"",TRUE,false,1/24/19 09:44,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSeJA8prfzn7Nvrc2KFUkphNaIVqVqFJoYBP8SR5GCnczDZLncr4KiBPmpAEvD4dN8o0B6H9PBjg2lN/pubhtml/sheet?headers=false&gid=0,general,42.0,35.0,
92824,57375,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3003,rv,rv,Online,U.S. House,,1/19/19,1/22/19,"",TRUE,false,1/23/19 08:01,,https://docs.google.com/spreadsheets/d/e/2PACX-1vSDRXY3XbUZxutA66SmfIajPn7Gvh4IpsT0ZBZCDmFS2go2qejcqsABcPPcsdCT2Vcdix1amarp711G/pubhtml/sheet?headers=false&gid=0,general,42.0,36.0,
92825,57380,2020,,1189,Morning Consult,538,Politico,,Morning Consult,1996,rv,rv,Online,U.S. House,,1/18/19,1/22/19,"",,false,1/23/19 08:01,,https://morningconsult.com/wp-content/uploads/2019/01/190140_crosstabs_POLITICO_RVs_v1_AP-3.pdf,general,43.0,38.0,
92812,57374,2020,,1102,Emerson College,"","",,Emerson College,942,rv,rv,IVR/Online,U.S. House,,1/20/19,1/21/19,"",,false,1/22/19 16:35,,https://www.emerson.edu/news-events/emerson-college-today/voters-split-trumps-offer-temporary-relief-dreamers-oppose-amnesty-warren-leads-among-announced-2020-democratic-candidates,general,52.4,47.6,
92768,57360,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3002,rv,rv,Online,U.S. House,,1/18/19,1/21/19,"",TRUE,false,1/22/19 09:00,,https://scottrasmussen.com/generic-ballot-daily/,general,41.0,35.0,
92760,57359,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3000,rv,rv,Online,U.S. House,,1/18/19,1/20/19,"",TRUE,false,1/21/19 16:00,,https://scottrasmussen.com/toplines-congressional-ballot/,general,43.0,35.0,
92759,57358,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3000,rv,rv,Online,U.S. House,,1/17/19,1/19/19,"",TRUE,false,1/21/19 16:00,,https://scottrasmussen.com/toplines-congressional-ballot/,general,43.0,36.0,
92750,57352,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3005,rv,rv,Online,U.S. House,,1/15/19,1/18/19,"",TRUE,false,1/19/19 09:59,,https://scottrasmussen.com/generic-ballot-daily/,general,43.0,36.0,
92751,57353,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,7008,rv,rv,Online,U.S. House,,1/11/19,1/18/19,"",TRUE,false,1/19/19 09:59,,https://scottrasmussen.com/weekly-generic-ballot/,general,43.0,36.0,
92728,57335,2020,,1416,Harris Interactive,985,ScottRasmussen.com,,Harris Interactive,3004,rv,rv,Online,U.S. House,,1/14/19,1/17/19,"",TRUE,false,1/18/19 08:51,,https://scottrasmussen.com/generic-ballot-daily/,general,43.0,36.0,
