question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct
91576,56821,2018,Florida,1357,St. Pete Polls,972,Florida Politics,St. Pete Polls,1194,lv,lv,Automated Phone,U.S. House,15,District 15,11/5/18,11/5/18,"",false,,,false,false,11/6/18 08:57,,http://stpetepolls.org/files/StPetePolls_2018_CD15_GEN_November5_WHB2.pdf,general,Carlson,Kristen Carlson,DEM,44.3
91576,56821,2018,Florida,1357,St. Pete Polls,972,Florida Politics,St. Pete Polls,1194,lv,lv,Automated Phone,U.S. House,15,District 15,11/5/18,11/5/18,"",false,,,false,false,11/6/18 08:57,,http://stpetepolls.org/files/StPetePolls_2018_CD15_GEN_November5_WHB2.pdf,general,Spano,Ross Spano,REP,46.2
91455,56760,2018,South Dakota,1365,Change Research,"","",Change Research,851,lv,lv,Online,U.S. House,1,District 1,11/2/18,11/4/18,"",false,,,false,false,11/5/18 00:10,,https://twitter.com/ChangePolls/status/1059301248380223488,general,Bjorkman,Tim Bjorkman,DEM,41.0
91455,56760,2018,South Dakota,1365,Change Research,"","",Change Research,851,lv,lv,Online,U.S. House,1,District 1,11/2/18,11/4/18,"",false,,,false,false,11/5/18 00:10,,https://twitter.com/ChangePolls/status/1059301248380223488,general,Johnson,Dusty Johnson,REP,51.0
91455,56760,2018,South Dakota,1365,Change Research,"","",Change Research,851,lv,lv,Online,U.S. House,1,District 1,11/2/18,11/4/18,"",false,,,false,false,11/5/18 00:10,,https://twitter.com/ChangePolls/status/1059301248380223488,general,Wieczorek,Ronald Wieczorek,IND,3.0
91455,56760,2018,South Dakota,1365,Change Research,"","",Change Research,851,lv,lv,Online,U.S. House,1,District 1,11/2/18,11/4/18,"",false,,,false,false,11/5/18 00:10,,https://twitter.com/ChangePolls/status/1059301248380223488,general,Hendrickson,George D. Hendrickson,LIB,2.0
91456,56761,2018,Wyoming,1365,Change Research,"","",Change Research,858,lv,lv,Online,U.S. House,1,District 1,11/2/18,11/4/18,"",false,,,false,false,11/5/18 00:11,,https://twitter.com/ChangePolls/status/1059302464313188352,general,Hunter,Greg Hunter,DEM,28.0
91456,56761,2018,Wyoming,1365,Change Research,"","",Change Research,858,lv,lv,Online,U.S. House,1,District 1,11/2/18,11/4/18,"",false,,,false,false,11/5/18 00:11,,https://twitter.com/ChangePolls/status/1059302464313188352,general,Cheney,Liz Cheney,REP,55.0
91456,56761,2018,Wyoming,1365,Change Research,"","",Change Research,858,lv,lv,Online,U.S. House,1,District 1,11/2/18,11/4/18,"",false,,,false,false,11/5/18 00:11,,https://twitter.com/ChangePolls/status/1059302464313188352,general,Brubaker,Richard P. Brubaker,LIB,7.0
91456,56761,2018,Wyoming,1365,Change Research,"","",Change Research,858,lv,lv,Online,U.S. House,1,District 1,11/2/18,11/4/18,"",false,,,false,false,11/5/18 00:11,,https://twitter.com/ChangePolls/status/1059302464313188352,general,Cummings,Daniel Clyde Cummings,CON,6.0
