ContractID,Date,Open,Low,High,Close,Volume,Average
11900,2018-08-09,0.25,0.07,0.75,0.41,1579,0.3461
11900,2018-08-10,0.41,0.3,0.49,0.46,1216,0.3882
11900,2018-08-11,0.46,0.02,0.46,0.06,6710,0.1148
11900,2018-08-12,0.06,0.04,0.06,0.04,980,0.0501
11900,2018-08-13,0.04,0.04,0.05,0.05,516,0.0499
11900,2018-08-14,0.05,0.05,0.15,0.06,2563,0.0771
11900,2018-08-15,0.06,0.06,0.09,0.09,100,0.09
11900,2018-08-16,0.09,0.07,0.09,0.08,101,0.0799
11900,2018-08-17,0.08,0.07,0.27,0.27,1015,0.1737
11900,2018-08-18,0.27,0.17,0.28,0.24,60,0.2387
11900,2018-08-19,0.24,0.24,0.24,0.24,0,0
11900,2018-08-20,0.24,0.09,0.24,0.15,31,0.1384
11900,2018-08-21,0.15,0.09,0.16,0.09,21,0.1329
11900,2018-08-22,0.09,0.09,0.09,0.09,0,0
11900,2018-08-23,0.09,0.09,0.09,0.09,0,0
11900,2018-08-24,0.09,0.09,0.16,0.16,313,0.1312
11900,2018-08-25,0.16,0.11,0.29,0.11,1076,0.2399
11900,2018-08-26,0.11,0.11,0.23,0.11,12,0.1733
11900,2018-08-27,0.11,0.1,0.11,0.1,24,0.1
11900,2018-08-28,0.1,0.1,0.1,0.1,0,0
11900,2018-08-29,0.1,0.09,0.1,0.09,20,0.0925
11900,2018-08-30,0.09,0.09,0.17,0.11,170,0.1485
11900,2018-08-31,0.11,0.11,0.11,0.11,1,0.11
11900,2018-09-01,0.11,0.11,0.21,0.19,211,0.1749
11900,2018-09-02,0.19,0.1,0.19,0.1,12,0.1033
11900,2018-09-03,0.1,0.1,0.29,0.28,195,0.247
11900,2018-09-04,0.28,0.15,0.31,0.15,69,0.2313
11900,2018-09-05,0.15,0.15,0.28,0.18,200,0.25
11900,2018-09-06,0.18,0.16,0.25,0.16,203,0.1923
11900,2018-09-07,0.16,0.16,0.16,0.16,2,0.16
11900,2018-09-08,0.16,0.16,0.16,0.16,6,0.16
11900,2018-09-09,0.16,0.16,0.2,0.2,4,0.2
11900,2018-09-10,0.2,0.16,0.26,0.18,594,0.2467
11900,2018-09-11,0.18,0.18,0.28,0.25,39,0.2487
11900,2018-09-12,0.25,0.16,0.28,0.22,521,0.1813
11900,2018-09-13,0.22,0.07,0.22,0.17,1210,0.1136
11900,2018-09-14,0.17,0.1,0.18,0.1,113,0.1695
11900,2018-09-15,0.1,0.1,0.1,0.1,0,0
11900,2018-09-16,0.1,0.1,0.1,0.1,0,0
11900,2018-09-17,0.1,0.1,0.74,0.6,2999,0.4353
11900,2018-09-18,0.6,0.55,0.6,0.59,31,0.5694
11900,2018-09-19,0.59,0.56,0.63,0.63,210,0.6112
