last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Brown,Sherrod,NA,NA,NA,Sherrod Brown,1952-11-09,M,sen,OH,NA,1,Democrat,https://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact/,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,00136,N00003535,S307,"H2OH13033,S6OH00163",5051,400050,27018,Sherrod Brown,NA,29389,Sherrod Brown
Cantwell,Maria,NA,NA,NA,Maria Cantwell,1958-10-13,F,sen,WA,NA,1,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,00172,N00007836,S275,"S8WA00194,H2WA01054",26137,300018,27122,Maria Cantwell,NA,39310,Maria Cantwell
Cardin,Benjamin,L.,NA,NA,Benjamin L. Cardin,1943-10-05,M,sen,MD,NA,1,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,00174,N00001955,S308,"H6MD03177,S6MD03177",4004,400064,26888,Ben Cardin,NA,15408,Ben Cardin
Carper,Thomas,Richard,NA,NA,Thomas R. Carper,1947-01-23,M,sen,DE,NA,1,Democrat,https://www.carper.senate.gov/public,513 Hart Senate Office Building Washington DC 20510,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,00179,N00012508,S277,S8DE00079,663,300019,22421,Tom Carper,NA,15015,Tom Carper
Casey,Robert,P.,Jr.,Bob,"Robert P. Casey, Jr.",1960-04-13,M,sen,PA,NA,1,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact/,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,SenatorBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,01828,N00027503,S309,S6PA00217,47036,412246,2541,"Bob Casey, Jr.",NA,40703,Bob Casey Jr.
Corker,Bob,NA,NA,NA,Bob Corker,1952-08-24,M,sen,TN,NA,1,Republican,https://www.corker.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov/public/index.cfm/rss/feed,SenBobCorker,bobcorker,senatorcorker,UCm7if_szz7DxfcdYGrywHSA,C001071,01825,N00027441,S310,"S6TN00216,S4TN00187",1021114,412248,65905,Bob Corker,NA,40705,Bob Corker
Feinstein,Dianne,NA,NA,NA,Dianne Feinstein,1933-06-22,F,sen,CA,NA,1,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,SenFeinstein,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,01332,N00007364,S221,S0CA00199,13061,300043,53273,Dianne Feinstein,NA,49300,Dianne Feinstein
Hatch,Orrin,G.,NA,NA,Orrin G. Hatch,1934-03-22,M,sen,UT,NA,1,Republican,https://www.hatch.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov/public/index.cfm/rss/feed,SenOrrinHatch,senatororrinhatch,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ,H000338,01351,N00009869,S118,"S6UT00063,P00003806",189,300052,53352,Orrin Hatch,NA,14503,Orrin Hatch
Klobuchar,Amy,Jean,NA,NA,Amy Klobuchar,1960-05-25,F,sen,MN,NA,1,Democrat,https://www.klobuchar.senate.gov,302 Hart Senate Office Building Washington DC 20510,202-224-3244,http://www.klobuchar.senate.gov/public/index.cfm/contact,NA,SenAmyKlobuchar,NA,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,01826,N00027500,S311,S6MN00267,83701,412242,65092,Amy Klobuchar,NA,40700,Amy Klobuchar
McCaskill,Claire,NA,NA,NA,Claire McCaskill,1953-07-24,F,sen,MO,NA,1,Democrat,https://www.mccaskill.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-6154,http://www.mccaskill.senate.gov/contact,http://mccaskill.senate.gov/rss/?p=news,McCaskillOffice,senatormccaskill,SenatorMcCaskill,UCnarZ9jmNhI-eDcEPBwqMFw,M001170,01820,N00027694,S312,"S6MO00305,P80005721",44501,412243,2109,Claire McCaskill,NA,40701,Claire McCaskill
Menéndez,Robert,NA,NA,Bob,Robert Menendez,1954-01-01,M,sen,NJ,NA,1,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,senatormenendez,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,00791,N00000699,S306,"H2NJ13075,S6NJ00289",29608,400272,26961,Bob Menendez,NA,29373,Bob Menendez
Nelson,Bill,NA,NA,NA,Bill Nelson,1942-09-29,M,sen,FL,NA,1,Democrat,https://www.billnelson.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274,https://www.billnelson.senate.gov/contact-bill,NA,SenBillNelson,NA,senbillnelson,UC1Iir7_h98mI9-hHzrDJWpw,N000032,00859,N00009926,S282,S8FL00166,1931,300078,1606,Bill Nelson (Florida),NA,14651,Bill Nelson
Sanders,Bernard,NA,NA,Bernie,Bernard Sanders,1941-09-08,M,sen,VT,NA,1,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,01010,N00000528,S313,"H8VT01016,S4VT00033",994,400357,27110,Bernie Sanders,NA,29147,Bernie Sanders
