forecastdate,state,party,model,win_probability,mean_seats,median_seats,p10_seats,p90_seats,margin,p10_margin,p90_margin
2018-08-24,US,D,classic,0.2846,48.97,49,46,52,21.75,17.13,26.37
2018-08-24,US,R,classic,0.7154,51.03,51,48,54,-21.75,-17.13,-26.37
2018-08-25,US,D,classic,0.3013,49.07,49,46,52,21.84,17.24,26.49
2018-08-25,US,R,classic,0.6987,50.93,51,48,54,-21.84,-17.24,-26.49
2018-08-26,US,D,classic,0.2964,49.04,49,46,52,21.82,17.23,26.4
2018-08-26,US,R,classic,0.7036,50.96,51,48,54,-21.82,-17.23,-26.4
2018-08-27,US,D,classic,0.2904,49.02,49,46,52,21.69,17.12,26.26
2018-08-27,US,R,classic,0.7096,50.98,51,48,54,-21.69,-17.12,-26.26
2018-08-28,US,D,classic,0.3126,49.14,49,46,52,21.87,17.32,26.48
2018-08-28,US,R,classic,0.6874,50.86,51,48,54,-21.87,-17.32,-26.48
2018-08-29,US,D,classic,0.3232,49.21,49,46,52,22.1,17.57,26.65
2018-08-29,US,R,classic,0.6768,50.79,51,48,54,-22.1,-17.57,-26.65
2018-08-30,US,D,classic,0.3369,49.3,50,46,52,22.03,17.47,26.58
2018-08-30,US,R,classic,0.6631,50.7,50,48,54,-22.03,-17.47,-26.58
2018-08-31,US,D,classic,0.3441,49.34,50,46,52,22.12,17.54,26.66
2018-08-31,US,R,classic,0.6559,50.66,50,48,54,-22.12,-17.54,-26.66
2018-09-01,US,D,classic,0.3453,49.36,50,46,52,22.12,17.54,26.63
2018-09-01,US,R,classic,0.6547,50.64,50,48,54,-22.12,-17.54,-26.63
2018-09-02,US,D,classic,0.3295,49.25,50,46,52,21.97,17.39,26.47
2018-09-02,US,R,classic,0.6705,50.75,50,48,54,-21.97,-17.39,-26.47
2018-09-03,US,D,classic,0.3244,49.23,49,46,52,21.94,17.44,26.44
2018-09-03,US,R,classic,0.6756,50.77,51,48,54,-21.94,-17.44,-26.44
2018-09-04,US,D,classic,0.3169,49.15,49,46,52,21.7,17.17,26.17
2018-09-04,US,R,classic,0.6831,50.85,51,48,54,-21.7,-17.17,-26.17
2018-09-05,US,D,classic,0.3198,49.18,49,46,52,21.71,17.16,26.2
2018-09-05,US,R,classic,0.6802,50.82,51,48,54,-21.71,-17.16,-26.2
2018-09-06,US,D,classic,0.3192,49.19,49,46,52,21.71,17.17,26.2
2018-09-06,US,R,classic,0.6808,50.81,51,48,54,-21.71,-17.17,-26.2
