cycle,branch,race,forecastdate,version,Democrat_WinProbability,Republican_WinProbability,category,Democrat_Won,Republican_Won,uncalled
2018,Governor,AK-G1,2018-11-06,classic,0.31095999,0.68904001,Lean R,FALSE,TRUE,FALSE
2018,Governor,AL-G1,2018-11-06,classic,0.01692,0.98308003,Safe R,FALSE,TRUE,FALSE
2018,Governor,AR-G1,2018-11-06,classic,6.2000001e-4,0.99937999,Safe R,FALSE,TRUE,FALSE
2018,Governor,AZ-G1,2018-11-06,classic,0.0128,0.98720002,Safe R,FALSE,TRUE,FALSE
2018,Governor,CA-G1,2018-11-06,classic,0.98794001,0.01206,Solid D,TRUE,FALSE,FALSE
2018,Governor,CO-G1,2018-11-06,classic,0.9497,0.050299998,Likely D,TRUE,FALSE,FALSE
2018,Governor,CT-G1,2018-11-06,classic,0.78996003,0.21004,Likely D,TRUE,FALSE,FALSE
2018,Governor,FL-G1,2018-11-06,classic,0.77215999,0.22784001,Likely D,FALSE,TRUE,FALSE
2018,Governor,GA-G1,2018-11-06,classic,0.3224,0.67760003,Lean R,FALSE,TRUE,FALSE
2018,Governor,HI-G1,2018-11-06,classic,0.99853998,0.0014600001,Solid D,TRUE,FALSE,FALSE
2018,Governor,IA-G1,2018-11-06,classic,0.57315999,0.42684001,Tossup (Tilt D),FALSE,TRUE,FALSE
2018,Governor,ID-G1,2018-11-06,classic,0.0174,0.98259997,Safe R,FALSE,TRUE,FALSE
2018,Governor,IL-G1,2018-11-06,classic,0.83969998,0.1603,Likely D,TRUE,FALSE,FALSE
2018,Governor,KS-G1,2018-11-06,classic,0.42814001,0.57151997,Tossup (Tilt R),TRUE,FALSE,FALSE
2018,Governor,MA-G1,2018-11-06,classic,7.9999998e-4,0.99919999,Safe R,FALSE,TRUE,FALSE
2018,Governor,MD-G1,2018-11-06,classic,0.0073199999,0.99268001,Safe R,FALSE,TRUE,FALSE
2018,Governor,ME-G1,2018-11-06,classic,0.94651997,0.053479999,Likely D,TRUE,FALSE,FALSE
2018,Governor,MI-G1,2018-11-06,classic,0.93129998,0.068700001,Likely D,TRUE,FALSE,FALSE
2018,Governor,MN-G1,2018-11-06,classic,0.93074,0.069260001,Likely D,TRUE,FALSE,FALSE
2018,Governor,NE-G1,2018-11-06,classic,0.00942,0.99058002,Safe R,FALSE,TRUE,FALSE
2018,Governor,NH-G1,2018-11-06,classic,0.13988,0.86012,Likely R,FALSE,TRUE,FALSE
2018,Governor,NM-G1,2018-11-06,classic,0.94032001,0.05968,Likely D,TRUE,FALSE,FALSE
2018,Governor,NV-G1,2018-11-06,classic,0.51521999,0.48478001,Tossup (Tilt D),TRUE,FALSE,FALSE
2018,Governor,NY-G1,2018-11-06,classic,0.99265999,0.00734,Solid D,TRUE,FALSE,FALSE
2018,Governor,OH-G1,2018-11-06,classic,0.59491998,0.40507999,Tossup (Tilt D),FALSE,TRUE,FALSE
2018,Governor,OK-G1,2018-11-06,classic,0.14308,0.85692,Likely R,FALSE,TRUE,FALSE
2018,Governor,OR-G1,2018-11-06,classic,0.82336003,0.17664,Likely D,TRUE,FALSE,FALSE
2018,Governor,PA-G1,2018-11-06,classic,0.99048001,0.0095199998,Solid D,TRUE,FALSE,FALSE
2018,Governor,RI-G1,2018-11-06,classic,0.97869998,0.021299999,Solid D,TRUE,FALSE,FALSE
2018,Governor,SC-G1,2018-11-06,classic,0.02558,0.97442001,Safe R,FALSE,TRUE,FALSE
2018,Governor,SD-G1,2018-11-06,classic,0.36921999,0.63077998,Lean R,FALSE,TRUE,FALSE
2018,Governor,TN-G1,2018-11-06,classic,0.023360001,0.97663999,Safe R,FALSE,TRUE,FALSE
2018,Governor,TX-G1,2018-11-06,classic,0.0047800001,0.99522001,Safe R,FALSE,TRUE,FALSE
2018,Governor,VT-G1,2018-11-06,classic,0.06098,0.93901998,Likely R,FALSE,TRUE,FALSE
2018,Governor,WI-G1,2018-11-06,classic,0.59653997,0.40346,Tossup (Tilt D),TRUE,FALSE,FALSE
2018,Governor,WY-G1,2018-11-06,classic,0.0011,0.9989,Safe R,FALSE,TRUE,FALSE
2018,House,AK-1,2018-11-06,classic,0.3475,0.65249997,Lean R,FALSE,TRUE,FALSE
2018,House,AL-1,2018-11-06,classic,4.4e-4,0.99956,Safe R,FALSE,TRUE,FALSE
2018,House,AL-2,2018-11-06,classic,0.022539999,0.97746003,Safe R,FALSE,TRUE,FALSE
2018,House,AL-3,2018-11-06,classic,0.0018,0.9982,Safe R,FALSE,TRUE,FALSE
2018,House,AL-4,2018-11-06,classic,0,1,Safe R,FALSE,TRUE,FALSE
2018,House,AL-5,2018-11-06,classic,0.00106,0.99893999,Safe R,FALSE,TRUE,FALSE
2018,House,AL-6,2018-11-06,classic,7.9999998e-5,0.99992001,Safe R,FALSE,TRUE,FALSE
2018,House,AL-7,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,AR-1,2018-11-06,classic,3.9999999e-4,0.99959999,Safe R,FALSE,TRUE,FALSE
2018,House,AR-2,2018-11-06,classic,0.13928001,0.86071998,Likely R,FALSE,TRUE,FALSE
2018,House,AR-3,2018-11-06,classic,6.8e-4,0.99931997,Safe R,FALSE,TRUE,FALSE
2018,House,AR-4,2018-11-06,classic,3.1999999e-4,0.99967998,Safe R,FALSE,TRUE,FALSE
2018,House,AZ-1,2018-11-06,classic,0.89223999,0.10776,Likely D,TRUE,FALSE,FALSE
2018,House,AZ-2,2018-11-06,classic,0.96737999,0.032620002,Solid D,TRUE,FALSE,FALSE
2018,House,AZ-3,2018-11-06,classic,0.99992001,7.9999998e-5,Solid D,TRUE,FALSE,FALSE
2018,House,AZ-4,2018-11-06,classic,2.8000001e-4,0.99971998,Safe R,FALSE,TRUE,FALSE
2018,House,AZ-5,2018-11-06,classic,8.5999997e-4,0.99914002,Safe R,FALSE,TRUE,FALSE
2018,House,AZ-6,2018-11-06,classic,0.092160001,0.90784001,Likely R,FALSE,TRUE,FALSE
2018,House,AZ-7,2018-11-06,classic,0.99997997,1.9999999e-5,Solid D,TRUE,FALSE,FALSE
2018,House,AZ-8,2018-11-06,classic,0.22824,0.77175999,Likely R,FALSE,TRUE,FALSE
2018,House,AZ-9,2018-11-06,classic,0.99572003,0.00428,Solid D,TRUE,FALSE,FALSE
2018,House,CA-1,2018-11-06,classic,0.21362001,0.78637999,Likely R,FALSE,TRUE,FALSE
2018,House,CA-10,2018-11-06,classic,0.7748,0.2252,Likely D,TRUE,FALSE,FALSE
2018,House,CA-11,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-12,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-13,2018-11-06,classic,0.99997997,1.9999999e-5,Solid D,TRUE,FALSE,FALSE
2018,House,CA-14,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-15,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-16,2018-11-06,classic,0.98181999,0.01818,Solid D,TRUE,FALSE,FALSE
2018,House,CA-17,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-18,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-19,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-2,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-20,2018-11-06,classic,0.99988002,1.2e-4,Solid D,TRUE,FALSE,FALSE
2018,House,CA-21,2018-11-06,classic,0.2102,0.78979999,Likely R,TRUE,FALSE,TRUE
2018,House,CA-22,2018-11-06,classic,0.045960002,0.95403999,Safe R,FALSE,TRUE,FALSE
2018,House,CA-23,2018-11-06,classic,6.3999998e-4,0.99936002,Safe R,FALSE,TRUE,FALSE
2018,House,CA-24,2018-11-06,classic,0.98526001,0.01474,Solid D,TRUE,FALSE,FALSE
2018,House,CA-25,2018-11-06,classic,0.63661999,0.36338001,Lean D,TRUE,FALSE,FALSE
2018,House,CA-26,2018-11-06,classic,0.99985999,1.4e-4,Solid D,TRUE,FALSE,FALSE
2018,House,CA-27,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-28,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-29,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-3,2018-11-06,classic,0.99966002,3.4e-4,Solid D,TRUE,FALSE,FALSE
2018,House,CA-30,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-31,2018-11-06,classic,0.99886,0.0011399999,Solid D,TRUE,FALSE,FALSE
2018,House,CA-32,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-33,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-34,2018-11-06,classic,0.99993998,5.9999998e-5,Solid D,TRUE,FALSE,FALSE
2018,House,CA-35,2018-11-06,classic,0.99996001,3.9999999e-5,Solid D,TRUE,FALSE,FALSE
2018,House,CA-36,2018-11-06,classic,0.99809998,0.0019,Solid D,TRUE,FALSE,FALSE
2018,House,CA-37,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-38,2018-11-06,classic,0.99997997,1.9999999e-5,Solid D,TRUE,FALSE,FALSE
2018,House,CA-39,2018-11-06,classic,0.58230001,0.41769999,Tossup (Tilt D),TRUE,FALSE,FALSE
2018,House,CA-4,2018-11-06,classic,0.15448,0.84552002,Likely R,FALSE,TRUE,FALSE
2018,House,CA-40,2018-11-06,classic,0.99981999,1.8e-4,Solid D,TRUE,FALSE,FALSE
2018,House,CA-41,2018-11-06,classic,0.99985999,1.4e-4,Solid D,TRUE,FALSE,FALSE
2018,House,CA-42,2018-11-06,classic,0.02314,0.97685999,Safe R,FALSE,TRUE,FALSE
2018,House,CA-43,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-44,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-45,2018-11-06,classic,0.63200003,0.368,Lean D,TRUE,FALSE,FALSE
2018,House,CA-46,2018-11-06,classic,1,0,Solid D,TRUE,FALSE,FALSE
2018,House,CA-47,2018-11-06,classic,0.99989998,9.9999997e-5,Solid D,TRUE,FALSE,FALSE
2018,House,CA-48,2018-11-06,classic,0.56573999,0.43426001,Tossup (Tilt D),TRUE,FALSE,FALSE
