question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,partisan,display_name,sample_size,population,population_full,methodology,office_type,seat_number,start_date,end_date,sponsor_candidate,tracking,nationwide_batch,created_at,notes,url,stage,dem,rep,ind
92897,57413,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3003,rv,rv,Online,U.S. House,NA,1/25/19,1/28/19,NA,TRUE,FALSE,1/29/19 08:57,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTZE7Q9-vVl1RktqUBbqq6fRiGOT0enFHZUoJ2s2kchWiY8GfbSD33YOw35h2TJqGo8HCmTcK-IfZKs/pubhtml/sheet?headers=false&gid=0,general,43,36,NA
92886,57412,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3000,rv,rv,Online,U.S. House,NA,1/25/19,1/27/19,NA,TRUE,FALSE,1/28/19 15:07,NA,https://scottrasmussen.com/toplines-congressional-ballot/,general,41,36,NA
92885,57411,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3000,rv,rv,Online,U.S. House,NA,1/24/19,1/26/19,NA,TRUE,FALSE,1/28/19 15:07,NA,https://scottrasmussen.com/toplines-congressional-ballot/,general,42,36,NA
92861,57397,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3007,rv,rv,Online,U.S. House,NA,1/22/19,1/25/19,NA,TRUE,FALSE,1/26/19 09:45,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vT3nB1G6A3sJIrBJisGOrV26afSxxv_7dIrVlnwCnM5aoZyQ9adAo6C0J4QfgLSGIa1B4afpTChRev0/pubhtml/sheet?headers=false&gid=0,general,43,35,NA
92862,57400,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,7010,rv,rv,Online,U.S. House,NA,1/18/19,1/25/19,NA,TRUE,FALSE,1/26/19 09:45,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vTpMrUUby_9VCkRaYtsUEUJlc2AT5WK5NhNC2RIyOZA4GIhlaCTiTAcwQwWx-gR8jZFrgTfKNBBhneZ/pubhtml/sheet?headers=false&gid=0,general,42,35,NA
92850,57393,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3008,rv,rv,Online,U.S. House,NA,1/21/19,1/24/19,NA,TRUE,FALSE,1/25/19 08:58,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vS2f8YU2dGqtORHvNLYcZilN-NBcT4V46cOq6uvXEYNIFBSmR2vtBpGdlVOI2T8J4uu7xgqMhp8AcjO/pubhtml/sheet?headers=false&gid=0,general,43,35,NA
92844,57387,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3006,rv,rv,Online,U.S. House,NA,1/20/19,1/23/19,NA,TRUE,FALSE,1/24/19 09:44,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vSeJA8prfzn7Nvrc2KFUkphNaIVqVqFJoYBP8SR5GCnczDZLncr4KiBPmpAEvD4dN8o0B6H9PBjg2lN/pubhtml/sheet?headers=false&gid=0,general,42,35,NA
92824,57375,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3003,rv,rv,Online,U.S. House,NA,1/19/19,1/22/19,NA,TRUE,FALSE,1/23/19 08:01,NA,https://docs.google.com/spreadsheets/d/e/2PACX-1vSDRXY3XbUZxutA66SmfIajPn7Gvh4IpsT0ZBZCDmFS2go2qejcqsABcPPcsdCT2Vcdix1amarp711G/pubhtml/sheet?headers=false&gid=0,general,42,36,NA
92825,57380,2020,NA,1189,Morning Consult,538,Politico,NA,Morning Consult,1996,rv,rv,Online,U.S. House,NA,1/18/19,1/22/19,NA,NA,FALSE,1/23/19 08:01,NA,https://morningconsult.com/wp-content/uploads/2019/01/190140_crosstabs_POLITICO_RVs_v1_AP-3.pdf,general,43,38,NA
92812,57374,2020,NA,1102,Emerson College,NA,NA,NA,Emerson College,942,rv,rv,IVR/Online,U.S. House,NA,1/20/19,1/21/19,NA,NA,FALSE,1/22/19 16:35,NA,https://www.emerson.edu/news-events/emerson-college-today/voters-split-trumps-offer-temporary-relief-dreamers-oppose-amnesty-warren-leads-among-announced-2020-democratic-candidates,general,52.4,47.6,NA
92768,57360,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3002,rv,rv,Online,U.S. House,NA,1/18/19,1/21/19,NA,TRUE,FALSE,1/22/19 09:00,NA,https://scottrasmussen.com/generic-ballot-daily/,general,41,35,NA
92760,57359,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3000,rv,rv,Online,U.S. House,NA,1/18/19,1/20/19,NA,TRUE,FALSE,1/21/19 16:00,NA,https://scottrasmussen.com/toplines-congressional-ballot/,general,43,35,NA
92759,57358,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3000,rv,rv,Online,U.S. House,NA,1/17/19,1/19/19,NA,TRUE,FALSE,1/21/19 16:00,NA,https://scottrasmussen.com/toplines-congressional-ballot/,general,43,36,NA
92750,57352,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3005,rv,rv,Online,U.S. House,NA,1/15/19,1/18/19,NA,TRUE,FALSE,1/19/19 09:59,NA,https://scottrasmussen.com/generic-ballot-daily/,general,43,36,NA
92751,57353,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,7008,rv,rv,Online,U.S. House,NA,1/11/19,1/18/19,NA,TRUE,FALSE,1/19/19 09:59,NA,https://scottrasmussen.com/weekly-generic-ballot/,general,43,36,NA
92728,57335,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3004,rv,rv,Online,U.S. House,NA,1/14/19,1/17/19,NA,TRUE,FALSE,1/18/19 08:51,NA,https://scottrasmussen.com/generic-ballot-daily/,general,43,36,NA
92722,57332,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3002,rv,rv,Online,U.S. House,NA,1/13/19,1/16/19,NA,TRUE,FALSE,1/17/19 08:54,NA,https://scottrasmussen.com/generic-ballot-daily/,general,44,35,NA
92706,57317,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3002,rv,rv,Online,U.S. House,NA,1/12/19,1/15/19,NA,TRUE,FALSE,1/16/19 08:07,NA,https://scottrasmussen.com/generic-ballot-daily/,general,44,35,NA
92669,57306,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3003,rv,rv,Online,U.S. House,NA,1/11/19,1/14/19,NA,TRUE,FALSE,1/15/19 08:16,NA,https://scottrasmussen.com/generic-ballot-daily/,general,43,36,NA
92676,57314,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3000,rv,rv,Online,U.S. House,NA,1/11/19,1/13/19,NA,TRUE,FALSE,1/15/19 11:47,NA,https://scottrasmussen.com/toplines-congressional-ballot/,general,43,37,NA
92675,57313,2020,NA,1416,Harris Interactive,985,ScottRasmussen.com,NA,Harris Interactive,3000,rv,rv,Online,U.S. House,NA,1/10/19,1/12/19,NA,TRUE,FALSE,1/15/19 11:47,NA,https://scottrasmussen.com/toplines-congressional-ballot/,general,44,37,NA
92645,57294,2020,NA,1416,Harris Interactive,960985,Hill.TV | ScottRasmussen.com,NA,Harris Interactive,3015,rv,rv,Online,U.S. House,NA,1/8/19,1/11/19,NA,TRUE,FALSE,1/12/19 10:01,NA,https://scottrasmussen.com/generic-ballot-daily/,general,44,37,NA
