date,race,method,prob,winner,correct
2018-08-01,AZ-S1,model,0.738,TRUE,TRUE
2018-08-01,AZ-S1,market,0.66,TRUE,TRUE
2018-08-01,CA-10,model,0.7054,TRUE,TRUE
2018-08-01,CA-10,market,0.5800000000000001,TRUE,TRUE
2018-08-01,CA-12,model,1,TRUE,TRUE
2018-08-01,CA-12,market,0.91,TRUE,TRUE
2018-08-01,CA-22,model,0.0493,FALSE,TRUE
2018-08-01,CA-22,market,0.30000000000000004,FALSE,TRUE
2018-08-01,CA-25,model,0.7453,TRUE,TRUE
2018-08-01,CA-25,market,0.61,TRUE,TRUE
2018-08-01,CA-39,model,0.3768,TRUE,FALSE
2018-08-01,CA-39,market,0.61,TRUE,TRUE
2018-08-01,CA-48,model,0.6662,TRUE,TRUE
2018-08-01,CA-48,market,0.72,TRUE,TRUE
2018-08-01,CA-49,model,0.7948,TRUE,TRUE
2018-08-01,CA-49,market,0.74,TRUE,TRUE
2018-08-01,CA-S1,model,1,TRUE,TRUE
2018-08-01,CA-S1,market,0.94,TRUE,TRUE
2018-08-01,CO-05,model,0.0273,FALSE,TRUE
2018-08-01,CO-05,market,0.06000000000000005,FALSE,TRUE
2018-08-01,CO-06,model,0.6484,TRUE,TRUE
2018-08-01,CO-06,market,0.5800000000000001,TRUE,TRUE
2018-08-01,CT-05,model,0.9667,TRUE,TRUE
2018-08-01,CT-05,market,0.9,TRUE,TRUE
2018-08-01,FL-15,model,0.2738,FALSE,TRUE
2018-08-01,FL-15,market,0.23,FALSE,TRUE
2018-08-01,FL-17,model,0.004,FALSE,TRUE
2018-08-01,FL-17,market,0.1,FALSE,TRUE
2018-08-01,FL-26,model,0.403,TRUE,FALSE
2018-08-01,FL-26,market,0.55,TRUE,TRUE
2018-08-01,FL-27,model,0.9745,TRUE,TRUE
2018-08-01,FL-27,market,0.91,TRUE,TRUE
2018-08-01,FL-S1,model,0.6156,FALSE,FALSE
2018-08-01,FL-S1,market,0.53,FALSE,FALSE
2018-08-01,IL-12,model,0.4048,FALSE,TRUE
2018-08-01,IL-12,market,0.42,FALSE,TRUE
2018-08-01,IN-S1,model,0.7716,FALSE,FALSE
2018-08-01,IN-S1,market,0.35,FALSE,TRUE
2018-08-01,MA-S1,model,0.9991,TRUE,TRUE
2018-08-01,MA-S1,market,0.95,TRUE,TRUE
2018-08-01,MD-06,model,0.9915,TRUE,TRUE
2018-08-01,MD-06,market,0.93,TRUE,TRUE
2018-08-01,ME-S1,model,0,TRUE,FALSE
2018-08-01,ME-S1,market,0.030000000000000027,TRUE,FALSE
2018-08-01,MI-08,model,0.4448,TRUE,FALSE
2018-08-01,MI-08,market,0.44,TRUE,FALSE
2018-08-01,MI-11,model,0.6872,TRUE,TRUE
2018-08-01,MI-11,market,0.62,TRUE,TRUE
2018-08-01,MI-S1,model,0.9857,TRUE,TRUE
2018-08-01,MI-S1,market,0.84,TRUE,TRUE
2018-08-01,MN-01,model,0.4841,FALSE,TRUE
2018-08-01,MN-01,market,0.56,FALSE,FALSE
2018-08-01,MN-02,model,0.7609,TRUE,TRUE
2018-08-01,MN-02,market,0.09,TRUE,FALSE
2018-08-01,MN-03,model,0.6634,TRUE,TRUE
2018-08-01,MN-03,market,0.54,TRUE,TRUE
2018-08-01,MN-08,model,0.3959,FALSE,TRUE
2018-08-01,MN-08,market,0.46,FALSE,TRUE
2018-08-01,MN-S1,model,0.9983,TRUE,TRUE
2018-08-01,MN-S1,market,0.81,TRUE,TRUE
2018-08-01,MO-S1,model,0.6931,FALSE,FALSE
2018-08-01,MO-S1,market,0.52,FALSE,FALSE
2018-08-01,MS-03,model,0.0055,FALSE,TRUE
2018-08-01,MS-03,market,0.12,FALSE,TRUE
2018-08-01,MS-S2,model,0.0955,FALSE,TRUE
2018-08-01,MS-S2,market,0.14,FALSE,TRUE
2018-08-01,MT-S1,model,0.8883,TRUE,TRUE
2018-08-01,MT-S1,market,0.64,TRUE,TRUE
2018-08-01,NC-09,model,0.6104,NA,NA
2018-08-01,NC-09,market,0.89,NA,NA
2018-08-01,NC-13,model,0.4052,FALSE,TRUE
2018-08-01,NC-13,market,0.55,FALSE,FALSE
2018-08-01,ND-S1,model,0.5998,FALSE,FALSE
2018-08-01,ND-S1,market,0.47,FALSE,TRUE
2018-08-01,NE-02,model,0.5964,FALSE,FALSE
2018-08-01,NE-02,market,0.5,FALSE,TRUE
2018-08-01,NE-S1,model,0.0472,FALSE,TRUE
2018-08-01,NE-S1,market,0.08999999999999997,FALSE,TRUE
2018-08-01,NH-01,model,0.8136,TRUE,TRUE
2018-08-01,NH-01,market,0.82,TRUE,TRUE
2018-08-01,NJ-02,model,0.8952,TRUE,TRUE
2018-08-01,NJ-02,market,0.94,TRUE,TRUE
2018-08-01,NJ-07,model,0.6388,TRUE,TRUE
2018-08-01,NJ-07,market,0.65,TRUE,TRUE
2018-08-01,NJ-11,model,0.7345,TRUE,TRUE
2018-08-01,NJ-11,market,0.79,TRUE,TRUE
2018-08-01,NJ-S1,model,0.9451,TRUE,TRUE
2018-08-01,NJ-S1,market,0.75,TRUE,TRUE
2018-08-01,NM-S1,model,0.9967,TRUE,TRUE
2018-08-01,NM-S1,market,0.85,TRUE,TRUE
2018-08-01,NV-03,model,0.6947,TRUE,TRUE
2018-08-01,NV-03,market,0.89,TRUE,TRUE
2018-08-01,NV-04,model,0.8504,TRUE,TRUE
2018-08-01,NV-04,market,0.89,TRUE,TRUE
2018-08-01,NV-S1,model,0.5497,TRUE,TRUE
2018-08-01,NV-S1,market,0.64,TRUE,TRUE
2018-08-01,NY-01,model,0.1182,FALSE,TRUE
2018-08-01,NY-01,market,0.3,FALSE,TRUE
2018-08-01,NY-09,model,1,TRUE,TRUE
2018-08-01,NY-09,market,0.98,TRUE,TRUE
2018-08-01,NY-14,model,1,TRUE,TRUE
2018-08-01,NY-14,market,0.9,TRUE,TRUE
2018-08-01,NY-19,model,0.5501,TRUE,TRUE
2018-08-01,NY-19,market,0.64,TRUE,TRUE
2018-08-01,OH-S1,model,0.9536,TRUE,TRUE
2018-08-01,OH-S1,market,0.84,TRUE,TRUE
2018-08-01,PA-06,model,0.9825,TRUE,TRUE
2018-08-01,PA-06,market,0.96,TRUE,TRUE
2018-08-01,PA-09,model,0.0093,FALSE,TRUE
2018-08-01,PA-09,market,0.03,FALSE,TRUE
2018-08-01,PA-15,model,0,FALSE,TRUE
2018-08-01,PA-15,market,0.13,FALSE,TRUE
2018-08-01,PA-17,model,0.9734,TRUE,TRUE
2018-08-01,PA-17,market,0.95,TRUE,TRUE
2018-08-01,PA-S1,model,0.9534,TRUE,TRUE
2018-08-01,PA-S1,market,0.91,TRUE,TRUE
2018-08-01,PA-S1,market,0.93,TRUE,TRUE
2018-08-01,SC-04,model,4e-4,FALSE,TRUE
2018-08-01,SC-04,market,0.05,FALSE,TRUE
2018-08-01,TN-S1,model,0.3713,FALSE,TRUE
2018-08-01,TN-S1,market,0.51,FALSE,FALSE
2018-08-01,TX-05,model,9e-4,FALSE,TRUE
2018-08-01,TX-05,market,0.08,FALSE,TRUE
2018-08-01,TX-06,model,0.0779,FALSE,TRUE
2018-08-01,TX-06,market,0.15,FALSE,TRUE
2018-08-01,TX-21,model,0.1712,FALSE,TRUE
2018-08-01,TX-21,market,0.16,FALSE,TRUE
2018-08-01,TX-23,model,0.7369,FALSE,FALSE
2018-08-01,TX-23,market,0.6599999999999999,FALSE,FALSE
2018-08-01,TX-29,model,1,TRUE,TRUE
2018-08-01,TX-29,market,0.96,TRUE,TRUE
2018-08-01,TX-S1,model,0.2689,FALSE,TRUE
2018-08-01,TX-S1,market,0.28,FALSE,TRUE
2018-08-01,VA-02,model,0.2388,TRUE,FALSE
2018-08-01,VA-02,market,0.53,TRUE,TRUE
2018-08-01,VA-06,model,0.0044,FALSE,TRUE
2018-08-01,VA-06,market,0.1,FALSE,TRUE
2018-08-01,VA-10,model,0.7614,TRUE,TRUE
2018-08-01,VA-10,market,0.81,TRUE,TRUE
2018-08-01,VA-S1,model,0.9921,TRUE,TRUE
2018-08-01,VA-S1,market,0.95,TRUE,TRUE
2018-08-01,VT-S1,model,0.9999,TRUE,TRUE
2018-08-01,VT-S1,market,0.95,TRUE,TRUE
2018-08-01,WA-08,model,0.5216,TRUE,TRUE
2018-08-01,WA-08,market,0.64,TRUE,TRUE
2018-08-01,WI-01,model,0.2767,FALSE,TRUE
2018-08-01,WI-01,market,0.47,FALSE,TRUE
2018-08-01,WI-S1,model,0.9775,TRUE,TRUE
2018-08-01,WI-S1,market,0.17000000000000004,TRUE,FALSE
2018-08-01,WV-03,model,0.0672,FALSE,TRUE
2018-08-01,WV-03,market,0.7,FALSE,FALSE
2018-08-01,WV-S1,model,0.8792,TRUE,TRUE
2018-08-01,WV-S1,market,0.79,TRUE,TRUE
2018-08-02,AZ-S1,model,0.7293,TRUE,TRUE
2018-08-02,AZ-S1,market,0.66,TRUE,TRUE
2018-08-02,CA-10,model,0.6914,TRUE,TRUE
2018-08-02,CA-10,market,0.5800000000000001,TRUE,TRUE
2018-08-02,CA-12,model,1,TRUE,TRUE
2018-08-02,CA-12,market,0.9,TRUE,TRUE
2018-08-02,CA-22,model,0.0485,FALSE,TRUE
2018-08-02,CA-22,market,0.30000000000000004,FALSE,TRUE
2018-08-02,CA-25,model,0.7397,TRUE,TRUE
2018-08-02,CA-25,market,0.64,TRUE,TRUE
2018-08-02,CA-39,model,0.3649,TRUE,FALSE
2018-08-02,CA-39,market,0.61,TRUE,TRUE
2018-08-02,CA-48,model,0.6593,TRUE,TRUE
