date,mid,race,party,open,low,high,close,vol
2017-01-27,2918,MA-99,D,0.79,0.71,0.86,0.74,1102
2017-01-28,2918,MA-99,D,0.74,0.74,0.78,0.78,1010
2017-01-29,2918,MA-99,D,0.78,0.76,0.78,0.77,581
2017-01-30,2918,MA-99,D,0.77,0.76,0.78,0.78,631
2017-01-31,2918,MA-99,D,0.78,0.77,0.81,0.81,1378
2017-02-01,2918,MA-99,D,0.81,0.79,0.82,0.8,768
2017-02-02,2918,MA-99,D,0.8,0.79,0.8,0.79,50
2017-02-03,2918,MA-99,D,0.79,0.78,0.8,0.78,592
2017-02-04,2918,MA-99,D,0.78,0.78,0.79,0.79,10
2017-02-05,2918,MA-99,D,0.79,0.79,0.8,0.8,6
2017-02-06,2918,MA-99,D,0.8,0.77,0.8,0.79,1188
2017-02-07,2918,MA-99,D,0.79,0.75,0.8,0.75,2395
2017-02-08,2918,MA-99,D,0.75,0.75,0.78,0.77,114
2017-02-09,2918,MA-99,D,0.77,0.76,0.78,0.76,560
2017-02-10,2918,MA-99,D,0.76,0.76,0.78,0.76,151
2017-02-11,2918,MA-99,D,0.76,0.76,0.78,0.76,185
2017-02-12,2918,MA-99,D,0.76,0.76,0.78,0.78,95
2017-02-13,2918,MA-99,D,0.78,0.76,0.79,0.76,1840
2017-02-14,2918,MA-99,D,0.76,0.76,0.8,0.8,165
2017-02-15,2918,MA-99,D,0.8,0.77,0.8,0.77,366
2017-02-16,2918,MA-99,D,0.77,0.77,0.79,0.79,457
2017-02-17,2918,MA-99,D,0.79,0.77,0.8,0.77,132
2017-02-18,2918,MA-99,D,0.77,0.77,0.8,0.77,169
2017-02-19,2918,MA-99,D,0.77,0.77,0.81,0.81,520
2017-02-20,2918,MA-99,D,0.81,0.77,0.81,0.77,1
2017-02-21,2918,MA-99,D,0.77,0.77,0.79,0.77,5
2017-02-22,2918,MA-99,D,0.77,0.77,0.8,0.8,33
2017-02-23,2918,MA-99,D,0.8,0.77,0.82,0.82,367
2017-02-24,2918,MA-99,D,0.82,0.78,0.82,0.78,728
2017-02-25,2918,MA-99,D,0.78,0.78,0.79,0.78,312
2017-02-26,2918,MA-99,D,0.78,0.78,0.81,0.78,27
2017-02-27,2918,MA-99,D,0.78,0.78,0.81,0.81,12
2017-02-28,2918,MA-99,D,0.81,0.78,0.81,0.78,3
2017-03-01,2918,MA-99,D,0.78,0.78,0.81,0.78,111
2017-03-02,2918,MA-99,D,0.78,0.78,0.81,0.79,233
2017-03-03,2918,MA-99,D,0.79,0.79,0.81,0.81,11
2017-03-04,2918,MA-99,D,0.81,0.77,0.81,0.77,1247
2017-03-05,2918,MA-99,D,0.77,0.77,0.79,0.79,50
2017-03-06,2918,MA-99,D,0.79,0.79,0.82,0.82,1112
