name,gid,birthday,race,party,gender,chamber,ideology,leadership
Abraham,412630,1954-09-16,LA-05,R,M,house,0.855856974756022,0.420779090899242
Adams,412607,1946-05-27,NC-12,D,F,house,0.30260548173967394,0.46928119861542994
Aderholt,400004,1965-07-22,AL-04,R,M,house,0.7678812519066485,0.273935466498086
Aguilar,412615,1979-06-19,CA-31,D,M,house,0.33996899497116995,0.260266255885531
Alexander,300002,1940-07-03,TN-S2,R,M,senate,0.6863684864033334,0.6930233940860445
Allen,412625,1951-11-07,GA-12,R,M,house,0.8570366556259514,0.29131637020641793
Amash,412438,1980-04-18,MI-03,R,M,house,0.5847703786878518,0.3737650147150907
Amata,412664,1947-12-29,AS-00,R,F,house,0.564527295907554,0.02786839589159981
Amodei,412500,1958-06-12,NV-02,R,M,house,0.8040426518679427,0.5041090095761553
Arrington,412726,1972-03-09,TX-19,R,M,house,0.676863281847517,0.09983153309332851
Babin,412655,1948-03-23,TX-36,R,M,house,0.9310168483403579,0.6334921866900403
Bacon,412713,1963-08-16,NE-02,R,M,house,0.6690872253507363,0.3363335295335019
Balderson,412747,1962-01-16,OH-12,R,M,house,0.4979027643324055,0.013285067838915083
Baldwin,400013,1962-02-11,WI-S1,D,F,senate,0.1801889285557241,0.5563215476173832
Banks,412702,1979-07-16,IN-03,R,M,house,0.7111929875869623,0.36527585370068016
Barletta,412469,1956-01-28,PA-11,R,M,house,0.8414063104276013,0.5654891252032366
Barr,412541,1973-07-24,KY-06,R,M,house,0.89184247298496,0.7358302659873266
Barragan,412687,1976-09-15,CA-44,D,F,house,0.27356207668090177,0.24466049951787824
Barrasso,412251,1952-07-21,WY-S1,R,M,senate,0.9091771993360854,0.6190980421635476
Barton,400018,1949-09-15,TX-06,R,M,house,0.7536378906597541,0.7071013870555088
Bass,412404,1953-10-03,CA-37,D,F,house,0.23553158645370478,0.7439213451771316
Beatty,412565,1950-03-12,OH-03,D,F,house,0.33658695683787215,0.5559100368974003
Bennet,412330,1964-11-28,CO-S3,D,M,senate,0.36781585605746137,0.30810621511088826
Bera,412512,1965-03-02,CA-07,D,M,house,0.4404496943549505,0.23029400404316502
Bergman,412709,1947-02-02,MI-01,R,M,house,0.6161255277630655,0.21470405707695087
Beyer,412657,1950-06-20,VA-08,D,M,house,0.28434853265707627,0.575766361854931
Biggs,412683,1958-11-07,AZ-05,R,M,house,0.7155031220152636,0.49401044164904123
Bilirakis,412250,1963-02-08,FL-12,R,M,house,0.7798607609958561,0.7855354011317803
Bishop,400029,1951-07-13,UT-01,R,M,house,0.8278331834542318,0.6608203181403774
Bishop,400030,1947-02-04,GA-02,D,M,house,0.44147569759023947,0.34646855570228724
Bishop,412635,1967-03-18,MI-08,R,M,house,0.8327052096041819,0.7279023958105217
Black,412478,1951-01-16,TN-06,R,F,house,0.8831773979398415,0.942364395416127
Blackburn,400032,1952-06-06,TN-07,R,F,house,0.9502611945211994,0.7901573684040332
Blum,412627,1955-04-26,IA-01,R,M,house,0.7552211824721285,0.2092553502785621
Blumenauer,400033,1948-08-16,OR-03,D,M,house,0.2364760599173448,0.6168517438490653
Blumenthal,412490,1946-02-13,CT-S3,D,M,senate,0.039028889125273185,0.6847692151462649
Blunt,400034,1950-01-10,MO-S3,R,M,senate,0.8198152214743116,0.7511775332096935
Blunt Rochester,412689,1962-02-10,DE-00,D,F,house,0.3624071232627701,0.07251953799461014
Bonamici,412501,1954-10-14,OR-01,D,F,house,0.2566418463953525,0.42220014926515376
Booker,412598,1969-04-27,NJ-S2,D,M,senate,0.1851695446077464,0.5210276962538472
Boozman,400040,1950-12-10,AR-S3,R,M,senate,0.8634547881434104,0.4645221214266879
