name,last,chamber,code,party
A. Ferguson,Ferguson,house,GA-03,R
A. McEachin,McEachin,house,VA-04,D
Adam Kinzinger,Kinzinger,house,IL-16,R
Adam Schiff,Schiff,house,CA-28,D
Adam Smith,Smith,house,WA-09,D
Adrian Smith,Smith,house,NE-03,R
Adriano Espaillat,Espaillat,house,NY-13,D
Al Green,Green,house,TX-09,D
Al Lawson,Lawson,house,FL-05,D
Alan Lowenthal,Lowenthal,house,CA-47,D
Albio Sires,Sires,house,NJ-08,D
Alcee Hastings,Hastings,house,FL-20,D
Alex Mooney,Mooney,house,WV-02,R
Alma Adams,Adams,house,NC-12,D
Ami Bera,Bera,house,CA-07,D
Amy Klobuchar,Klobuchar,senate,MN-99,D
André Carson,Carson,house,IN-07,D
Andy Biggs,Biggs,house,AZ-05,R
Andy Harris,Harris,house,MD-01,R
Angus King,King,senate,ME-99,I
Ann Kuster,Kuster,house,NH-02,D
Ann Wagner,Wagner,house,MO-02,R
Anna Eshoo,Eshoo,house,CA-18,D
Anthony Brown,Brown,house,MD-04,D
Aumua Amata,Amata,house,AS-00,R
Austin Scott,Scott,house,GA-08,R
Barbara Comstock,Comstock,house,VA-10,R
Barbara Lee,Lee,house,CA-13,D
Barry Loudermilk,Loudermilk,house,GA-11,R
Ben Luján,Lujan,house,NM-03,D
Benjamin Cardin,Cardin,senate,MD-99,D
Benjamin Sasse,Sasse,senate,NE-99,R
Bennie Thompson,Thompson,house,MS-02,D
Bernard Sanders,Sanders,senate,VT-99,I
Beto O’Rourke,O'Rourke,house,TX-16,D
Betty McCollum,McCollum,house,MN-04,D
Bill Cassidy,Cassidy,senate,LA-99,R
Bill Flores,Flores,house,TX-17,R
Bill Foster,Foster,house,IL-11,D
Bill Huizenga,Huizenga,house,MI-02,R
Bill Johnson,Johnson,house,OH-06,R
Bill Nelson,Nelson,senate,FL-99,D
Bill Pascrell,Pascrell,house,NJ-09,D
Bill Posey,Posey,house,FL-08,R
Bill Shuster,Shuster,house,PA-09,R
Billy Long,Long,house,MO-07,R
Blaine Luetkemeyer,Luetkemeyer,house,MO-03,R
Bob Corker,Corker,senate,TN-99,R
Bob Gibbs,Gibbs,house,OH-07,R
Bob Goodlatte,Goodlatte,house,VA-06,R
Bobby Rush,Rush,house,IL-01,D
Bonnie Watson Coleman,Watson Coleman,house,NJ-12,D
Brad Sherman,Sherman,house,CA-30,D
Brad Wenstrup,Wenstrup,house,OH-02,R
Bradley Byrne,Byrne,house,AL-01,R
Bradley Schneider,Schneider,house,IL-10,D
Brenda Jones,Jones,house,MI-13,D
Brenda Lawrence,Lawrence,house,MI-14,D
