date,race,close,prob
2018-08-01,AZ-S1,0.66,0.738
2018-08-01,CA-10,0.5800000000000001,0.7054
2018-08-01,CA-12,0.91,1
2018-08-01,CA-22,0.30000000000000004,0.0493
2018-08-01,CA-25,0.61,0.7453
2018-08-01,CA-39,0.61,0.3768
2018-08-01,CA-48,0.72,0.6662
2018-08-01,CA-49,0.74,0.7948
2018-08-01,CA-S1,0.94,1
2018-08-01,CO-05,0.06000000000000005,0.0273
2018-08-01,CO-06,0.5800000000000001,0.6484
2018-08-01,CT-05,0.9,0.9667
2018-08-01,FL-15,0.23,0.2738
2018-08-01,FL-17,0.1,0.004
2018-08-01,FL-26,0.55,0.403
2018-08-01,FL-27,0.91,0.9745
2018-08-01,FL-S1,0.53,0.6156
2018-08-01,IL-12,0.42,0.4048
2018-08-01,IN-S1,0.35,0.7716
2018-08-01,MA-S1,0.95,0.9991
2018-08-01,MD-06,0.93,0.9915
2018-08-01,ME-S1,0.030000000000000027,0
2018-08-01,MI-08,0.44,0.4448
2018-08-01,MI-11,0.62,0.6872
2018-08-01,MI-S1,0.84,0.9857
2018-08-01,MN-01,0.56,0.4841
2018-08-01,MN-02,0.91,0.7609
2018-08-01,MN-03,0.54,0.6634
2018-08-01,MN-08,0.46,0.3959
2018-08-01,MN-S1,0.81,0.9983
2018-08-01,MO-S1,0.52,0.6931
2018-08-01,MS-03,0.12,0.0055
2018-08-01,MS-S2,0.14,0.0955
2018-08-01,MT-S1,0.64,0.8883
2018-08-01,NC-09,0.89,0.6104
2018-08-01,NC-13,0.55,0.4052
2018-08-01,ND-S1,0.47,0.5998
2018-08-01,NE-02,0.5,0.5964
2018-08-01,NE-S1,0.08999999999999997,0.0472
2018-08-01,NH-01,0.82,0.8136
2018-08-01,NJ-02,0.94,0.8952
2018-08-01,NJ-07,0.65,0.6388
2018-08-01,NJ-11,0.79,0.7345
2018-08-01,NJ-S1,0.75,0.9451
2018-08-01,NM-S1,0.85,0.9967
2018-08-01,NV-03,0.89,0.6947
2018-08-01,NV-04,0.89,0.8504
2018-08-01,NV-S1,0.64,0.5497
2018-08-01,NY-01,0.3,0.1182
2018-08-01,NY-09,0.98,1
2018-08-01,NY-14,0.9,1
2018-08-01,NY-19,0.64,0.5501
