start_date,length,race,name,party,chamber,support,end_date,poll,pollster,sponsor,n,pop,method,internal,partisan,tracking
2016-11-16,1,WV-S1,Manchin,D,senate,0.5700000000000001,2016-11-17,52643,988,NA,500,lv,Automated Phone,FALSE,NA,NA
2016-11-16,1,WV-S1,Morrisey,R,senate,0.35000000000000003,2016-11-17,52643,988,NA,500,lv,Automated Phone,FALSE,NA,NA
2017-04-03,6,TX-S1,O'Rourke,D,senate,0.3,2017-04-09,52630,610,NA,1000,a,Live Phone,FALSE,NA,NA
2017-04-03,6,TX-S1,Cruz,R,senate,0.3,2017-04-09,52630,610,NA,1000,a,Live Phone,FALSE,NA,NA
2017-06-19,3,MA-S1,Warren,D,senate,0.6,2017-06-22,53946,290,83,504,rv,NA,FALSE,NA,NA
2017-06-19,3,MA-S1,Diehl,R,senate,0.29,2017-06-22,53946,290,83,504,rv,NA,FALSE,NA,NA
2017-06-22,3,CA-25,Hill,D,house,0.42,2017-06-25,52747,603,NA,401,rv,Live Phone,TRUE,DEM,NA
2017-06-22,3,CA-25,Knight,R,house,0.49,2017-06-25,52747,603,NA,401,rv,Live Phone,TRUE,DEM,NA
2017-06-23,2,NV-S1,Rosen,D,senate,0.42,2017-06-25,52661,383,NA,648,v,NA,FALSE,NA,NA
2017-06-23,2,NV-S1,Heller,R,senate,0.41000000000000003,2017-06-25,52661,383,NA,648,v,NA,FALSE,NA,NA
2017-07-07,1,MO-S1,McCaskill,D,senate,0.44,2017-07-08,53556,1056,421,928,lv,NA,FALSE,NA,NA
2017-07-07,1,MO-S1,Hawley,R,senate,0.5,2017-07-08,53556,1056,421,928,lv,NA,FALSE,NA,NA
2017-07-10,1,MO-S1,McCaskill,D,senate,0.42,2017-07-11,53672,147,26,500,lv,NA,TRUE,REP,NA
2017-07-10,1,MO-S1,Hawley,R,senate,0.46,2017-07-11,53672,147,26,500,lv,NA,TRUE,REP,NA
2017-08-11,9,WV-S1,Manchin,D,senate,0.51,2017-08-20,52642,1253,945,400,lv,NA,FALSE,NA,NA
2017-08-11,9,WV-S1,Morrisey,R,senate,0.37,2017-08-20,52642,1253,945,400,lv,NA,FALSE,NA,NA
2017-08-16,2,MO-S1,McCaskill,D,senate,0.45,2017-08-18,53557,1056,421,922,lv,NA,FALSE,NA,NA
2017-08-16,2,MO-S1,Hawley,R,senate,0.5,2017-08-18,53557,1056,421,922,lv,NA,FALSE,NA,NA
2017-08-30,6,UT-S1,Wilson,D,senate,0.26,2017-09-05,52722,120,703,608,rv,NA,FALSE,NA,NA
2017-08-30,6,UT-S1,Romney,R,senate,0.64,2017-09-05,52722,120,703,608,rv,NA,FALSE,NA,NA
2017-09-05,7,VA-S1,Kaine,D,senate,0.53,2017-09-12,52654,1045,NA,867,rv,NA,FALSE,NA,NA
2017-09-05,7,VA-S1,Stewart,R,senate,0.36,2017-09-12,52654,1045,NA,867,rv,NA,FALSE,NA,NA
2017-09-05,7,VA-S1,Kaine,D,senate,0.54,2017-09-12,52654,1045,NA,562,lv,NA,FALSE,NA,NA
2017-09-05,7,VA-S1,Stewart,R,senate,0.39,2017-09-12,52654,1045,NA,562,lv,NA,FALSE,NA,NA
