start_date,length,race,name,party,chamber,support,poll,pollster,sponsor,n,pop,method,internal,partisan,tracking
2018-01-10,1,CA-39,Cisneros,D,house,0.38,52753,1056,NA,761,lv,NA,FALSE,NA,NA
2018-01-10,1,CA-39,Kim,R,house,0.41000000000000003,52753,1056,NA,761,lv,NA,FALSE,NA,NA
2018-01-11,5,OH-01,Pureval,D,house,0.44,55910,907,NA,400,lv,Live Phone,TRUE,DEM,NA
2018-01-11,5,OH-01,Chabot,R,house,0.51,55910,907,NA,400,lv,Live Phone,TRUE,DEM,NA
2018-01-15,7,UT-04,McAdams,D,house,0.42,52732,120,431,400,rv,NA,FALSE,NA,NA
2018-01-15,7,UT-04,Love,R,house,0.47000000000000003,52732,120,431,400,rv,NA,FALSE,NA,NA
2018-01-15,3,UT-98,Wilson,D,senate,0.19,52720,120,703,803,rv,NA,FALSE,NA,NA
2018-01-15,3,UT-98,Romney,R,senate,0.64,52720,120,703,803,rv,NA,FALSE,NA,NA
2018-01-16,3,MI-98,Stabenow,D,senate,0.51,53551,176,NA,600,lv,Live Phone,FALSE,NA,NA
2018-01-16,3,MI-98,James,R,senate,0.3,53551,176,NA,600,lv,Live Phone,FALSE,NA,NA
2018-01-17,1,TX-98,O'Rourke,D,senate,0.37,53681,383,681,757,v,NA,FALSE,DEM,NA
2018-01-17,1,TX-98,Cruz,R,senate,0.45,53681,383,681,757,v,NA,FALSE,DEM,NA
2018-01-21,3,TN-98,Bredesen,D,senate,0.397,53475,1008,962,1003,lv,Automated Phone,FALSE,NA,NA
2018-01-21,3,TN-98,Blackburn,R,senate,0.507,53475,1008,962,1003,lv,Automated Phone,FALSE,NA,NA
2018-01-24,4,CA-25,Hill,D,house,0.53,52674,1244,988,650,lv,NA,FALSE,DEM,NA
2018-01-24,4,CA-25,Knight,R,house,0.4,52674,1244,988,650,lv,NA,FALSE,DEM,NA
2018-01-24,4,NE-98,Raybould,D,senate,0.34,52644,1231,NA,500,lv,NA,TRUE,REP,NA
2018-01-24,4,NE-98,Fischer,R,senate,0.51,52644,1231,NA,500,lv,NA,TRUE,REP,NA
2018-01-29,6,FL-98,Nelson,D,senate,0.48,53752,509,NA,429,lv,Live Phone,FALSE,NA,NA
2018-01-29,6,FL-98,Scott,R,senate,0.42,53752,509,NA,429,lv,Live Phone,FALSE,NA,NA
2018-01-03,1,MO-98,McCaskill,D,senate,0.45,53559,1056,421,1122,lv,NA,FALSE,NA,NA
2018-01-03,1,MO-98,Hawley,R,senate,0.49,53559,1056,421,1122,lv,NA,FALSE,NA,NA
2018-01-30,2,FL-98,Nelson,D,senate,0.45,53753,289,NA,625,rv,NA,FALSE,NA,NA
2018-01-30,2,FL-98,Scott,R,senate,0.44,53753,289,NA,625,rv,NA,FALSE,NA,NA
2018-01-05,4,NV-04,Horsford,D,house,0.42,53598,1359,451,400,rv,IVR/Live Phone,TRUE,DEM,NA
2018-01-05,4,NV-04,Hardy,R,house,0.37,53598,1359,451,400,rv,IVR/Live Phone,TRUE,DEM,NA
2018-01-08,1,MO-98,McCaskill,D,senate,0.45,53673,383,978,965,v,NA,FALSE,DEM,NA
2018-01-08,1,MO-98,Hawley,R,senate,0.44,53673,383,978,965,v,NA,FALSE,DEM,NA
2018-01-09,1,FL-98,Nelson,D,senate,0.3786,56993,753,1118,785,lv,IVR/Live Phone,FALSE,NA,NA
2018-01-09,1,FL-98,Scott,R,senate,0.35090000000000005,56993,753,1118,785,lv,IVR/Live Phone,FALSE,NA,NA
2018-10-01,6,ME-01,Pingree,D,house,0.534,56319,365,NA,249,lv,Online,FALSE,NA,NA
2018-10-01,6,ME-01,Holbrook,R,house,0.294,56319,365,NA,249,lv,Online,FALSE,NA,NA
2018-10-01,6,ME-01,Grohman,I,house,0.105,56319,365,NA,249,lv,Online,FALSE,NA,NA
2018-10-01,6,ME-02,Golden,D,house,0.365,56319,365,NA,251,lv,Online,FALSE,NA,NA
2018-10-01,6,ME-02,Poliquin,R,house,0.37,56319,365,NA,251,lv,Online,FALSE,NA,NA
2018-10-01,6,ME-02,Bond,I,house,0.064,56319,365,NA,251,lv,Online,FALSE,NA,NA
2018-10-01,6,ME-02,Hoar,I,house,0.027000000000000003,56319,365,NA,251,lv,Online,FALSE,NA,NA
2018-10-01,5,AK-01,Galvin,D,house,0.46,55923,1334,NA,500,lv,Live Phone,FALSE,NA,NA
2018-10-01,5,AK-01,Young,R,house,0.49700000000000005,55923,1334,NA,500,lv,Live Phone,FALSE,NA,NA
2018-10-01,5,MI-11,Stevens,D,house,0.4518,55998,1424,134,465,lv,Live Phone,FALSE,NA,NA
2018-10-01,5,MI-11,Epstein,R,house,0.3761,55998,1424,134,465,lv,Live Phone,FALSE,NA,NA
2018-10-01,5,MI-11,Stevens,D,house,0.45799999999999996,55998,1424,134,465,rv,Live Phone,FALSE,NA,NA
2018-10-01,5,MI-11,Epstein,R,house,0.34700000000000003,55998,1424,134,465,rv,Live Phone,FALSE,NA,NA
2018-10-01,5,FL-27,Shalala,D,house,0.42,56167,289,320,625,lv,Live Phone,FALSE,NA,NA
2018-10-01,5,FL-27,Salazar,R,house,0.44,56167,289,320,625,lv,Live Phone,FALSE,NA,NA
2018-10-01,4,NC-09,McCready,D,house,0.42340000000000005,55969,1424,134,502,lv,Live Phone,FALSE,NA,NA
2018-10-01,4,NC-09,Harris,R,house,0.4682,55969,1424,134,502,lv,Live Phone,FALSE,NA,NA
2018-10-01,4,NC-09,McCready,D,house,0.42619999999999997,55969,1424,134,502,rv,Live Phone,FALSE,NA,NA
2018-10-01,4,NC-09,Harris,R,house,0.4426,55969,1424,134,502,rv,Live Phone,FALSE,NA,NA
2018-10-01,4,TX-31,Hegar,D,house,0.38060000000000005,55999,1424,134,490,lv,Live Phone,FALSE,NA,NA
2018-10-01,4,TX-31,Carter,R,house,0.5275,55999,1424,134,490,lv,Live Phone,FALSE,NA,NA
2018-10-01,4,TX-31,Hegar,D,house,0.3542,55999,1424,134,490,rv,Live Phone,FALSE,NA,NA
2018-10-01,4,TX-31,Carter,R,house,0.5123,55999,1424,134,490,rv,Live Phone,FALSE,NA,NA
2018-10-01,3,IL-13,Londrigan,D,house,0.48,56085,907,NA,500,lv,Live Phone,TRUE,DEM,NA
2018-10-01,3,IL-13,Davis,R,house,0.49,56085,907,NA,500,lv,Live Phone,TRUE,DEM,NA
2018-10-01,3,FL-06,Soderberg,D,house,0.45,56135,187,NA,400,lv,Live Phone,TRUE,DEM,NA
2018-10-01,3,FL-06,Waltz,R,house,0.45,56135,187,NA,400,lv,Live Phone,TRUE,DEM,NA
2018-10-01,1,NE-02,Eastman,D,house,0.4,56103,1231,NA,400,rv,NA,TRUE,REP,NA
2018-10-01,1,NE-02,Bacon,R,house,0.49,56103,1231,NA,400,rv,NA,TRUE,REP,NA
2018-10-01,0,FL-16,Shapiro,D,house,0.433,55980,1357,972,1248,lv,Automated Phone,FALSE,NA,NA
2018-10-01,0,FL-16,Buchanan,R,house,0.504,55980,1357,972,1248,lv,Automated Phone,FALSE,NA,NA
2018-10-01,6,MA-98,Warren,D,senate,0.56,56133,1234,68,791,rv,Live Phone,FALSE,NA,NA
2018-10-01,6,MA-98,Diehl,R,senate,0.28,56133,1234,68,791,rv,Live Phone,FALSE,NA,NA
2018-10-01,6,MA-98,Ayyadurai,I,senate,0.09,56133,1234,68,791,rv,Live Phone,FALSE,NA,NA
2018-10-01,6,MA-98,Warren,D,senate,0.56,56133,1234,68,485,lv,Live Phone,FALSE,NA,NA
2018-10-01,6,MA-98,Diehl,R,senate,0.31,56133,1234,68,485,lv,Live Phone,FALSE,NA,NA
2018-10-01,6,MA-98,Ayyadurai,I,senate,0.08,56133,1234,68,485,lv,Live Phone,FALSE,NA,NA
2018-10-01,6,ME-98,Ringelstein,D,senate,0.08199999999999999,56319,365,NA,500,lv,Online,FALSE,NA,NA
2018-10-01,6,ME-98,Brakey,R,senate,0.29600000000000004,56319,365,NA,500,lv,Online,FALSE,NA,NA
2018-10-01,6,ME-98,King,I,senate,0.5720000000000001,56319,365,NA,500,lv,Online,FALSE,NA,NA
2018-10-01,5,MD-98,Cardin,D,senate,0.494,56124,1232,NA,806,lv,Live Phone,TRUE,IND,NA
2018-10-01,5,MD-98,Campbell,R,senate,0.215,56124,1232,NA,806,lv,Live Phone,TRUE,IND,NA
2018-10-01,5,MD-98,Simon,I,senate,0.177,56124,1232,NA,806,lv,Live Phone,TRUE,IND,NA
