display_name,pollster_id,pollster,sponsor_ids,sponsors
St. Pete Polls,1357,St. Pete Polls,972,Florida Politics
Change Research,1365,Change Research,NA,NA
Change Research,1365,Change Research,948,Health Care Voter
Siena College/New York Times,1424,Siena College,134,New York Times
University of New Hampshire,525,University of New Hampshire,NA,NA
Emerson College,1102,Emerson College,NA,NA
JMC Analytics / Bold Blue Campaigns,1469,JMC Analytics / Bold Blue Campaigns,NA,NA
Optimus,1240,Optimus,NA,NA
Gravis Marketing,801,Gravis Marketing,NA,NA
SurveyUSA,460,SurveyUSA,443804,KGTV-TV (California) | San Diego Union-Tribune
"Research & Polling, Inc.",402,Research & Polling Inc.,155,Albuquerque Journal
Thomas Part­ners Strategies,1283,Thomas Part­ners Strategies,NA,NA
"Susquehanna Polling & Research, Inc.",461,Susquehanna Polling & Research Inc.,657,ABC27 News
Dixie Strategies,753,Dixie Strategies,1109,WHEC-TV
Fox News,590,Fox News/Anderson Robbins Research/Shaw & Co. Research,NA,NA
SoonerPoll.com,441,SoonerPoll.com,204,KWTV-DT Oklahoma City
Carroll Strategies,1409,Carroll Strategies,715,KOB-TV (Albuquerque)
Ivan Moore Research,1334,Ivan Moore Research,NA,NA
SurveyUSA,460,SurveyUSA,761,WNYT-TV
Monmouth University,320,Monmouth University,NA,NA
Tulchin Research,495,Tulchin Research,NA,NA
Anzalone Liszt Grove Research,933,Anzalone Liszt Grove Research,451,DCCC
Washington Post/George Mason,1460,ABC News/Washington Post,NA,NA
SurveyUSA,460,SurveyUSA,158,Civitas Institute
DeSales University,1461,DeSales University,1079,WFMZ-TV
Christopher Newport University,94,Christopher Newport University,NA,NA
Dixie Strategies,753,Dixie Strategies,1106,KUTV 2News
DFM Research,788,DFM Research,789,SMART Transportation Division
"Susquehanna Polling & Research, Inc.",461,Susquehanna Polling & Research Inc.,11071108,WBRE-TV | WYOU-TV
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,NA,NA
Jayhawk Consulting,1239,Jayhawk Consulting,NA,NA
Stockton University,914,Stockton University,NA,NA
GBA Strategies,907,GBA Strategies,NA,NA
Thirty-Ninth Street Strategies,1259,Thirty-Ninth Street Strategies,NA,NA
"Mason-Dixon Polling & Research, Inc.",289,Mason-Dixon Polling & Research Inc.,332333,Argus Leader | KELO-TV
Siena College,438,Siena College,9791100,Spectrum News | Syracuse.com
Change Research,1365,Change Research,1101,Fight Back CA PAC
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,1072,Club For Growth Action
SurveyUSA,460,SurveyUSA,841102,KSTP-TV Minneapolis | KAAL-TV
Strategic Research Associates,1455,Strategic Research Associates,1066,Gray Television
Hendrix College,211,Hendrix College,1002,Talk Business & Politics
Remington Research Group,1056,Remington Research Group,NA,NA
American Viewpoint,24,American Viewpoint,1093,Arizona Grassroots Advocates
Greenberg Quinlan Rosner,187,Greenberg Quinlan Rosner (Democracy Corps),NA,NA
Muhlenberg College,329,Muhlenberg College,269,Morning Call
University of Montana,506,University of Montana,NA,NA
Target Insyght,1166,Target Insyght,138801,Fox 2 News Detroit | MIRS News Service
Public Opinion Strategies,379,Public Opinion Strategies,452,NRCC
University of Utah,1410,University of Utah,431,The Salt Lake Tribune
Clarity Campaign Labs,921,Clarity Campaign Labs,NA,NA
Public Policy Polling,383,Public Policy Polling,NA,NA
TargetPoint,467,TargetPoint,920,REP
Lake Research Partners,940,Lake Research Partners,NA,NA
Siena College,438,Siena College,979,Spectrum News
VCreek/AMG,1425,VCreek/AMG,NA,NA
McLaughlin & Associates,294,McLaughlin & Associates,NA,NA
St. Anselm,446,St. Anselm,47,WMUR
Anzalone Liszt Grove Research,933,Anzalone Liszt Grove Research,NA,NA
SurveyUSA,460,SurveyUSA,284385,Bay News 9 | News 13
Global Strategy Group,178,Global Strategy Group,1011,Giffords
Braun Research,67,Braun Research,4751094,Vermont Public Radio | Vermont PBS
The Polling Company Inc.,1187,The Polling Company Inc.,209,Citizens United Political Victory Fund
The Polling Company Inc.,482,The Polling Company Inc.,NA,NA
Clarity Campaign Labs,921,Clarity Campaign Labs,681,End Citizens United
Harper Polling,988,Harper Polling,452,NRCC
Montana State University Billings,328,Montana State University Billings,NA,NA
Public Policy Polling,383,Public Policy Polling,1090,The Great Slate
Patinkin Research Strategies,1422,Patinkin Research Strategies,NA,NA
Global Strategy Group,178,Global Strategy Group,681,End Citizens United
University of Utah,1410,University of Utah,703,Salt Lake Tribune-Hinckley Institute
Go Right Strategies,1456,Go Right Strategies,NA,NA
DCCC Targeting Team,1359,DCCC Targeting Team,451,DCCC
Mellman Group,299,Mellman Group,NA,NA
Elway Research,140,Elway Research,755,Crosscut
"Mason-Dixon Polling & Research, Inc.",289,Mason-Dixon Polling & Research Inc.,320,Telemundo
Public Opinion Strategies,379,Public Opinion Strategies,NA,NA
Moore Information,324,Moore Information,452,NRCC
SurveyUSA,460,SurveyUSA,979,Spectrum News
Pan Atlantic SMS Group,365,Pan Atlantic SMS Group,NA,NA
MSU - Bozeman,1472,MSU - Bozeman,1098,Montana Television Network
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,26,Club for Growth
The Polling Company Inc.,482,The Polling Company Inc.,452,NRCC
GS Strategy Group,194,GS Strategy Group,762,Congressional Leadership Fund
"National Research, Inc.",334,National Research Inc.,NA,NA
Meeting Street Research,1231,Meeting Street Research,NA,NA
University of North Florida,509,University of North Florida,NA,NA
Garin-Hart-Yang Research Group,172,Garin-Hart-Yang Research Group,NA,NA
Tarrance Group,468,Tarrance Group,NA,NA
WPA Intelligence,1418,Wilson Perkins Allen Opinion Research,452,NRCC
American Viewpoint,24,American Viewpoint,762,Congressional Leadership Fund
GBA Strategies,907,GBA Strategies,451,DCCC
Victoria Research & Consulting,1380,Victoria Research & Consulting,NA,NA
Global Strategy Group,178,Global Strategy Group,NA,NA
SurveyUSA,460,SurveyUSA,84,KSTP-TV Minneapolis
OnMessage Inc.,356,OnMessage Inc.,NA,NA
Bold Blue Campaigns,1454,Bold Blue Campaigns,NA,NA
Strategic Research Associates,1455,Strategic Research Associates,9471066,Valley News Live | Gray Television
American Research Group,23,American Research Group,NA,NA
OH Predictive Insights / MBQF,1293,OH Predictive Insights/MBQF,NA,NA
Public Policy Polling,383,Public Policy Polling,918,DEM
SurveyUSA,460,SurveyUSA,1037,KFSN-TV Fresno
SoonerPoll.com,441,SoonerPoll.com,1008,KWTV-TV/KOTV-TV
GBA Strategies,907,GBA Strategies,681,End Citizens United
"Normington, Petts & Associates",1107,"Normington, Petts & Associates",681,End Citizens United
UC Berkeley,1363,UC Berkeley,300,LA Times
"Fairbank, Maslin, Maullin, Metz & Associates",1244,"Fairbank, Maslin, Maullin, Metz & Associates",NA,NA
St. Pete Polls,1357,St. Pete Polls,NA,NA
Public Policy Polling,383,Public Policy Polling,946,Protect Our Care
Pulse Opinion Research,393,Pulse Opinion Research,1054,United States Term Limits
Global Strategy Group,178,Global Strategy Group,1038,Taking Action Suffolk County
University of Delaware,499,University of Delaware,NA,NA
Benenson Strategy Group,57,Benenson Strategy Group,42,AARP
Siena College/New York Times,1424,Siena College,NA,NA
Public Policy Polling,383,Public Policy Polling,111,Progressive Change Campaign Committee
Tarrance Group,468,Tarrance Group,452,NRCC
Strategies 360,603,Strategies 360,NA,NA
Expedition Strategies,1307,Expedition Strategies,NA,NA
Y2 Analytics,1243,Y2 Analytics,NA,NA
"Fabrizio, Lee & Associates",147,"Fabrizio, Lee & Associates",762,Congressional Leadership Fund
Dan Jones & Associates,120,Dan Jones & Associates,953,Utah Policy
Public Policy Polling,383,Public Policy Polling,998,Michigan Families for Economic Prosperity
Public Policy Polling,383,Public Policy Polling,681,End Citizens United
Bendixen & Amandi International,1329,Bendixen & Amandi International,NA,NA
Trafalgar Group,1250,Trafalgar Group,NA,NA
Axis Research,1411,Axis Research,NA,NA
Lighthouse Research,1378,Lighthouse Research,1007,Utah Debate Comission
Harper Polling,988,Harper Polling,NA,NA
SurveyUSA,460,SurveyUSA,NA,NA
Remington Research Group,1056,Remington Research Group,421,Missouri Scout
Siena College,438,Siena College,NA,NA
Lincoln Park Strategies,1421,Lincoln Park Strategies,NA,NA
Tulchin Research,495,Tulchin Research,451,DCCC
Clout Research/Wenzel Strategies,1305,Clout Research/Wenzel Strategies,NA,NA
Tel Opinion Research,473,Tel Opinion Research,NA,NA
Blink Insights,1452,Blink Insights,NA,NA
Triumph Campaigns,1285,Triumph Campaigns,482,Y'all Politics
Public Policy Polling,383,Public Policy Polling,961,Speak Out Central New York
Victory Research,1195,Victory Research,NA,NA
Olive Tree Strategies,1417,Olive Tree Strategies,NA,NA
IMGE Insights,1364,IMGE Insights,NA,NA
Change Research,1365,Change Research,797973,314 PAC | 314 Action
Dan Jones & Associates,120,Dan Jones & Associates,484,IdahoPoliticsWeekly.com
Garin-Hart-Yang Research Group,172,Garin-Hart-Yang Research Group,451,DCCC
Feldman Group,150,Feldman Group,NA,NA
Global Strategy Group,178,Global Strategy Group,22687,League of Conservation Voters | EDF Action
University of Utah,1410,University of Utah,430703,Hinckley Institute of Politics | Salt Lake Tribune-Hinckley Institute
