race,party,lean
AK-01,R,15.21
AK-99,R,15
AL-01,R,28.61
AL-02,R,30.97
AL-03,R,31.37
AL-04,R,59.81
AL-05,R,32.81
AL-06,R,47.21
AL-07,D,-41.69
AL-99,R,27
AR-01,R,30
AR-02,R,9.63
AR-03,R,30.8
AR-04,R,29.13
AR-99,R,24
AZ-01,R,5.56
AZ-02,R,1.22
AZ-03,D,-24.11
AZ-04,R,42.86
AZ-05,R,27.79
AZ-06,R,17.56
AZ-07,D,-43.88
AZ-08,R,26.32
AZ-09,D,-8.38
AZ-99,R,9
CA-01,R,22.53
CA-02,D,-40.5
CA-03,D,-8.17
CA-04,R,19.9
CA-05,D,-40.03
CA-06,D,-39.5
CA-07,D,-4.97
CA-08,R,18.67
CA-09,D,-14.33
CA-10,R,0.77
CA-11,D,-41.1
CA-12,D,-71.57
CA-13,D,-75.93
CA-14,D,-52.03
CA-15,D,-39.23
CA-16,D,-16.83
CA-17,D,-47.1
CA-18,D,-44.6
CA-19,D,-45.2
CA-20,D,-42.4
CA-21,D,-10.07
CA-22,R,15.3
CA-23,R,27.1
CA-24,D,-13.17
CA-25,R,0.1
CA-26,D,-14.07
CA-27,D,-30.3
CA-28,D,-43.83
CA-29,D,-55.47
CA-30,D,-36.03
CA-31,D,-15.63
CA-32,D,-32.87
CA-33,D,-31.5
CA-34,D,-67.6
CA-35,D,-35.5
CA-36,D,-2.97
CA-37,D,-70.83
CA-38,D,-33.07
CA-39,D,-0.53
CA-40,D,-63.97
CA-41,D,-23.03
CA-42,R,17
CA-43,D,-56.5
CA-44,D,-66.87
CA-45,R,4.3
CA-46,D,-30.03
CA-47,D,-24.6
CA-48,R,6.73
CA-49,R,1.13
CA-50,R,21.57
CA-51,D,-42.2
CA-52,D,-13.17
CA-53,D,-27.63
CA-99,D,-24
CO-01,D,-40.37
CO-02,D,-16.77
CO-03,R,13.56
CO-04,R,25.39
CO-05,R,26.49
CO-06,D,-4.07
CO-07,D,-9.37
CO-99,D,-1
CT-01,D,-20.56
CT-02,D,-2.29
CT-03,D,-15.02
CT-04,D,-14.96
CT-05,D,-1.39
CT-99,D,-11
DE-01,D,-13.66
DE-99,D,-14
FL-01,R,43.9
FL-02,R,38.84
FL-03,R,20.47
FL-04,R,34.67
FL-05,D,-21.43
FL-06,R,18.1
FL-07,R,0.04
FL-08,R,23.54
