race,winner,category
AK-01,FALSE,Lean R
AL-01,FALSE,Safe R
AL-02,FALSE,Safe R
AL-03,FALSE,Safe R
AL-04,FALSE,Safe R
AL-05,FALSE,Safe R
AL-06,FALSE,Safe R
AL-07,TRUE,Solid D
AR-01,FALSE,Safe R
AR-02,FALSE,Likely R
AR-03,FALSE,Safe R
AR-04,FALSE,Safe R
AZ-01,TRUE,Likely D
AZ-02,TRUE,Solid D
AZ-03,TRUE,Solid D
AZ-04,FALSE,Safe R
AZ-05,FALSE,Safe R
AZ-06,FALSE,Likely R
AZ-07,TRUE,Solid D
AZ-08,FALSE,Likely R
AZ-09,TRUE,Solid D
CA-01,FALSE,Likely R
CA-10,TRUE,Likely D
CA-11,TRUE,Solid D
CA-12,TRUE,Solid D
CA-13,TRUE,Solid D
CA-14,TRUE,Solid D
CA-15,TRUE,Solid D
CA-16,TRUE,Solid D
CA-17,TRUE,Solid D
CA-18,TRUE,Solid D
CA-19,TRUE,Solid D
CA-02,TRUE,Solid D
CA-20,TRUE,Solid D
CA-21,NA,Likely R
CA-22,FALSE,Safe R
CA-23,FALSE,Safe R
CA-24,TRUE,Solid D
CA-25,TRUE,Lean D
CA-26,TRUE,Solid D
CA-27,TRUE,Solid D
CA-28,TRUE,Solid D
CA-29,TRUE,Solid D
CA-03,TRUE,Solid D
CA-30,TRUE,Solid D
CA-31,TRUE,Solid D
CA-32,TRUE,Solid D
CA-33,TRUE,Solid D
CA-34,TRUE,Solid D
CA-35,TRUE,Solid D
CA-36,TRUE,Solid D
CA-37,TRUE,Solid D
CA-38,TRUE,Solid D
CA-39,TRUE,Tossup (Tilt D)
CA-04,FALSE,Likely R
CA-40,TRUE,Solid D
CA-41,TRUE,Solid D
CA-42,FALSE,Safe R
CA-43,TRUE,Solid D
CA-44,TRUE,Solid D
CA-45,TRUE,Lean D
CA-46,TRUE,Solid D
CA-47,TRUE,Solid D
CA-48,TRUE,Tossup (Tilt D)
CA-49,TRUE,Solid D
CA-05,TRUE,Solid D
CA-50,FALSE,Likely R
CA-51,TRUE,Solid D
CA-52,TRUE,Solid D
CA-53,TRUE,Solid D
CA-06,TRUE,Solid D
CA-07,TRUE,Solid D
CA-08,FALSE,Safe R
CA-09,TRUE,Solid D
CO-01,TRUE,Solid D
CO-02,TRUE,Solid D
CO-03,FALSE,Likely R
CO-04,FALSE,Safe R
CO-05,FALSE,Safe R
CO-06,TRUE,Likely D
CO-07,TRUE,Solid D
CT-01,TRUE,Solid D
CT-02,TRUE,Solid D
CT-03,TRUE,Solid D
CT-04,TRUE,Solid D
CT-05,TRUE,Solid D
DE-01,TRUE,Solid D
FL-01,FALSE,Safe R
FL-10,TRUE,Solid D
FL-11,FALSE,Safe R
FL-12,FALSE,Safe R
FL-13,TRUE,Solid D
FL-14,TRUE,Solid D
FL-15,FALSE,Tossup (Tilt R)
FL-16,FALSE,Likely R
FL-17,FALSE,Safe R
FL-18,FALSE,Likely R
FL-19,FALSE,Safe R
FL-02,FALSE,Safe R
FL-20,TRUE,Solid D
FL-21,TRUE,Solid D
FL-22,TRUE,Solid D
FL-23,TRUE,Solid D
FL-24,TRUE,Solid D
FL-25,FALSE,Lean R
FL-26,TRUE,Tossup (Tilt D)
FL-27,TRUE,Likely D
FL-03,FALSE,Safe R
